original_name,variable_name,object_name,quantity_name,phenomena,processes,matter,roles,forms,properties,operations,propertytypes,propertyroles,propertyquantifications,trajectories,domains,attributes,abstractions,models,directions,parts,reference,object_pattern,quantity_pattern
atmosphere_water__rainfall_mass_flux,atmosphere_rainfall_water__mass_flux,atmosphere_rainfall_water,mass_flux,"atmosphere, rainfall",,water,,,mass_flux,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER,PROPERTY
land_crop__simulated_allocated_area,model_simulation_land_crop_allocation__area,model_simulation_land_crop_allocation,area,land,"allocation, simulation",,crop,,area,,,,,,,,model,,,,,ABSTRACTION_PROCESS_PHENOMENON_ROLE_PROCESS,PROPERTY
land_crop__simulated_mass-per-area_yield,model_simulation_land_crop__mass-per-area_yield,model_simulation_land_crop,mass-per-area_yield,land,simulation,,crop,,mass-per-area_yield,,,,,,,,model,,,,,ABSTRACTION_PROCESS_PHENOMENON_ROLE,PROPERTY
crop__simulated_produced_mass,model_simulation_crop_production__mass,model_simulation_crop_production,mass,,"production, simulation",,crop,,mass,,,,,,,,model,,,,,ABSTRACTION_PROCESS_ROLE_PROCESS,PROPERTY
land_fertilizer~nitrogen__simulated_applied_mass-per-area_density,model_simulation_land_nitrogen-fertilizer_application__mass-per-area_density,model_simulation_land_nitrogen-fertilizer_application,mass-per-area_density,land,"application, simulation",nitrogen-fertilizer,,,mass-per-area_density,,,,,,,,model,,,,,ABSTRACTION_PROCESS_PHENOMENON_MATTER_PROCESS,PROPERTY
fertilizer~nitrogen__application_reduced_cost_fraction,nitrogen-fertilizer_application__reduced_cost_fraction,nitrogen-fertilizer_application,reduced_cost_fraction,,application,nitrogen-fertilizer,,,reduced_cost_fraction,,,,,,,,,,,,,MATTER_PROCESS,PROPERTY
land_surface_water__evapotranspiration_mass_flux,land_surface_water_evapotranspiration__mass_flux,land_surface_water_evapotranspiration,mass_flux,land,evapotranspiration,water,,,mass_flux,,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION_MATTER_PROCESS,PROPERTY
atmosphere_air_water~vapor__specific_saturation,atmosphere_air_water~vapor__specific_saturation,atmosphere_air_water~vapor,specific_saturation,atmosphere,,"water, air",,vapor,specific_saturation,,,,,,,,,,,,,PHENOMENON_MATTER_MATTER~FORM,PROPERTY
air__temperature,air__temperature,air,temperature,air,,,,,,,,,,,,,,,,,,PHENOMENON,temperature
land_surface__upward_sensible_heat_energy_flux,land_surface__upward_component_of_sensible_heat_energy_flux,land_surface,upward_component_of_sensible_heat_energy_flux,land,,,,,sensible_heat_energy_flux,upward_component,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION,OPERATION_of_PROPERTY
land_surface__upward_latent_heat_energy_flux,land_surface__upward_component_of_latent_heat_energy_flux,land_surface,upward_component_of_latent_heat_energy_flux,land,,,,,latent_heat_energy_flux,upward_component,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION,OPERATION_of_PROPERTY
land_surface__effective_radiative_temperature,land_surface__effective_radiative_temperature,land_surface,effective_radiative_temperature,land,,,,,effective_radiative_temperature,,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION,PROPERTY
land_subsurface_water__runoff_mass_flux,land_subsurface_water_runoff__mass_flux,land_subsurface_water_runoff,mass_flux,land,runoff,water,,,mass_flux,,,,,,,,,,,subsurface,,PHENOMENON_PART_MATTER_PROCESS,PROPERTY
land_surface_air_radiation~longwave~downwelling__energy_flux,land_surface_air_radiation~longwave~downwelling__energy_flux,land_surface_air_radiation~longwave~downwelling,energy_flux,"radiation, land","downwelling, radiation",air,,,energy_flux,,,,,,,longwave,surface,,downwelling,,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON~ATTRIBUTE~PROCESS,PROPERTY
land_surface_air_radiation~longwave~downward__energy_flux,land_surface_air_radiation~longwave~downward__energy_flux,land_surface_air_radiation~longwave~downward,energy_flux,"radiation, land",radiation,air,,,energy_flux,,,,,,,longwave,surface,,downward,,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON~ATTRIBUTE~DIRECTION,PROPERTY
land_surface_air_radiation~shortwave~downwelling__energy_flux,land_surface_air_radiation~shortwave~downwelling__energy_flux,land_surface_air_radiation~shortwave~downwelling,energy_flux,"radiation, land","downwelling, radiation",air,,,energy_flux,,,,,,,shortwave,surface,,downwelling,,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON~ATTRIBUTE~PROCESS,PROPERTY
land_surface_soil_water__volume_fraction,land_surface_soil_water__volume_fraction,land_surface_soil_water,volume_fraction,land,,"water, soil",,,volume_fraction,,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION_MATTER_MATTER,PROPERTY
land_surface~0-to-10cm-below_soil_water__volume_fraction,land_surface~0-to-10cm-below_soil_water__volume_fraction,land_surface~0-to-10cm-below_soil_water,volume_fraction,land,,"water, soil",,,volume_fraction,,,,,,,0-to-10cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER_MATTER,PROPERTY
land_surface~100-to-200cm-below_soil_water__volume_fraction,land_surface~100-to-200cm-below_soil_water__volume_fraction,land_surface~100-to-200cm-below_soil_water,volume_fraction,land,,"water, soil",,,volume_fraction,,,,,,,100-to-200cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER_MATTER,PROPERTY
land_surface~10-to-40cm-below_soil_water__volume_fraction,land_surface~10-to-40cm-below_soil_water__volume_fraction,land_surface~10-to-40cm-below_soil_water,volume_fraction,land,,"water, soil",,,volume_fraction,,,,,,,10-to-40cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER_MATTER,PROPERTY
land_surface~40-to-100cm-below_soil_water__volume_fraction,land_surface~40-to-100cm-below_soil_water__volume_fraction,land_surface~40-to-100cm-below_soil_water,volume_fraction,land,,"water, soil",,,volume_fraction,,,,,,,40-to-100cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER_MATTER,PROPERTY
land_surface~0-to-100cm-below_soil_water__volume_fraction,land_surface~0-to-100cm-below_soil_water__volume_fraction,land_surface~0-to-100cm-below_soil_water,volume_fraction,land,,"water, soil",,,volume_fraction,,,,,,,0-to-100cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER_MATTER,PROPERTY
land_surface~0-to-10cm-below_soil__temperature,land_surface~0-to-10cm-below_soil__temperature,land_surface~0-to-10cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,0-to-10cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface~100-to-200cm-below_soil__temperature,land_surface~100-to-200cm-below_soil__temperature,land_surface~100-to-200cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,100-to-200cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface~10-to-40cm-below_soil__temperature,land_surface~10-to-40cm-below_soil__temperature,land_surface~10-to-40cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,10-to-40cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface~40-to-100cm-below_soil__temperature,land_surface~40-to-100cm-below_soil__temperature,land_surface~40-to-100cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,40-to-100cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface_radiation~shortwave~downward__energy_flux,land_surface_radiation~shortwave~downward__energy_flux,land_surface_radiation~shortwave~downward,energy_flux,"radiation, land",radiation,,,,energy_flux,,,,,,,shortwave,surface,,downward,,,PHENOMENON_ABSTRACTION_PHENOMENON~ATTRIBUTE~DIRECTION,PROPERTY
soil__downward_heat_energy_flux,soil__downward_component_of_heat_energy_flux,soil,downward_component_of_heat_energy_flux,soil,,,,,,,,,,,,,,,,,,PHENOMENON,downward_component_of_heat_energy_flux
wind__speed,wind__speed,wind,speed,wind,,,,,,,,,,,,,,,,,,PHENOMENON,speed
