full_name,variable_id,variable_label,object_cat,object_id,object_label,object_pref,quantity_id,quantity_label
air__dynamic_shear_viscosity,air__shear_dynamic_viscosity,air__shear_dynamic_viscosity,root,air,air,matter,shear_dynamic_viscosity,shear_dynamic_viscosity
air__dynamic_volume_viscosity,air__volume_dynamic_viscosity,air__volume_dynamic_viscosity,root,air,air,matter,volume_dynamic_viscosity,volume_dynamic_viscosity
air__kinematic_shear_viscosity,air__shear_kinematic_viscosity,air__shear_kinematic_viscosity,root,air,air,matter,shear_kinematic_viscosity,shear_kinematic_viscosity
air__kinematic_volume_viscosity,air__volume_kinematic_viscosity,air__volume_kinematic_viscosity,root,air,air,matter,volume_kinematic_viscosity,volume_kinematic_viscosity
air__relative_permittivity,air__permittivity_ratio,air__relative_permittivity,root,air,air,matter,permittivity_ratio,relative_permittivity
air__volume-specific_isochoric_heat_capacity,air_isochoric-process__isochoric_volume-specific_heat_capacity,air__isochoric_volume-specific_heat_capacity,root,air_isochoric-process,air,phenomenon,isochoric_volume-specific_heat_capacity,isochoric_volume-specific_heat_capacity
air_helium-plume__richardson_number,air@context~in_helium-plume__richardson_number,air_helium-plume__richardson_number,,air@context~in_helium-plume,air_helium-plume,phenomenon,richardson_number,richardson_number
air_radiation~visible__speed,air@context~in_radiation~visible__speed,air_radiation~visible__speed,,air@context~in_radiation~visible,air_radiation~visible,phenomenon,speed,speed
air_water~vapor__dew_point_temperature,air@medium_dew-point_water~vapor__dew-point_temperature,air_water~vapor__dew-point_temperature,,air@medium_dew-point_water~vapor,air_water~vapor,phenomenon,dew-point_temperature,dew-point_temperature
air_water~vapor__saturated_partial_pressure,air@medium_saturated_water~vapor__saturated_partial_pressure,air_water~vapor__saturated_partial_pressure,,air@medium_saturated_water~vapor,air_water~vapor,phenomenon,saturated_partial_pressure,saturated_partial_pressure
aircraft__flight_duration,aircraft_flight__flight_duration,aircraft__flight_duration,root,aircraft_flight,aircraft,phenomenon,flight_duration,flight_duration
airfoil__drag_coefficient,airfoil_dragging__drag_coefficient,airfoil__drag_coefficient,root,airfoil_dragging,airfoil,phenomenon,drag_coefficient,drag_coefficient
airfoil__lift_coefficient,airfoil_lift__lift_coefficient,airfoil__lift_coefficient,root,airfoil_lift,airfoil,phenomenon,lift_coefficient,lift_coefficient
airfoil_curve~enclosing__circulation,airfoil_curve~enclosing__circulation,airfoil_curve~enclosing__circulation,root,airfoil_curve~enclosing,airfoil_curve~enclosing,abstraction,circulation,circulation
airplane__altitude,airplane__altitude,airplane__altitude,root,airplane,airplane,body,altitude,altitude
airplane__mach_number,airplane__mach_number,airplane__mach_number,root,airplane,airplane,body,mach_number,mach_number
airplane_wing__span,airplane_wingspan__length,airplane_wingspan__length,root,airplane_wingspan,airplane_wingspan,body,length,length
air~dry__mass-specific_gas_constant,air~dry__mass-specific_gas_constant,air~dry__mass-specific_gas_constant,root,air~dry,air~dry,matter,mass-specific_gas_constant,mass-specific_gas_constant
air~dry_water~vapor__gas_constant_ratio,air~dry@role~numerator_water~vapor@role~denominator__gas_constant_ratio,air~dry-to-water~vapor__gas_constant_ratio,root,air~dry@role~numerator_water~vapor@role~denominator,air~dry-to-water~vapor,phenomenon,gas_constant_ratio,gas_constant_ratio
aluminum__mass-specific_isobaric_heat_capacity,aluminum_isobaric-process__isobaric_mass-specific_heat_capacity,aluminum__isobaric_mass-specific_heat_capacity,root,aluminum_isobaric-process,aluminum,phenomenon,isobaric_mass-specific_heat_capacity,isobaric_mass-specific_heat_capacity
anvil__isobaric_heat_capacity,anvil_isobaric-process__isobaric_heat_capacity,anvil__isobaric_heat_capacity,root,anvil_isobaric-process,anvil,phenomenon,isobaric_heat_capacity,isobaric_heat_capacity
appliance~electric__voltage,appliance~electric__voltage,appliance~electric__voltage,root,appliance~electric,appliance~electric,body,voltage,voltage
atmosphere_aerosol_dust__reduction_of_transmittance,(atmosphere@role~main_radiation@role~in_transmission)@role~first_(atmosphere@role~medium_dust~aerosol@role~main_radiation@role~in_transmission)@role~second__reduction_of_transmittance,atmosphere_dust~aerosol__reduction_of_transmittance,,(atmosphere@role~main_radiation@role~in_transmission)@role~first_(atmosphere@role~medium_dust~aerosol@role~main_radiation@role~in_transmission)@role~second,atmosphere_dust~aerosol,phenomenon,reduction_of_transmittance,reduction_of_transmittance
atmosphere_aerosol_radiation~incoming~shortwave__absorbed_energy_flux,atmosphere@context~in_(aerosol@role~sink_radiation~incoming~shortwave@role~main_absorption)__absorbed_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave__absorbed_energy_flux,,atmosphere@context~in_(aerosol@role~sink_radiation~incoming~shortwave@role~main_absorption),atmosphere_aerosol_radiation~incoming~shortwave,phenomenon,absorbed_energy_flux,absorbed_energy_flux
atmosphere_aerosol_radiation~incoming~shortwave__absorptance,atmosphere@context~in_(aerosol@role~main_radiation~incoming~shortwave@role~in_absorption)__absorptance,atmosphere_aerosol_radiation~incoming~shortwave__absorptance,,atmosphere@context~in_(aerosol@role~main_radiation~incoming~shortwave@role~in_absorption),atmosphere_aerosol_radiation~incoming~shortwave,phenomenon,absorptance,absorptance
atmosphere_aerosol_radiation~incoming~shortwave__reflectance,atmosphere@context~in_(aerosol@role~main_radiation~incoming~shortwave@role~in_reflection)__reflectance,atmosphere_aerosol_radiation~incoming~shortwave__reflectance,,atmosphere@context~in_(aerosol@role~main_radiation~incoming~shortwave@role~in_reflection),atmosphere_aerosol_radiation~incoming~shortwave,phenomenon,reflectance,reflectance
atmosphere_aerosol_radiation~incoming~shortwave__reflected_energy_flux,atmosphere@context~in_(aerosol@role~sink_radiation~incoming~shortwave@role~main_reflection)__reflected_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave__reflected_energy_flux,,atmosphere@context~in_(aerosol@role~sink_radiation~incoming~shortwave@role~main_reflection),atmosphere_aerosol_radiation~incoming~shortwave,phenomenon,reflected_energy_flux,reflected_energy_flux
atmosphere_aerosol_radiation~incoming~shortwave__transmittance,atmosphere@context~in_(aerosol@role~main_radiation~incoming~shortwave@role~in_transmission)__transmittance,atmosphere_aerosol_radiation~incoming~shortwave__transmittance,,atmosphere@context~in_(aerosol@role~main_radiation~incoming~shortwave@role~in_transmission),atmosphere_aerosol_radiation~incoming~shortwave,phenomenon,transmittance,transmittance
atmosphere_aerosol_radiation~incoming~shortwave__transmitted_energy_flux,atmosphere@context~in_(aerosol@role~sink_radiation~incoming~shortwave@role~main_transmission)__transmitted_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave__transmitted_energy_flux,,atmosphere@context~in_(aerosol@role~sink_radiation~incoming~shortwave@role~main_transmission),atmosphere_aerosol_radiation~incoming~shortwave,phenomenon,transmitted_energy_flux,transmitted_energy_flux
atmosphere_aerosol_radiation~outgoing~longwave__emittance,atmosphere@context~in_(aerosol@role~main_radiation~outgoing~longwave@role~out_emission)__emittance,atmosphere_aerosol_radiation~outgoing~longwave__emittance,,atmosphere@context~in_(aerosol@role~main_radiation~outgoing~longwave@role~out_emission),atmosphere_aerosol_radiation~outgoing~longwave,phenomenon,emittance,emittance
atmosphere_aerosol_radiation~outgoing~longwave~downward__energy_flux,atmosphere@context~in_(aerosol@context~source_radiation~outgoing~longwave~downward)__energy_flux,atmosphere_aerosol_radiation~outgoing~longwave~downward__energy_flux,,atmosphere@context~in_(aerosol@context~source_radiation~outgoing~longwave~downward),atmosphere_aerosol_radiation~outgoing~longwave~downward,phenomenon,energy_flux,energy_flux
atmosphere_aerosol_radiation~outgoing~longwave~upward__energy_flux,atmosphere@context~in_(aerosol@context~source_radiation~outgoing~longwave~upward)__energy_flux,atmosphere_aerosol_radiation~outgoing~longwave~upward__energy_flux,,atmosphere@context~in_(aerosol@context~source_radiation~outgoing~longwave~upward),atmosphere_aerosol_radiation~outgoing~longwave~upward,phenomenon,energy_flux,energy_flux
atmosphere_air__anomaly_of_pressure,atmosphere@context~in_air__anomaly_of_pressure,atmosphere_air__anomaly_of_pressure,,atmosphere@context~in_air,atmosphere_air,phenomenon,anomaly_of_pressure,anomaly_of_pressure
atmosphere_air__anomaly_of_temperature,atmosphere@context~in_air__anomaly_of_temperature,atmosphere_air__anomaly_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,anomaly_of_temperature,anomaly_of_temperature
atmosphere_air__azimuth_angle_of_gradient_of_temperature,atmosphere@context~in_air__azimuth_angle_of_gradient_of_temperature,atmosphere_air__azimuth_angle_of_gradient_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,azimuth_angle_of_gradient_of_temperature,azimuth_angle_of_gradient_of_temperature
atmosphere_air__convective_available_potential_energy,atmosphere@context~in_(air_convection)__convective_available_potential_energy,atmosphere_air__convective_available_potential_energy,,atmosphere@context~in_(air_convection),atmosphere_air,phenomenon,convective_available_potential_energy,convective_available_potential_energy
atmosphere_air__east_derivative_of_temperature,atmosphere@context~in_air__east_derivative_of_temperature,atmosphere_air__east_derivative_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,east_derivative_of_temperature,east_derivative_of_temperature
atmosphere_air__elevation_angle_of_gradient_of_temperature,atmosphere@context~in_air__elevation_angle_of_gradient_of_temperature,atmosphere_air__elevation_angle_of_gradient_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,elevation_angle_of_gradient_of_temperature,elevation_angle_of_gradient_of_temperature
atmosphere_air__equivalent_potential_temperature,atmosphere@context~in_air__equivalent_potential_temperature,atmosphere_air__equivalent_potential_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,equivalent_potential_temperature,equivalent_potential_temperature
atmosphere_air__equivalent_temperature,atmosphere@context~in_air__equivalent_temperature,atmosphere_air__equivalent_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,equivalent_temperature,equivalent_temperature
atmosphere_air__heat_capacity_ratio,atmosphere@context~in_air__heat_capacity_ratio,atmosphere_air__heat_capacity_ratio,,atmosphere@context~in_air,atmosphere_air,phenomenon,heat_capacity_ratio,heat_capacity_ratio
atmosphere_air__increment_of_pressure,atmosphere@context~in_air__increment_of_pressure,atmosphere_air__increment_of_pressure,,atmosphere@context~in_air,atmosphere_air,phenomenon,increment_of_pressure,increment_of_pressure
atmosphere_air__increment_of_temperature,atmosphere@context~in_air__increment_of_temperature,atmosphere_air__increment_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,increment_of_temperature,increment_of_temperature
atmosphere_air__isentropic_compressibility,atmosphere@context~in_(air_isentropic-process)__isentropic_compressibility,atmosphere_air__isentropic_compressibility,,atmosphere@context~in_(air_isentropic-process),atmosphere_air,phenomenon,isentropic_compressibility,isentropic_compressibility
atmosphere_air__isothermal_compressibility,atmosphere@context~in_(air_isothermal-process)__isothermal_compressibility,atmosphere_air__isothermal_compressibility,,atmosphere@context~in_(air_isothermal-process),atmosphere_air,phenomenon,isothermal_compressibility,isothermal_compressibility
atmosphere_air__magnitude_of_gradient_of_temperature,atmosphere@context~in_air__magnitude_of_gradient_of_temperature,atmosphere_air__magnitude_of_gradient_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,magnitude_of_gradient_of_temperature,magnitude_of_gradient_of_temperature
atmosphere_air__mass-per-volume_density,atmosphere@context~in_air__mass-per-volume_density,atmosphere_air__mass-per-volume_density,,atmosphere@context~in_air,atmosphere_air,phenomenon,mass-per-volume_density,mass-per-volume_density
atmosphere_air__mass-specific_isobaric_heat_capacity,atmosphere@context~in_(air_isobaric-process)__isobaric_mass-specific_heat_capacity,atmosphere_air__isobaric_mass-specific_heat_capacity,,atmosphere@context~in_(air_isobaric-process),atmosphere_air,phenomenon,isobaric_mass-specific_heat_capacity,isobaric_mass-specific_heat_capacity
atmosphere_air__mass-specific_isochoric_heat_capacity,atmosphere@context~in_(air_isochoric-process)__isochoric_mass-specific_heat_capacity,atmosphere_air__isochoric_mass-specific_heat_capacity,,atmosphere@context~in_(air_isochoric-process),atmosphere_air,phenomenon,isochoric_mass-specific_heat_capacity,isochoric_mass-specific_heat_capacity
atmosphere_air__north_derivative_of_temperature,atmosphere@context~in_air__north_derivative_of_temperature,atmosphere_air__north_derivative_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,north_derivative_of_temperature,north_derivative_of_temperature
atmosphere_air__potential_temperature,atmosphere@context~in_air__potential_temperature,atmosphere_air__potential_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,potential_temperature,potential_temperature
atmosphere_air__static_pressure,atmosphere@context~in_air__static_pressure,atmosphere_air__static_pressure,,atmosphere@context~in_air,atmosphere_air,phenomenon,static_pressure,static_pressure
atmosphere_air__static_pressure_environmental_lapse_rate,atmosphere@context~in_air__environmental_static_pressure_lapse_rate,atmosphere_air__environmental_static_pressure_lapse_rate,,atmosphere@context~in_air,atmosphere_air,phenomenon,environmental_static_pressure_lapse_rate,environmental_static_pressure_lapse_rate
atmosphere_air__temperature,atmosphere@context~in_air__temperature,atmosphere_air__temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,temperature,temperature
atmosphere_air__temperature_dry_adiabatic_lapse_rate,atmosphere@context~in_(air~dry_adiabatic-process)__dry_adiabatic_temperature_lapse_rate,atmosphere_air__dry_adiabatic_temperature_lapse_rate,,atmosphere@context~in_(air~dry_adiabatic-process),atmosphere_air,phenomenon,dry_adiabatic_temperature_lapse_rate,dry_adiabatic_temperature_lapse_rate
atmosphere_air__temperature_environmental_lapse_rate,atmosphere@context~in_air__environmental_temperature_lapse_rate,atmosphere_air__environmental_temperature_lapse_rate,,atmosphere@context~in_air,atmosphere_air,phenomenon,environmental_temperature_lapse_rate,environmental_temperature_lapse_rate
atmosphere_air__temperature_lapse_rate,atmosphere@context~in_air__temperature_lapse_rate,atmosphere_air__temperature_lapse_rate,,atmosphere@context~in_air,atmosphere_air,phenomenon,temperature_lapse_rate,temperature_lapse_rate
atmosphere_air__temperature_saturated_adiabatic_lapse_rate,atmosphere@context~in_(air_saturated_adiabatic-process)__saturated_adiabatic_temperature_lapse_rate,atmosphere_air__saturated_adiabatic_temperature_lapse_rate,,atmosphere@context~in_(air_saturated_adiabatic-process),atmosphere_air,phenomenon,saturated_adiabatic_temperature_lapse_rate,saturated_adiabatic_temperature_lapse_rate
atmosphere_air__thermal_conductivity,atmosphere@context~in_air__thermal_conductivity,atmosphere_air__thermal_conductivity,,atmosphere@context~in_air,atmosphere_air,phenomenon,thermal_conductivity,thermal_conductivity
atmosphere_air__thermal_diffusivity,atmosphere@context~in_air__thermal_diffusivity,atmosphere_air__thermal_diffusivity,,atmosphere@context~in_air,atmosphere_air,phenomenon,thermal_diffusivity,thermal_diffusivity
atmosphere_air__thermal_inertia,atmosphere@context~in_air__thermal_inertia,atmosphere_air__thermal_inertia,,atmosphere@context~in_air,atmosphere_air,phenomenon,thermal_inertia,thermal_inertia
atmosphere_air__thermal_resistivity,atmosphere@context~in_air__thermal_resistivity,atmosphere_air__thermal_resistivity,,atmosphere@context~in_air,atmosphere_air,phenomenon,thermal_resistivity,thermal_resistivity
atmosphere_air__volume-specific_isobaric_heat_capacity,atmosphere@context~in_(air_isobaric-process)__isobaric_volume-specific_heat_capacity,atmosphere_air__isobaric_volume-specific_heat_capacity,,atmosphere@context~in_(air_isobaric-process),atmosphere_air,phenomenon,isobaric_volume-specific_heat_capacity,isobaric_volume-specific_heat_capacity
atmosphere_air__volume-specific_isochoric_heat_capacity,atmosphere@context~in_(air_isochoric-process)__isochoric_volume-specific_heat_capacity,atmosphere_air__isochoric_volume-specific_heat_capacity,,atmosphere@context~in_(air_isochoric-process),atmosphere_air,phenomenon,isochoric_volume-specific_heat_capacity,isochoric_volume-specific_heat_capacity
atmosphere_air__x_derivative_of_temperature,atmosphere@context~in_air__x_derivative_of_temperature,atmosphere_air__x_derivative_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,x_derivative_of_temperature,x_derivative_of_temperature
atmosphere_air__y_derivative_of_temperature,atmosphere@context~in_air__y_derivative_of_temperature,atmosphere_air__y_derivative_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,y_derivative_of_temperature,y_derivative_of_temperature
atmosphere_air__z_derivative_of_temperature,atmosphere@context~in_air__z_derivative_of_temperature,atmosphere_air__z_derivative_of_temperature,,atmosphere@context~in_air,atmosphere_air,phenomenon,z_derivative_of_temperature,z_derivative_of_temperature
atmosphere_air-column_acetic-acid__mass-per-area_density,(atmosphere_air_column)@context~in_acetic-acid__mass-per-area_density,atmosphere_air-column_acetic-acid__mass-per-area_density,,(atmosphere_air_column)@context~in_acetic-acid,atmosphere_air-column_acetic-acid,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_aceto-nitrile__mass-per-area_density,(atmosphere_air_column)@context~in_acetonitrile__mass-per-area_density,atmosphere_air-column_aceto-nitrile__mass-per-area_density,,(atmosphere_air_column)@context~in_acetonitrile,atmosphere_air-column_aceto-nitrile,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_aerosol~dry_ammonium__mass-per-area_density,(atmosphere_air_column)@context~in_ammonium~aerosol~dry__mass-per-area_density,atmosphere_air-column_ammonium~aerosol~dry__mass-per-area_density,,(atmosphere_air_column)@context~in_ammonium~aerosol~dry,atmosphere_air-column_ammonium~aerosol~dry,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_alkanes__mass-per-area_density,(atmosphere_air_column)@context~in_alkanes__mass-per-area_density,atmosphere_air-column_alkanes__mass-per-area_density,,(atmosphere_air_column)@context~in_alkanes,atmosphere_air-column_alkanes,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_alkenes__mass-per-area_density,(atmosphere_air_column)@context~in_alkenes__mass-per-area_density,atmosphere_air-column_alkenes__mass-per-area_density,,(atmosphere_air_column)@context~in_alkenes,atmosphere_air-column_alkenes,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_alpha-hexachlorocyclohexane__mass-per-area_density,(atmosphere_air_column)@context~in_alpha-hch__mass-per-area_density,atmosphere_air-column_alpha-hexachlorocyclohexane__mass-per-area_density,,(atmosphere_air_column)@context~in_alpha-hch,atmosphere_air-column_alpha-hexachlorocyclohexane,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_alpha-pinene__mass-per-area_density,(atmosphere_air_column)@context~in_alpha-pinene__mass-per-area_density,atmosphere_air-column_alpha-pinene__mass-per-area_density,,(atmosphere_air_column)@context~in_alpha-pinene,atmosphere_air-column_alpha-pinene,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_ammonia__mass-per-area_density,(atmosphere_air_column)@context~in_ammonia__mass-per-area_density,atmosphere_air-column_ammonia__mass-per-area_density,,(atmosphere_air_column)@context~in_ammonia,atmosphere_air-column_ammonia,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_clox-as-chlorine__mass-per-area_density,(atmosphere_air_column)@context~in_clox-as-chlorine__mass-per-area_density,atmosphere_air-column_clox-as-chlorine__mass-per-area_density,,(atmosphere_air_column)@context~in_clox-as-chlorine,atmosphere_air-column_clox-as-chlorine,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_hox-as-hydrogen__mass-per-area_density,(atmosphere_air_column)@context~in_hox-as-hydrogen__mass-per-area_density,atmosphere_air-column_hox-as-hydrogen__mass-per-area_density,,(atmosphere_air_column)@context~in_hox-as-hydrogen,atmosphere_air-column_hox-as-hydrogen,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_nox-as-nitrogen__mass-per-area_density,(atmosphere_air_column)@context~in_nox-as-nitrogen__mass-per-area_density,atmosphere_air-column_nox-as-nitrogen__mass-per-area_density,,(atmosphere_air_column)@context~in_nox-as-nitrogen,atmosphere_air-column_nox-as-nitrogen,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air-column_water~vapor__liquid-equivalent_depth,(atmosphere_air_column)@context~in_water~vapor__leq_depth,atmosphere_air-column_water~vapor__leq_depth,,(atmosphere_air_column)@context~in_water~vapor,atmosphere_air-column_water~vapor,phenomenon,leq_depth,leq_depth
atmosphere_air-column_water~vapor__mass-per-area_density,(atmosphere_air_column)@context~in_water~vapor__mass-per-area_density,atmosphere_air-column_water~vapor__mass-per-area_density,,(atmosphere_air_column)@context~in_water~vapor,atmosphere_air-column_water~vapor,phenomenon,mass-per-area_density,mass-per-area_density
atmosphere_air_carbon-dioxide__equilibrium_partial_pressure,atmosphere@context~in_(air@medium_equilibrium_carbon-dioxide)__equilibrium_partial_pressure,atmosphere_air_carbon-dioxide__equilibrium_partial_pressure,,atmosphere@context~in_(air@medium_equilibrium_carbon-dioxide),atmosphere_air_carbon-dioxide,phenomenon,equilibrium_partial_pressure,equilibrium_partial_pressure
atmosphere_air_carbon-dioxide__partial_pressure,atmosphere@context~in_(air@medium_carbon-dioxide)__partial_pressure,atmosphere_air_carbon-dioxide__partial_pressure,,atmosphere@context~in_(air@medium_carbon-dioxide),atmosphere_air_carbon-dioxide,phenomenon,partial_pressure,partial_pressure
