https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
fldas_Evap_tavg,Evap_tavg,Evap_tavg,total_evapotranspiration,,land_surface_water__evapotranspiration_mass_flux,kg m-2 s-1,,,,
fldas_LWdown_f_tavg,LWdown_f_tavg,LWdown_f_tavg,surface_downwelling_longwave_flux_in_air,,land_surface_air_radiation~longwave~downwelling__energy_flux,W m-2,,,,
fldas_Lwnet_tavg,Lwnet_tavg,Lwnet_tavg,surface_net_downward_longwave_flux,,land_surface_air_radiation~longwave~downward__energy_flux,W m-2,,,,
fldas_Psurf_f_tavg,Psurf_f_tavg,Psurf_f_tavg,surface_air_pressure,,land_surface_air__pressure,Pa,,,,
fldas_Qair_f_tavg,Qair_f_tavg,Qair_f_tavg,specific_humidity,,atmosphere_air_water~vapor__specific_saturation,kg kg-1,,,,
fldas_Qg_tavg,Qg_tavg,Qg_tavg,downward_heat_flux_in_soil,,soil__downward_heat_energy_flux,W m-2,,,,
fldas_Qh_tavg,Qh_tavg,Qh_tavg,surface_upward_sensible_heat_flux,,land_surface__upward_sensible_heat_energy_flux,W m-2,,,,
fldas_Qle_tavg,Qle_tavg,Qle_tavg,surface_upward_latent_heat_flux,,land_surface__upward_latent_heat_energy_flux,W m-2,,,,
fldas_Qs_tavg,Qs_tavg,Qs_tavg,surface_runoff_amount,,land_surface_water__runoff_mass_flux,kg m-2 s-1,,,,
fldas_Qsb_tavg,Qsb_tavg,Qsb_tavg,subsurface_runoff_amount,,land_subsurface_water__runoff_mass_flux,kg m-2 s-1,,,,
fldas_RadT_tavg,RadT_tavg,RadT_tavg,surface_radiative_temperature,,land_surface__effective_radiative_temperature,K,,,,
fldas_Rainf_f_tavg,Rainf_f_tavg,Rainf_f_tavg,rainfall_flux,,atmosphere_water__rainfall_mass_flux,kg m-2 s-1,,,,
fldas_SM01_Percentile,SM01_Percentile,SM01_Percentile, soil moisture percentiles,,soil_water__volume_fraction,%,,,,
fldas_SWdown_f_tavg,SWdown_f_tavg,SWdown_f_tavg,surface_downwelling_shortwave_flux_in_air,,land_surface_air_radiation~shortwave~downwelling__energy_flux,W m-2,,,,
fldas_SoilMoi00_10cm_ta,SoilMoi00_10cm_ta,SoilMoi00_10cm_ta,soil_moisture_content,,land_surface~0-to-10cm-below_soil_water__volume_fraction,m^3 m-3,,,,
fldas_SoilMoi100_200cm_,SoilMoi100_200cm_,SoilMoi100_200cm_,soil_moisture_content,,land_surface~100-to-200cm-below_soil_water__volume_fraction,m^3 m-3,,,,
fldas_SoilMoi10_40cm_ta,SoilMoi10_40cm_ta,SoilMoi10_40cm_ta,soil_moisture_content,,land_surface~10-to-40cm-below_soil_water__volume_fraction,m^3 m-3,,,,
fldas_SoilMoi40_100cm_t,SoilMoi40_100cm_t,SoilMoi40_100cm_t,soil_moisture_content,,land_surface~40-to-100cm-below_soil_water__volume_fraction,m^3 m-3,,,,
fldas_SoilTemp00_10cm_t,SoilTemp00_10cm_t,SoilTemp00_10cm_t,soil_temperature,,land_surface~0-to-10cm-below_soil__temperature,K,,,,
fldas_SoilTemp100_200cm,SoilTemp100_200cm,SoilTemp100_200cm,soil_temperature,,land_surface~100-to-200cm-below_soil__temperature,K,,,,
fldas_SoilTemp10_40cm_t,SoilTemp10_40cm_t,SoilTemp10_40cm_t,soil_temperature,,land_surface~10-to-40cm-below_soil__temperature,K,,,,
fldas_SoilTemp40_100cm_,SoilTemp40_100cm_,SoilTemp40_100cm_,soil_temperature,,land_surface~40-to-100cm-below_soil__temperature,K,,,,
fldas_Swnet_tavg,Swnet_tavg,Swnet_tavg,surface_net_downward_shortwave_flux,,land_surface_radiation~shortwave~downward__energy_flux,W m-2,,,,
fldas_Tair_f_tavg,Tair_f_tavg,Tair_f_tavg,air_temperature,,air__temperature,K,,,,
fldas_Wind_f_tavg,Wind_f_tavg,Wind_f_tavg,wind_speed,,wind__speed,m s-1,,,,
,,,,,,,,,,
Topo_p,P,P,precipitation,Precipitation rate,atmosphere_water__precipitation_leq_volume_flux,mm/h,atmosphere_water__precipitation_volume_flux,,,
Topo_qs,qs,qs,soil water content,Saturated soil water content,soil_water__saturated_volume_fraction,,soil_water__volume_fraction,,,
Topo_albedo,albedo,albedo,albedo,surface albedo in [0-1],land_surface__albedo,,,,,
,,,,,,,,,,
DSSAT_hwam,HWAM,HWAM,harvest yield,Harvest yield at harvest maturity (dry wt),crop~mature~dry__harvest_mass-per-area_yield,kg/ha,,,,
DSSAT_cwam,CWAM,CWAM,tops dry weigth,Tops dry weight at maturity,crop~mature~dry_tops__mass-per-area_yield,kg/ha,,,,
DSSAT_FAMN,FAMN,FAMN,N_in_applied_fertilizer,Nitrogen in applied fertilizer,fertilizer~applied-as-nitrogen__mass-per-area_density,kg[N]/ha,,,,
