description,associated resource,current label,Current svo uri,current svo iri,provided label,provided svo iri,Unnamed: 4,Unnamed: 5,label change,iri change
Potential evapotranspiration, https://www.ncdc.noaa.gov/monitoring-references/dyk/potential-evapotranspiration,atmosphere_soil_water__thornthwaite_potential_evapotranspiration_volume,%28%28atmosphere%40role%7Esource_water%40role%7Emain_precipitation%29%40role%7Emain_evapotranspiration%29_%28soil%40role%7Esource_water%40role%7Emain_evapotranspiration%29__thornthwaite_potential_evapotranspiration_volume,((atmosphere@role~source_water@role~main_precipitation)@role~main_evapotranspiration)_(soil@role~source_water@role~main_evapotranspiration)__thornthwaite_potential_evapotranspiration_volume,atmosphere_soil_water__thornthwaite_potential_evapotranspiration_volume,((atmosphere@role~source_(water@role~main_precipitation))@role~main_evapotranspiration)_((soil@role~source_water)@role~main_evapotranspiration)__thornthwaite_potential_evapotranspiration_volume,,,FALSE,TRUE
Standardized precipitation evaporation index,https://www.researchgate.net/publication/252361460_The_Standardized_Precipitation-Evapotranspiration_Index_SPEI_a_multiscalar_drought_index,land_region_water__standardized_precipitation_evapotranspiration_drought_intensity_index,land%40context%7Epart_%28region%40context%7Eat_%28%28water%40role%7Emain_precipitation%29%40role%7Emain_evapotranspiration%29%29_drought__standardized_precipitation_evapotranspiration_drought_intensity_index,land@context~part_(region@context~at_((water@role~main_precipitation)@role~main_evapotranspiration))__standardized_precipitation_evapotranspiration_drought_intensity_index,land_region_water__standardized_precipitation_evapotranspiration_drought_intensity_index,land@context~part_(region@context~at_(water@role~main_precipitation_evapotranspiration))__standardized_precipitation_evapotranspiration_drought_intensity_index,,,FALSE,FALSE
Not sure,Deborah,atmosphere_water__standardized_precipitation_wetness_index,atmosphere%40role%7Esource_water%40role%7Emain_precipitation__standardized_precipitation_wetness_index,atmosphere@role~source_water@role~main_precipitation__standardized_precipitation_wetness_index,atmosphere_water__standardized_precipitation_wetness_index,atmosphere@role~source_water@role~main_precipitation__standardized_precipitation_wetness_index,,,FALSE,FALSE
Storage of Interception ,PIHM output,ground_water~intercepted__volume-per-area_storage_density,ground%40medium_water%7Eintercepted__volume-per-area_storage_capacity,ground@medium_water~intercepted__volume-per-area_storage_capacity,ground_water~intercepted__volume-per-area_storage_density,ground@medium_water~intercepted__volume-per-area_storage_density,,,FALSE,TRUE
Storage of Interception ,PIHM output,land_surface_snow~intercepted__volume-per-area_storage_density,%28land_surface%29%40context%7Eon_snow%7Eintercepted__volume-per-area_storage_capacity,(land_surface)@context~on_snow~intercepted__volume-per-area_storage_capacity,land_surface_snow~intercepted__volume-per-area_storage_density,(land_surface)@context~on_snow~intercepted__volume-per-area_storage_density,,,FALSE,TRUE
Storage of surface ,PIHM output,land_surface_soil_water__volume-per-area_storage_density,%28soil_surface%29%40medium_water__volume-per-area_storage_capacity,(soil_surface)@medium_water__volume-per-area_storage_capacity,land_surface_soil_water__volume-per-area_storage_density,(land_surface)@context~in_(soil@medium_water)__volume-per-area_storage_density,,,FALSE,TRUE
Storage of vados zone ,PIHM output,soil_zone~vadose_water__volume-per-area_storage_density,%28soil_unsat-zone%29%40medium_water,(soil_unsat-zone)@medium__volume-per-area_storage_capacity,soil_zone~vadose_water__volume-per-area_storage_density,(soil_zone~vadose)@medium_water__volume-per-area_storage_density,,,FALSE,TRUE
Groundwater head ,PIHM output,groundwater__head,%28land_surface%29%40context%7Ebelow_%28ground%40context%7Ein_water%29__head,(land_surface)@context~below_(ground@context~in_water)__head,groundwater__head,ground@context~in_water__head,,,FALSE,TRUE
Potential ET ,PIHM output,land_surface_water__potential_evapotranspiration_volume_flux,%28land_surface%29%40role%7Esource_water%40role%7Emain_evapotranspiration__potential_evapotranspiration_volume_flux,(land_surface)@role~source_water@role~main_evapotranspiration__potential_evapotranspiration_volume_flux,land_surface_water__potential_evapotranspiration_volume_flux,(land_surface)@role~source_water@role~main_evapotranspiration__potential_evapotranspiration_volume_flux,,,FALSE,FALSE
Evap of interception ,PIHM output,land_surface_water~intercepted__evaporation_volume_flux,%28land_surface%29%40role%7Esource_water%7Eintercepted%40role%7Emain_evaporation__evaporation_volume_flux,(land_surface)@role~source_water~intercepted@role~main_evaporation__evaporation_volume_flux,land_surface_water~intercepted__evaporation_volume_flux,(land_surface)@role~source_water~intercepted@role~main_evaporation__evaporation_volume_flux,,,FALSE,FALSE
Transpiration,PIHM output,land_surface_water__transpiration_volume_flux,%28land_surface%29%40role%7Esource_water%40role%7Emain_transpiration__transpiration_volume_flux,(land_surface)@role~source_water@role~main_transpiration__transpiration_volume_flux,land_surface_water__transpiration_volume_flux,(land_surface)@role~source_water@role~main_transpiration__transpiration_volume_flux,,,FALSE,FALSE
Soil Evaporation ,PIHM output,land_surface_soil_water__evaporation_volume_flux,%28soil_surface%29%40role%7Esource_water%40role%7Emain_evaporation__evaporation_volume_flux,(soil_surface)@role~source_water@role~main_evaporation__evaporation_volume_flux,land_surface_soil_water__evaporation_volume_flux,(land_surface)@context~at_(soil@role~source_water@role~main_evaporation)__evaporation_volume_flux,,,FALSE,TRUE
Precipitation,PIHM output,atmosphere_water__precipitation_volume_flux,atmosphere%40role%7Esource_water%40role%7Emain_precipitation__precipitation_volume_flux,atmosphere@role~source_water@role~main_precipitation__precipitation_volume_flux,atmosphere_water__precipitation_volume_flux,atmosphere@role~source_water@role~main_precipitation__precipitation_volume_flux,,,FALSE,FALSE
