abstraction_taxonomic,abstraction_id,abstraction_label,synonym,plural_of,wikipedia_page,
airfoil,airfoil,airfoil,aerofoil,,http://en.wikipedia.org/wiki/Airfoil,
apex,apex,apex,,,https://en.wikipedia.org/wiki/Apex_(geometry),
aphelion,aphelion,aphelion,,,https://en.wikipedia.org/wiki/Perihelion_and_aphelion,
axis,axis,axis,,,https://en.wikipedia.org/wiki/Cartesian_coordinate_system,
boundary,boundary,boundary,,,https://en.wikipedia.org/wiki/Boundary_(topology),
cell,cell,cell,,,https://en.wikipedia.org/wiki/Face_(geometry)#Cell_or_3-face,
center,center,center,,,https://en.wikipedia.org/wiki/Centre_(geometry),
circle,circle,circle,,,https://en.wikipedia.org/wiki/Circle,
contour,contour,contour,,,https://en.wikipedia.org/wiki/Contour_line,
crest,crest,crest,,,http://en.wikipedia.org/wiki/Crest,
curve,curve,curve,,,http://en.wikipedia.org/wiki/Curve,
datum,datum,datum,,,http://en.wikipedia.org/wiki/Datum,
ellipse,ellipse,ellipse,,,http://en.wikipedia.org/wiki/Ellipse,
ellipsoid,ellipsoid,ellipsoid,,,http://en.wikipedia.org/wiki/Ellipsoid,
epicenter,epicenter,epicenter,,,http://en.wikipedia.org/wiki/Epicenter,
equator,equator,equator,,,http://en.wikipedia.org/wiki/Equator,
face,face,face,,,https://en.wikipedia.org/wiki/Face_(geometry),
foci,foci,foci,,focus,,
focus,focus,focus,,,https://en.wikipedia.org/wiki/Focus_(geometry),
graph,graph,graph,,,https://en.wikipedia.org/wiki/Graph_(discrete_mathematics),
grid,grid,grid,,,https://en.wikipedia.org/wiki/Lattice_graph,
hypocenter,hypocenter,hypocenter,,,http://en.wikipedia.org/wiki/Hypocenter,
line,line,line,,,https://en.wikipedia.org/wiki/Line,
line~centerline,centerline,centerline,,,,
line~crestline,crestline,crestline,,,,
location,location,location,,,https://en.wikipedia.org/wiki/Location_(geography),
mask,mask,mask,,,https://en.wikipedia.org/wiki/Mask_(computing),
x-section,x-section,x-section,cross-section,,https://en.wikipedia.org/wiki/Cross_section_(geometry),
node,node,node,,,https://en.wikipedia.org/wiki/Vertex_(graph_theory),https://en.wikipedia.org/wiki/Shell
oscillator,oscillator,oscillator,,,,
parabola,parabola,parabola,,,https://en.wikipedia.org/wiki/Parabola,
partition,partition,partition,,,https://en.wikipedia.org/wiki/Partition_of_an_interval,
partition~cell,cell,cell,,,,
partition~column,column,column,,,,
perihelion,perihelion,perihelion,,,https://en.wikipedia.org/wiki/Perihelion_and_aphelion,
plane,plane,plane,,,,
point,point,point,,,https://en.wikipedia.org/wiki/Point,
point~centroid,centroid,centroid,,,http://en.wikipedia.org/wiki/Centroid,https://en.wikipedia.org/wiki/Cartesian_coordinate_system
point~endpoint,endpoint,endpoint,,,https://en.wikipedia.org/wiki/Endpoint,
points,points,points,,point,,
points~endpoints,endpoints,endpoints,,point~endpoint,https://en.wikipedia.org/wiki/Endpoint,
pole,pole,pole,,,https://en.wikipedia.org/wiki/Pole,
polygon,polygon,polygon,,,http://en.wikipedia.org/wiki/Polygon,
polynomial,polynomial,polynomial,,,https://en.wikipedia.org/wiki/Polynomial,
ray,ray,ray,,,https://en.wikipedia.org/wiki/Line_(geometry)#Ray,
partition~row,row,row,,,https://en.wikipedia.org/wiki/Row,
scene,scene,scene,,,,
seismograph,seismograph,seismograph,,,,
set,set,set,,,https://en.wikipedia.org/wiki/Set,
set~cantor,cantor-set,cantor-set,,,https://en.wikipedia.org/wiki/Cantor_set,
shell,shell,shell,,,,
sierpinski-gasket,sierpinski-gasket,sierpinski-gasket,,,https://en.wikipedia.org/wiki/Sierpinski_triangle,
sphere,sphere,sphere,,,http://en.wikipedia.org/wiki/Sphere,
square,square,square,,,http://en.wikipedia.org/wiki/Square,
surface,surface,surface,,,https://en.wikipedia.org/wiki/Surface_(mathematics),
transect,transect,transect,,,http://en.wikipedia.org/wiki/Transect,
trapezoid,trapezoid,trapezoid,,,https://en.wikipedia.org/wiki/Trapezoid,
triangle,triangle,triangle,,,https://en.wikipedia.org/wiki/Triangle,
trough,trough,trough,,,https://en.wikipedia.org/wiki/Crest_(physics),
