abstraction_taxonomic,abstraction_id,abstraction_label,abstraction,abstraction_applied,part,attribute,synonym,plural_of,wikipedia_page
shape,airfoil,airfoil,,,,,aerofoil,,http://en.wikipedia.org/wiki/Airfoil
,airfoil_curve~enclosing,airfoil_curve~enclosing,airfoil,curve~enclosing,,,,,
line,axis,axis,,,,,,,
axis,axis~semi-major,axis~semi-major,,,,semi-major,,,https://en.wikipedia.org/wiki/Semi-major_and_semi-minor_axes
axis,axis~semi-minor,axis~semi-minor,,,,semi-minor,,,https://en.wikipedia.org/wiki/Semi-major_and_semi-minor_axes
axis,axis~vertical,axis~vertical,,,,vertical,,,
axis,axis~x,axis~x,,,,x,,,
mask,binary-mask,binary-mask,,,,binary,,,
point-set,cantor-set,cantor-set,,,,,,,https://en.wikipedia.org/wiki/Cantor_set
shape,circle,circle,,,,,,,https://en.wikipedia.org/wiki/Circle
,curve,curve,,,,,,,http://en.wikipedia.org/wiki/Curve
curve,curve~enclosing,curve~enclosing,,,,enclosing,,,
,data-stream,data-stream,,,,,,,
,datum,datum,,,,,,,
,datum_ellipsoid,datum_ellipsoid,datum,ellipsoid,,,,,
,datum_ellipsoid_surface,datum_ellipsoid_surface,datum_ellipsoid,surface,,,,,
,datum_geodesic,datum_geodesic,datum,geodesic,,,,,
shape,ellipse,ellipse,,,,,,,http://en.wikipedia.org/wiki/Ellipse
shape,ellipsoid,ellipsoid,,,,,,,http://en.wikipedia.org/wiki/Ellipsoid
,equation,equation,,,,,,,https://en.wikipedia.org/wiki/Equation
,equations,equations,,,,,,equation,
,expression,expression,,,,,,,https://en.wikipedia.org/wiki/Expression_(mathematics)
,function,function,,,,,,,https://en.wikipedia.org/wiki/Function_(mathematics)
,graph,graph,,,,,,,https://en.wikipedia.org/wiki/Graph_(discrete_mathematics)
graph,graph~tree,graph~tree,,,,,,,https://en.wikipedia.org/wiki/Tree_(graph_theory)
graph~tree,graph~tree~rooted,graph~tree~rooted,,,,,,,https://en.wikipedia.org/wiki/Tree_(graph_theory)#Rooted_tree
graph,grid,grid,,,,,,,https://en.wikipedia.org/wiki/Lattice_graph
,grid_axis~x,grid_axis~x,grid,axis~x,,,,,
,grid_bottom,grid_bottom,grid,,bottom,,,,
,grid_cell,grid_cell,grid,cell,,,,,
,grid_cell_center,grid_cell_center,grid_cell,center,,,,,
,grid_cell_centroid,grid_cell_centroid,grid_cell,centroid,,,,,
,grid_cell_column,grid_cell_column,grid_cell,column,,,,,
,grid_cell_edge,grid_cell_edge,grid_cell,,edge,,,,
,grid_cell_edge_center,grid_cell_edge_center,grid_cell_edge,center,,,,,
,grid_cell_edge~east,grid_cell_edge~east,grid_cell,,edge~east,,,,
,grid_cell_edge~north,grid_cell_edge~north,grid_cell,,edge~north,,,,
,grid_cell_edge~south,grid_cell_edge~south,grid_cell,,edge~south,,,,
,grid_cell_edge~west,grid_cell_edge~west,grid_cell,,edge~west,,,,
,grid_cell_edge~x,grid_cell_edge~x,grid_cell,,edge~x,,,,
,grid_cell_edge~y,grid_cell_edge~y,grid_cell,,edge~y,,,,
,grid_cell_face,grid_cell_face,grid_cell,,face,,,,
,grid_cell_face_centroid,grid_cell_face_centroid,grid_cell_face,centroid,,,,,
,grid_cell_row,grid_cell_row,grid_cell,row,,,,,
,grid_cell_row-major-offset,grid_cell_row-major-offset,grid_cell,row-major-offset,,,,,
,grid_cell_surface,grid_cell_surface,grid_cell,surface,,,,,
,grid_cell~dual,grid_cell~dual,grid,cell~dual,,,,,
,grid_cell~dual_centroid,grid_cell~dual_centroid,grid_cell~dual,centroid,,,,,
,grid_cell~dual_column,grid_cell~dual_column,grid_cell~dual,column,,,,,
