abstraction_taxonomic,abstraction_id,abstraction_label,abstraction,abstraction_applied,part,attribute,synonym,plural_of,wikipedia_page
point,apex,apex,,,,,,,https://en.wikipedia.org/wiki/Apex_(geometry)
point,aphelion,aphelion,,,,,,,https://en.wikipedia.org/wiki/Perihelion_and_aphelion
point-set,boundary,boundary,,,,,contour,,https://en.wikipedia.org/wiki/Boundary_(topology)
partition,cell,cell,,,,,,,https://en.wikipedia.org/wiki/Face_(geometry)#Cell_or_3-face
cell,cell~dual,cell~dual,,,,dual,,,
cell,cell~primary,cell~primary,,,,primary,,,
point,center,center,,,,,,,https://en.wikipedia.org/wiki/Centre_(geometry)
line,centerline,centerline,,,,,,,
point,centroid,centroid,,,,,,,http://en.wikipedia.org/wiki/Centroid
partition,column,column,,,,,,,https://en.wikipedia.org/wiki/Row_and_column_spaces
point-set,contour,contour,,,,,isocline,,https://en.wikipedia.org/wiki/Contour_line
,crest,crest,,,,,,,https://en.wikipedia.org/wiki/Crest_and_trough
,crest_x-section,crest_x-section,crest,x-section,,,,,
,crest_x-section_vertex,crest_x-section_vertex,crest_x-section,vertex,,,,,
line,crestline,crestline,,,,,,,
point,endpoint,endpoint,,,,,,,https://en.wikipedia.org/wiki/Endpoint
points,endpoints,endpoints,,,,,,endpoint,https://en.wikipedia.org/wiki/Endpoint
shape,face,face,,,,,,,https://en.wikipedia.org/wiki/Face_(geometry)
points,foci,foci,,,,,,focus,
point,focus,focus,,,,,,,https://en.wikipedia.org/wiki/Focus_(geometry)
surface,isosurface,isosurface,,,,,,,https://en.wikipedia.org/wiki/Isosurface
point,node,node,,,,,,,
node,node~dual,node~dual,,,,dual,,,
node~dual,node~dual~x,node~dual~x,,,,x,,,
node~dual,node~dual~y,node~dual~y,,,,y,,,
node~dual,node~dual~z,node~dual~z,,,,z,,,
node,node~primary,node~primary,,,,primary,,,
node~primary,node~primary~x,node~primary~x,,,,x,,,
node~primary,node~primary~y,node~primary~y,,,,y,,,
node~primary,node~primary~z,node~primary~z,,,,z,,,
,partition,partition,,,,,,,https://en.wikipedia.org/wiki/Partition_of_an_interval
point,perihelion,perihelion,,,,,,,https://en.wikipedia.org/wiki/Perihelion_and_aphelion
partition,row,row,,,,,,,https://en.wikipedia.org/wiki/Row_and_column_spaces
,shell,shell,,,,,,,
,surface,surface,,,,,,,https://en.wikipedia.org/wiki/Surface_(mathematics)
,surface~horizontal,surface~horizontal,surface,,,horizontal,,,
,surface_viewpoint,surface_viewpoint,surface,viewpoint,,,,,
,trough,trough,,,,,,,https://en.wikipedia.org/wiki/Crest_and_trough
point,vertex,vertex,,,,,,,https://en.wikipedia.org/wiki/Vertex_(geometry)
,x-section,x-section,,,,,cross-section,,https://en.wikipedia.org/wiki/Cross_section_(geometry)
,x-section_parabola,x-section_parabola,x-section,parabola,,,,,
,x-section_top,x-section_top,x-section,,top,,,,
,x-section_trapezoid,x-section_trapezoid,x-section,trapezoid,,,,,
,x-section_trapezoid_bottom,x-section_trapezoid_bottom,x-section_trapezoid,,bottom,,,,
,x-section_trapezoid_side,x-section_trapezoid_side,x-section_trapezoid,,side,,,,
,x-section_trapezoid_side~left,x-section_trapezoid_side~left,x-section_trapezoid,,side~left,,,,
,x-section_trapezoid_side~right,x-section_trapezoid_side~right,x-section_trapezoid,,side~right,,,,
,x-section_trapezoid_top,x-section_trapezoid_top,x-section_trapezoid,,top,,,,
x-section,x-section~horizontal,x-section~horizontal,,,,horizontal,,,
,x-section~horizontal_circle,x-section~horizontal_circle,x-section~horizontal,circle,,,,,
x-section,x-section~vertical,x-section~vertical,,,,vertical,,,
