abstraction_taxonomic,abstraction_id,abstraction_label,synonym,plural_of,wikipedia_page,
point,apex,apex,,,https://en.wikipedia.org/wiki/Apex_(geometry),
point,aphelion,aphelion,,,https://en.wikipedia.org/wiki/Perihelion_and_aphelion,
point,perihelion,perihelion,,,https://en.wikipedia.org/wiki/Perihelion_and_aphelion,
point,centroid,centroid,,,http://en.wikipedia.org/wiki/Centroid,https://en.wikipedia.org/wiki/Cartesian_coordinate_system
point,endpoint,endpoint,,,https://en.wikipedia.org/wiki/Endpoint,
points,endpoints,endpoints,,endpoint,https://en.wikipedia.org/wiki/Endpoint,
point,epicenter,epicenter,,,http://en.wikipedia.org/wiki/Epicenter,
points,foci,foci,,focus,,
point,focus,focus,,,https://en.wikipedia.org/wiki/Focus_(geometry),
point,hypocenter,hypocenter,,,http://en.wikipedia.org/wiki/Hypocenter,
point-set,boundary,boundary,,contour,https://en.wikipedia.org/wiki/Boundary_(topology),
curve,contour,contour,,isocline,https://en.wikipedia.org/wiki/Contour_line,
line,centerline,centerline,,,,
line,crestline,crestline,,,,
shape,x-section,x-section,cross-section,,https://en.wikipedia.org/wiki/Cross_section_(geometry),
shape,surface,surface,,,https://en.wikipedia.org/wiki/Surface_(mathematics),
point,center,center,,,https://en.wikipedia.org/wiki/Centre_(geometry),
partition,partition,partition,,,https://en.wikipedia.org/wiki/Partition_of_an_interval,
partition,cell,cell,,,https://en.wikipedia.org/wiki/Face_(geometry)#Cell_or_3-face,
partition,column,column,,,https://en.wikipedia.org/wiki/Row_and_column_spaces,
partition~row,row,row,,,https://en.wikipedia.org/wiki/Row_and_column_spaces,
shape,face,face,,,https://en.wikipedia.org/wiki/Face_(geometry),
,trough,trough,,,https://en.wikipedia.org/wiki/Crest_and_trough,
,crest,crest,,,https://en.wikipedia.org/wiki/Crest_and_trough,
point,node,node,,,,
line,axis,axis,,,,
line,equator,equator,,,http://en.wikipedia.org/wiki/Equator,
point,pole,pole,,,https://en.wikipedia.org/wiki/Poles_of_astronomical_bodies,
,shell,shell,,,,
