abstraction_id,abstraction_label,synonym,plural_of,wikipedia_page
line,line,,,https://en.wikipedia.org/wiki/Line
point,point,,,https://en.wikipedia.org/wiki/Point
points,points,,point,
datum,datum,,,http://en.wikipedia.org/wiki/Datum
curve,curve,,,http://en.wikipedia.org/wiki/Curve
graph,graph,,,https://en.wikipedia.org/wiki/Graph_(discrete_mathematics)
grid,grid,,,https://en.wikipedia.org/wiki/Lattice_graph
expression,expression,,,https://en.wikipedia.org/wiki/Expression_(mathematics)
function,function,,,https://en.wikipedia.org/wiki/Function_(mathematics)
point-set,point-set,,,
plane,plane,,,https://en.wikipedia.org/wiki/Plane_(geometry)
equations,equations,,equation,
equation,equation,,,https://en.wikipedia.org/wiki/Equation
model,model,,,http://en.wikipedia.org/wiki/Model
projection,projection,,,https://en.wikipedia.org/wiki/Vector_projection
cardinal-direction,cardinal-direction,,,https://en.wikipedia.org/wiki/Cardinal_direction
