body_taxonomic,body_id,body_label,role,form,attribute,synonym,plural_of,wikipedia_page
,ablabesmyia,ablabesmyia,,,,,,https://en.wikipedia.org/wiki/Ablabesmyia
ablabesmyia,ablabesmyia~janta,ablabesmyia~janta,,,,,,
ablabesmyia,ablabesmyia~mallochi,ablabesmyia~mallochi,,,,,,
,acamptocladius,acamptocladius,,,,,,https://en.wikipedia.org/wiki/Acamptocladius
,acentropus,acentropus,,,,acentria,,https://en.wikipedia.org/wiki/Acentria
,actinobdella,actinobdella,,,,,,
,actinomycetes,actinomycetes,,,,,,https://en.wikipedia.org/wiki/Actinomycetales
,adenophorea,adenophorea,,,,,,https://en.wikipedia.org/wiki/Adenophorea
,adicrophleps,adicrophleps,,,,,,
,aedes,aedes,,,,,,https://en.wikipedia.org/wiki/Aedes
,aeolosoma,aeolosoma,,,,,,
,aeolosomatidae,aeolosomatidae,,,,,,https://en.wikipedia.org/wiki/Aeolosomatidae
,agapetus,agapetus,,,,,,https://en.wikipedia.org/wiki/Agapetus_(genus)
,agarodes,agarodes,,,,,,
,agathon,agathon,,,,,,
,agraylea,agraylea,,,,,,
,agrypnia,agrypnia,,,,,,https://en.wikipedia.org/wiki/Agrypnia
,alciopidae,alciopidae,,,,,,
,algae,algae,,,,,,https://en.wikipedia.org/wiki/Algae
,alisotrichia,alisotrichia,,,,,,
,allocosmoecus,allocosmoecus,,,,,,
,alluaudomyia,alluaudomyia,,,,,,
,alona,alona,,,,,,https://en.wikipedia.org/wiki/Alona_(crustacean)
,amiocentrus,amiocentrus,,,,,,
amiocentrus,amiocentrus~aspilus,amiocentrus~aspilus,,,,,,
,ampharetidae,ampharetidae,,,,,,https://en.wikipedia.org/wiki/Ampharetidae
,amphicosmoecus,amphicosmoecus,,,,,,
,amphinemura,amphinemura,,,,,,
,amphinomidae,amphinomidae,,,,,,https://en.wikipedia.org/wiki/Amphinomidae
,amphipoda,amphipoda,,,,,,https://en.wikipedia.org/wiki/Amphipoda
,amphiporidae,amphiporidae,,,,,,
,amphiporus,amphiporus,,,,,,
,anabolia,anabolia,,,,,,
,anagapetus,anagapetus,,,,,,
,anaitides,anaitides,,,,,,
,anatopynia,anatopynia,,,,,,https://en.wikipedia.org/wiki/Anatopynia
,anisocentropus,anisocentropus,,,,,,
anisocentropus,anisocentropus~pyraloides,anisocentropus~pyraloides,,,,,,
,annelida,annelida,,,,,,https://en.wikipedia.org/wiki/Annelid
,anopheles,anopheles,,,,,,https://en.wikipedia.org/wiki/Anopheles
,anopla,anopla,,,,,,https://en.wikipedia.org/wiki/Anopla
,anostraca,anostraca,,,,,,https://en.wikipedia.org/wiki/Anostraca
,anthozoa,anthozoa,,,,,,https://en.wikipedia.org/wiki/Anthozoa
,anthuridae,anthuridae,,,,anthuroidea,,https://en.wikipedia.org/wiki/Anthuroidea
,antichaeta,antichaeta,,,,,,
,antocha,antocha,,,,,,https://en.wikipedia.org/wiki/Antocha
,apatania,apatania,,,,,,
,aphroditidae,aphroditidae,,,,,,
,aphrosylus,aphrosylus,,,,,,https://en.wikipedia.org/wiki/Aphrosylus
,apistobranchidae,apistobranchidae,,,,,,
,apsectrotanypus,apsectrotanypus,,,,,,https://en.wikipedia.org/wiki/Apsectrotanypus
,arabellidae,arabellidae,,,,,,
