part_id,part_label,synonym,plural_of,wikipedia_page
brain,brain,,,http://en.wikipedia.org/wiki/Brain
eye,eye,,,https://en.wikipedia.org/wiki/Eye
hair,hair,,,http://en.wikipedia.org/wiki/Hair
head,head,,,http://en.wikipedia.org/wiki/Head
leaf,leaf,,,https://en.wikipedia.org/wiki/Leaf
leaves,leaves,,leaf,
oocyst,oocyst,,,https://en.wikipedia.org/wiki/Apicomplexan_life_cycle#oocyst
oocysts,oocysts,,oocyst,
root,root,,,https://en.wikipedia.org/wiki/Root
roots,roots,,root,
skin,skin,,,http://en.wikipedia.org/wiki/Skin
trunk,trunk,,,https://en.wikipedia.org/wiki/Trunk_(botany)
stoma,stoma,stomate,,https://en.wikipedia.org/wiki/Stoma
stomata,stomata,stomates,stoma,
cyst,cyst,,,https://en.wikipedia.org/wiki/Cyst
cysts,cysts,,cyst,
neck,neck,,,https://en.wikipedia.org/wiki/Neck
