attribute_taxonomic,attribute_id,attribute_label,property_id,synonyms,plural_of,wikipedia_page
boiling-point,boiling-point,boiling-point,temperature,,,https://en.wikipedia.org/wiki/Boiling_point
bubble-point,bubble-point,bubble-point,temperature,,,https://en.wikipedia.org/wiki/Bubble_point
critical-point,critical-point,critical-point,temperature,critical-state,,https://en.wikipedia.org/wiki/Critical_point_(thermodynamics)
dew-point,dew-point,dew-point,temperature,,,https://en.wikipedia.org/wiki/Dew_point
freezing-point,freezing-point,freezing-point,temperature,,,https://en.wikipedia.org/wiki/Melting_point
frost-point,frost-point,frost-point,temperature,,,https://en.wikipedia.org/wiki/Dew_point#Frost_point
melting-point,melting-point,melting-point,temperature,,,https://en.wikipedia.org/wiki/Melting_point
wilting-point,wilting-point,wilting-point,temperature,,,https://en.wikipedia.org/wiki/Permanent_wilting_point
no-snow,no-snow,no-snow,,,,
no-tide,no-tide,no-tide,,,,
clear-sky,clear-sky,clear-sky,,,,
overcast-sky,overcast-sky,overcast-sky,,,,https://en.wikipedia.org/wiki/Overcast
deep-snow,deep-snow,deep-snow,,,,
bankfull,bankfull,bankfull,elevation,,,
2x-critical-level,2x-critical-level,2x-critical-level,,,,
level~base,base-level,base-level,,,,https://en.wikipedia.org/wiki/Base_level
high-level,high-level,high-level,,,,
low-level,low-level,low-level,,,,
level~mean,level~mean,level~mean,,,,
level~free-convection,level~free-convection,level~free-convection,,,,
level~freezing,level~freezing,level~freezing,,,,
level~lifting-condensation,level~lifting-condensation,level~lifting-condensation,,,,
stp,stp,stp,"temperature, pressure",standard-temperature-and-pressure,,https://en.wikipedia.org/wiki/Standard_conditions_for_temperature_and_pressure
equilibrium~with-aragonite~pure,at-equilibrium-with-pure-aragonite,at-equilibrium-with-pure-aragonite,,,,
equilibrium~with-calcite~pure,at-equilibrium-with-pure-calcite,at-equilibrium-with-pure-calcite,,,,
equilibrium,equilibrium,equilibrium,,,,https://en.wikipedia.org/wiki/List_of_types_of_equilibrium
equilibrium~with-aragonite,at-equilibrium-with-aragonite,at-equilibrium-with-aragonite,,,,
equilibrium~with-calcite,at-equilibrium-with-calcite,at-equilibrium-with-calcite,,,,
