participant,participantrel,participantclass
air_flowing,in,"phenomenon, "
atmosphere_air_column,in,"phenomenon, "
atmosphere_bottom,in,"body, "
atmosphere_datum~vertical~tidal~msl,in,"phenomenon, "
atmosphere_top,in,"body, "
atmosphere_top,sink,"body, "
atmosphere_top,source,"body, "
atmosphere_top_surface,sink,"phenomenon, "
basin~drainage_bankfull,part,"body, "
benzene_molecule,part,"body, "
carbon_isotope,part,"body, "
cesium_atom,part,"body, "
channel@context~in_(water_surface),above,
channel@context~part_bank,on,
channel@context~part_entrance,at,
channel@context~part_exit,at,
channel_bottom,at,"form, "
channel_bottom,on,"form, "
channel~main@context~part_entrance,in,
delta_beds~bottomset,on,"body, "
delta_beds~foreset,on,"body, "
delta_beds~topset,on,"body, "
delta_beds~topset~lower,on,"body, "
delta_beds~topset~upper,on,"body, "
delta_front,in,"body, "
dihydrogen_molecule,part,"body, "
dinitrogen_molecule,part,"body, "
dioxygen_molecule,part,"body, "
distributary@context~part_outlet,in,
earth_crust,in,"body, "
earth_interior,in,"body, "
earth_mantle,in,"body, "
earth_surface,at,"phenomenon, "
earth_surface,on,"phenomenon, "
earth_surface,sink,"phenomenon, "
ethane_molecule,part,"body, "
glacier@context~in_ice,source,
glacier_bottom,in,"body, "
glacier_top,in,"body, "
glacier_top_surface,sink,"phenomenon, "
glacier_top_surface,source,"phenomenon, "
grid_cell,in,"abstraction, "
grid_cell_centroid,in,"abstraction, "
grid_cell_edge_center,in,"abstraction, "
grid_cell_face_centroid,in,"abstraction, "
grid_cell~dual,in,"abstraction, "
grid_cell~dual_centroid,in,"abstraction, "
grid_cell~dual_edge_center,in,"abstraction, "
grid_cell~dual_face_centroid,in,"abstraction, "
grid_cell~primary,in,"abstraction, "
grid_cell~primary_centroid,in,"abstraction, "
grid_cell~primary_edge_center,in,"abstraction, "
grid_cell~primary_face_centroid,in,"abstraction, "
grid_edge~west,in,"abstraction, "
grid_node,in,"abstraction, "
grid_node~dual,in,"abstraction, "
grid_node~primary,in,"abstraction, "
iron_atom,part,"body, "
land_surface,above,"phenomenon, "
land_surface,at,"phenomenon, "
land_surface,exchange,"phenomenon, "
land_surface,in,"phenomenon, "
land_surface,on,"phenomenon, "
land_surface,optional,"phenomenon, "
sea_surface,optional,"phenomenon, "
land_surface,sink,"phenomenon, "
land_surface,source,"phenomenon, "
material_mineral-phase,in,"matter, "
ozone_molecule,part,"body, "
projectile_impaction,source,"phenomenon, "
projectile_trajectory_origin,at,"phenomenon, "
projectile_trajectory_target,at,"phenomenon, "
sea@context~adjacent_shoreline,sink,
sea@context~at_(ice_bottom),below,
sea@context~at_(ice_surface),above,
sea@context~at_ice,source,
sea_bed,at,"body, "
sea_bottom,at,"body, "
sea_bottom,on,"body, "
sea_bottom_surface,at,"phenomenon, "
sea_surface,above,"phenomenon, "
sea_surface,at,"phenomenon, "
storm,source,"phenomenon, "
sea_surface,in,"phenomenon, "
sea_surface,sink,"phenomenon, "
sea_surface,source,"phenomenon, "
snowpack_top,above,"body, "
water@medium_diatoms,in,
water_flowing,in,"phenomenon, "
water_molecule,part,"body, "
aerosol,source,"form, attribute, "
air,in,"matter, "
atmosphere,in,"body, "
atmosphere,source,"body, "
automobile,in,"body, "
automobile,part,"body, "
basin~drainage,in,"body, "
basin~drainage,part,"body, "
bear,part,"body, process, "
bear~black~american,part,"body, "
bedrock,in,"body, "
bluejack-oak,part,"body, "
channel-network,part,"form, "
channel,in,"form, "
channel,part,"form, "
channel~main,part,"form, "
clouds,source,"phenomenon, "
cylinder,part,"body, "
delta,part,"body, "
distributary-network,in,"body, "
distributary,part,"body, "
earth,in,"body, "
earth,on,"body, "
earth,surrounding,"body, "
earthquake,source,"phenomenon, "
engine,in,"body, "
engine,part,"body, "
glacier,in,"body, "
grid,in,"abstraction, "
human,part,"body, "
impaction,source,"phenomenon, process, "
instrument,part,"body, "
lake,in,"body, "
land,on,"body, "
land,part,"body, "
land~flooded,on,"body, "
mars,orbitting,"body, "
mars,surrounding,"body, "
material,in,"matter, "
model,in,"abstraction, "
ocean,part,"body, "
outlet,at,"role, "
outlet,part,"role, "
outlet~terminal,at,"role, "
physics,in,"abstraction, "
pipe,in,"body, "
plain~upper,on,"body, "
region~state,part,"form, "
sea,adjacent,"body, "
sea,at,"body, "
sea,in,"body, "
sediment,in,"matter, "
shoreline,on,"abstraction_part, "
snowpack,in,"body, "
snowpack,part,"body, "
snowpack,sink,"body, "
snowpack,source,"body, "
soil,in,"matter, "
space-shuttle,part,"body, "
station,at,"body, "
station~seismic,part,"body, "
station~seismic,source,"body, "
tank~storage~open-top,in,"body, "
tank~storage~open-top,part,"body, "
titan,surrounding,"body, "
toyota-corolla~2008,part,"body, "
universe,in,"phenomenon, "
vacuum,in,"phenomenon, "
vegetation,part,"body, process, "
water,in,"matter, "
weir,source,"body, "
