phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(air_flowing)@context~in_water~vapor,air_flowing,context,in,"phenomenon, ",water~vapor,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_acetic-acid,atmosphere_air_column,context,in,"phenomenon, ",acetic-acid,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_acetonitrile,atmosphere_air_column,context,in,"phenomenon, ",acetonitrile,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_alkanes,atmosphere_air_column,context,in,"phenomenon, ",alkanes,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_alkenes,atmosphere_air_column,context,in,"phenomenon, ",alkenes,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_alpha-hch,atmosphere_air_column,context,in,"phenomenon, ",alpha-hch,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_alpha-pinene,atmosphere_air_column,context,in,"phenomenon, ",alpha-pinene,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_ammonia,atmosphere_air_column,context,in,"phenomenon, ",ammonia,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_ammonium~aerosol~dry,atmosphere_air_column,context,in,"phenomenon, ",ammonium~aerosol~dry,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_clox-as-chlorine,atmosphere_air_column,context,in,"phenomenon, ",clox-as-chlorine,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_hox-as-hydrogen,atmosphere_air_column,context,in,"phenomenon, ",hox-as-hydrogen,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_nox-as-nitrogen,atmosphere_air_column,context,in,"phenomenon, ",nox-as-nitrogen,,,"matter, ",,,,,,,,,,,,
(atmosphere_air_column)@context~in_water~vapor,atmosphere_air_column,context,in,"phenomenon, ",water~vapor,,,"matter, ",,,,,,,,,,,,
(atmosphere_bottom)@context~in_((air_flowing)@context~in_water~vapor),atmosphere_bottom,context,in,"body, ",(air_flowing)@context~in_water~vapor,,,,,,,,,,,,,,,
(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_buildings@role~exchange),atmosphere_bottom,context,in,"body, ",(air_flowing)@role~exchange_buildings@role~exchange,,,,,,,,,,,,,,,
(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_snowpack@role~exchange),atmosphere_bottom,context,in,"body, ",(air_flowing)@role~exchange_snowpack@role~exchange,,,,,,,,,,,,,,,
(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_terrain@role~exchange),atmosphere_bottom,context,in,"body, ",(air_flowing)@role~exchange_terrain@role~exchange,,,,,,,,,,,,,,,
