form_taxonomic,form_id,form_label,form,part,attribute,synonym,plural_of,wikipedia_page
,aerosol,aerosol,,,aerosol,,,
ion,anion,anion,,,,,,
,atom,atom,,,,,,https://en.wikipedia.org/wiki/Atom
,bank,bank,,,,,,
bank,bank~left,bank~left,,,left,,,
bank,bank~right,bank~right,,,right,,,
,bubble,bubble,,,,,,https://en.wikipedia.org/wiki/Bubble_(physics)
,bubbles,bubbles,,,,,bubble,
,bulk,bulk,,,,,,https://en.wikipedia.org/wiki/Bulk
ion,cation,cation,,,,,,https://en.wikipedia.org/wiki/Ion#Anions_and_cations
ions,cations,cations,,,,,cation,
,cell,cell,,,,,,https://en.wikipedia.org/wiki/Cell_(biology)
,cells,cells,,,,,cell,
,channel,channel,,,,conduit,,https://en.wikipedia.org/wiki/Channel_(geography)
,channel_bottom,channel_bottom,channel,bottom,,,,
"channels, network",channel-network,channel-network,,,,,,
channel,channel~longest,channel~longest,,,longest,,,
channel,channel~main,channel~main,,,main,,,
channel,channel~wetted,channel~wetted,,,wetted,,,
,channels,channels,,,,,channel,
,colonies,colonies,,,,,colony,
,colony,colony,,,,,,https://en.wikipedia.org/wiki/Colony_(biology)
,crater,crater,,,,,,https://en.wikipedia.org/wiki/Crater
,crystal,crystal,,,,,,https://en.wikipedia.org/wiki/Crystal
,crystals,crystals,,,,,crystal,
,domain,domain,,,,,,https://en.wikipedia.org/wiki/Territory
,dose,dose,,,,,,
,droplet,droplet,,,,,,https://en.wikipedia.org/wiki/Drop_(liquid)
,droplets,droplets,,,,,droplet,
,fault,fault,,,,,,https://en.wikipedia.org/wiki/Fault_(geology)
,floe,floe,,,,,,
,floes,floes,,,,,floe,
,grain,grain,,,,,,https://en.wikipedia.org/wiki/Grain_size
,grains,grains,,,,,grain,
,hole,hole,,,,,,https://en.wiktionary.org/wiki/hole#Noun
,ion,ion,,,,,,https://en.wikipedia.org/wiki/Ion
,ions,ions,,,,,ion,
,isomer,isomer,,,,,,https://en.wikipedia.org/wiki/Isomer
,isomers,isomers,,,,,isomer,
,isotope,isotope,,,,,,http://en.wikipedia.org/wiki/Isotope
,isotopes,isotopes,,,,,isotope,
,link,link,,,,,,
link,link~exterior,link~exterior,,,exterior,,,
link,link~interior,link~interior,,,interior,,,
pores,macropores,macropores,,,,,,http://en.wikipedia.org/wiki/Macropores
,mat,mat,,,,,,
,mats,mats,,,,,mat,
,molecule,molecule,,,,,,http://en.wikipedia.org/wiki/Molecule
,molecules,molecules,,,,,molecule,
,network,network,,,,,,
,particle,particle,,,,corpuscule,,https://en.wikipedia.org/wiki/Particle
,particles,particles,,,,,particle,
,particulate,particulate,,,,,,https://en.wikipedia.org/wiki/Particulates
,platform,platform,,,,,,https://en.wikipedia.org/wiki/Platform
,plume,plume,,,,,,https://en.wikipedia.org/wiki/Plume_(fluid_dynamics)
,pore,pore,,,,,,https://en.wikipedia.org/wiki/Pore_space_in_soil
,pores,pores,,,,,pore,
,radical,radical,,,,,,https://en.wikipedia.org/wiki/Radical_(chemistry)
,region,region,,,,,,
region,region~state,state,,,,,,
,sample,sample,,,,,,https://en.wikipedia.org/wiki/Sample_(material)
,samples,samples,,,,,sample,
,sheet,sheet,,,,,,https://en.wikipedia.org/wiki/Sheet
,shelf,shelf,,,,,,https://en.wikipedia.org/wiki/Shelf
,slick,slick,,,,,,
,terrain,terrain,,,,,,
,unit,unit,,,,,,
,units,units,,,,,unit,
,valley,valley,,,,,,
,void,void,,,,,,https://en.wikipedia.org/wiki/Void_(composites)
