body_taxonomic,body_id,body_label,body,part,attribute,matter,synonym,plural_of,wikipedia_page
,aircraft,aircraft,,,,,,,http://en.wikipedia.org/wiki/Aircraft
aircraft,airplane,airplane,,,,,,,https://en.wikipedia.org/wiki/Airplane
instrument,altimeter,altimeter,,,,,altitude_meter,,https://en.wikipedia.org/wiki/Altimeter
,anvil,anvil,,,,,,,http://en.wikipedia.org/wiki/Anvil
,appliance,appliance,,,,,,,https://en.wikipedia.org/wiki/Appliance
appliance,appliance~electric,appliance~electric,,,electric,,,,https://en.wikipedia.org/wiki/Small_appliance
instrument,automated-forecasting-system,automated-forecasting-system,,,,,,,
,automobile,automobile,,,,,,,https://en.wikipedia.org/wiki/Car
,automobile_bottom,automobile_bottom,automobile,bottom,,,,,
,automobile_front,automobile_front,automobile,front,,,,,
automobile,automobile~gm,automobile~gm,,,,,,,https://en.wikipedia.org/wiki/General_Motors
automobile,automobile~toyota,automobile~toyota,,,,,,,https://en.wikipedia.org/wiki/Toyota
,axle,axle,,,,,,,https://en.wikipedia.org/wiki/Axle
axle,axle~rear,axle~rear,,,rear,,,,
,ball,ball,,,,,,,http://en.wikipedia.org/wiki/Ball
,balloon,balloon,,,,,,,http://en.wikipedia.org/wiki/Balloon
ball,baseball,baseball,,,,,,,https://en.wikipedia.org/wiki/Baseball_(ball)
,baseball-bat,baseball-bat,,,,,,,https://en.wikipedia.org/wiki/Baseball_bat
,battery,battery,,,,,,,https://en.wikipedia.org/wiki/Battery_(electricity)
,beam,beam,,,,,,,http://en.wikipedia.org/wiki/Beam
,building,building,,,,,,,http://en.wikipedia.org/wiki/Building
,buildings,buildings,,,,,,building,
,bumper,bumper,,,,,,,https://en.wikipedia.org/wiki/Bumper_(car)
,bumper_bottom,bumper_bottom,bumper,bottom,,,,,
,crankshaft,crankshaft,,,,,,,https://en.wikipedia.org/wiki/Crankshaft
,cylinder,cylinder,,,,,,,https://en.wikipedia.org/wiki/Cylinder_(engine)
instrument,data-acquisition-system,data-acquisition-system,,,,,,,https://en.wikipedia.org/wiki/Data_acquisition
,door,door,,,,,,,http://en.wikipedia.org/wiki/Door
building,empire-state-building,empire-state-building,,,,,,,https://en.wikipedia.org/wiki/Empire_State_Building
,engine,engine,,,,,,,http://en.wikipedia.org/wiki/Engine
,fence,fence,,,,,,,https://en.wikipedia.org/wiki/Fence
fence,fence~electric,fence~electric,,,electric,,,,https://en.wikipedia.org/wiki/Electric_fence
tank,fuel-tank,fuel-tank,,,,,petrol-tank,,https://en.wikipedia.org/wiki/Fuel_tank
automobile~gm,gm-hummer,gm-hummer,,,,,,,https://en.wikipedia.org/wiki/Hummer
,instrument,instrument,,,,,,,https://en.wikipedia.org/wiki/Instrument
,light-bulb,light-bulb,,,,,,,https://en.wikipedia.org/wiki/Electric_light
light-bulb,light-bulb~incandescent,light-bulb~incandescent,,,incandescent,,,,https://en.wikipedia.org/wiki/Incandescent_light_bulb
instrument,oscillator,oscillator,,,,,,,https://en.wikipedia.org/wiki/Electronic_oscillator
,pipe,pipe,,,,,,,https://en.wikipedia.org/wiki/Pipe_(fluid_conveyance)
,piston,piston,,,,,,,http://en.wikipedia.org/wiki/Piston
automobile,porsche,porsche,,,,,,,https://en.wikipedia.org/wiki/Porsche
porsche,porsche~911,porsche~912,,,,,,,https://en.wikipedia.org/wiki/Porsche_911
,pump,pump,,,,,,,http://en.wikipedia.org/wiki/Pump
instrument,radar,radar,,,,,,,https://en.wikipedia.org/wiki/Radar
,railway,railway,,,,,,,http://en.wikipedia.org/wiki/Railway
,rain-gauge,rain-gauge,,,,,,,https://en.wikipedia.org/wiki/Rain_gauge
,reservoir,reservoir,,,,,,,https://en.wikipedia.org/wiki/Reservoir
,rocket,rocket,,,,,,,http://en.wikipedia.org/wiki/Rocket
,seat-belt,seat-belt,,,,,,,https://en.wikipedia.org/wiki/Seat_belt
instrument,seismograph,seismograph,,,,,,,
instrument,sensor,sensor,,,,,,,https://en.wikipedia.org/wiki/Sensor
,ship,ship,,,,,,,http://en.wikipedia.org/wiki/Ship
