body_taxonomic,body_id,body_label,body,part,form,expressed-as,matter,attribute,synonym,plural_of,wikipedia_page
,alpha-particle,alpha-particle,,,particle,,,,,,https://en.wikipedia.org/wiki/Alpha_particle
,ammonium,ammonium,,,ion,,ammonium,,,,http://en.wikipedia.org/wiki/Ammonium
,aquifer,aquifer,,,,,,,,,https://en.wikipedia.org/wiki/Aquifer
aquifer,aquifer~left,aquifer~left,,,,,,left,,,
aquifer,aquifer~right,aquifer~right,,,,,,right,,,
,arsenate-ion,arsenate,,,ion,,arsenate,,AsO43-,,https://en.wikipedia.org/wiki/Arsenate
,arsenite-ion,arsenite,,,ion,,arsenite,,,,https://en.wikipedia.org/wiki/Arsenite
,atmosphere,atmosphere,,,,,,,,,https://en.wikipedia.org/wiki/Atmosphere
,atmosphere_air,atmosphere_air,atmosphere,,,,air,,,,
,atmosphere_bottom,atmosphere_bottom,atmosphere,bottom,,,,,,,
,atmosphere_bottom_air,atmosphere_bottom_air,atmosphere_bottom,,,,air,,,,
,atmosphere_top,atmosphere_top,atmosphere,top,,,,,,,
,automobile_bottom,automobile_bottom,automobile,bottom,,,,,,,
,basin,basin,,,,,,,,,
basin,basin~drainage,basin~drainage,,,,,,drainage,,,https://en.wikipedia.org/wiki/Drainage_basin
,basin~drainage_bankfull,basin~drainage_bankfull,basin~drainage,,,,,bankfull,,,
,bedrock,bedrock,,,,,rock,,,,https://en.wikipedia.org/wiki/Bedrock
,bedrock_top,bedrock_top,bedrock,top,,,,,,,
,benzene_molecule,benzene_molecule,,,molecule,,benzene,,,,
,beta-particle,beta-particle,,,particle,,,,,,https://en.wikipedia.org/wiki/Beta_particle
,bicarbonate-ion,bicarbonate,,,ion,,bicarbonate,,hydrogencarbonate,,https://en.wikipedia.org/wiki/Bicarbonate
,body,body,,,,,,,,,https://en.wikipedia.org/wiki/Physical_body
,bromide-ion,bromide,,,ion,,bromide,,,,https://en.wikipedia.org/wiki/Bromide
,burgess-shale,burgess-shale,,,,,,,,,https://en.wikipedia.org/wiki/Burgess_Shale
,burgess-shale_stratum,burgess-shale_stratum,burgess-shale,stratum,,,,,,,
,carbon_pool,carbon_pool,,,pool,,carbon,,,,
carbon_pool,carbon_pool~stabilized,carbon_pool~stabilized,,,,,,stabilized,,,
carbon_pool,carbon_pool~microbial,carbon_pool~microbial,,,,,,microbial,,,
,carbon_isotope,carbon_isotope,,,isotope,,carbon,,,,
,carbonate,carbonate,,,ion,,carbonate,,CO3,,https://en.wikipedia.org/wiki/Carbonate
,cesium_atom,cesium_atom,,,atom,,cesium,,,,
,reach,reach,,,,,,,,,https://en.wikipedia.org/wiki/Reach_(geography)
channel~river,channel~stream,channel~stream,,,channel,,water,,,,https://en.wikipedia.org/wiki/Stream
,channel~river,channel~river,,,channel,,water,,,,https://en.wikipedia.org/wiki/River
,channel~river_bed,channel~river_bed,channel~river,bed,,,,,,,
,channel_bed,channel_bed,,bed,channel,,,,,,
,chlorate-ion,chlorate,,,ion,,chlorate,,,,https://en.wikipedia.org/wiki/Chlorate
,chloride-ion,chloride,,,ion,,chloride,,,,https://en.wikipedia.org/wiki/Chloride
,chromium(iii),chromium(iii),,,ion,,chromium,,,,https://en.wikipedia.org/wiki/Chromium#Chromium(III)
,chromium(vi),chromium(vi),,,ion,,chromium,,,,https://en.wikipedia.org/wiki/Chromium#Chromium(VI)
,clay_particle,clay_particle,,,particle,,clay,,,,
,delta,delta,,,,,,,,,https://en.wikipedia.org/wiki/River_delta
,delta_beds~bottomset,delta_beds~bottomset,delta,beds~bottomset,,,,,,,
,delta_beds~foreset,delta_beds~foreset,delta,beds~foreset,,,,,,,
,delta_beds~topset,delta_beds~topset,delta,beds~topset,,,,,,,
,delta_beds~topset~lower,delta_beds~topset~lower,delta,beds~topset~lower,,,,,,,
