matter_taxonomic,matter_id,matter_label,attribute,synonym,plural_of,wikipedia_page
material,composite-material,composite-material,,composite,,https://en.wikipedia.org/wiki/Composite_material
mixture,rock~carbonate,carbonate-rock,,,,https://en.wikipedia.org/wiki/Carbonate_rock
substance,methylene-blue-active-substances,methylene-blue-active-substances,,methylene-blue-active,,
,foam,foam,,,,https://en.wikipedia.org/wiki/Foam
material,detritus,detritus,,,,https://en.wikipedia.org/wiki/Detritus
material,paper,paper,,,,http://en.wikipedia.org/wiki/Paper
material,tissue,tissue,,,,https://en.wikipedia.org/wiki/Tissue_(biology)
mixture,air,air,,,,https://en.wikipedia.org/wiki/Air
mixture,ash,ash,,,,https://en.wikipedia.org/wiki/Ash
mixture,biomass,biomass,,,,
mixture,blood,blood,,,,http://en.wikipedia.org/wiki/Blood
mixture,chocolate,chocolate,,,,http://en.wikipedia.org/wiki/Chocolate
mixture,clay,clay,,,,http://en.wikipedia.org/wiki/Clay
mixture,coal,coal,,,,http://en.wikipedia.org/wiki/Coal
mixture,cacao,cacao,,,,https://en.wikipedia.org/wiki/Theobroma_cacao
mixture,concrete,concrete,,,,http://en.wikipedia.org/wiki/Concrete
mixture,fuel,fuel,,,,http://en.wikipedia.org/wiki/Fuel
mixture,fossil-fuel,fossil-fuel,,,,https://en.wikipedia.org/wiki/Fossil_fuel
mixture,gasoline,gasoline,,,,http://en.wikipedia.org/wiki/Gasoline
mixture,grease,grease,,,,https://en.wikipedia.org/wiki/Grease
mixture,liquor,liquor,,,,https://en.wikipedia.org/wiki/Distilled_beverage
mixture,loam,loam,,,,http://en.wikipedia.org/wiki/Loam
mixture,mud,mud,,,,http://en.wikipedia.org/wiki/Mud
mixture,pavement,pavement,,,,https://en.wikipedia.org/wiki/Road_surface
mixture,plasma,plasma,,,,https://en.wikipedia.org/wiki/Blood_plasma
mixture,propellant,propellant,,,,http://en.wikipedia.org/wiki/Propellant
mixture,rock,rock,,,,https://en.wikipedia.org/wiki/Rock_(geology)
mixture,bedrock,bedrock,,,,http://en.wikipedia.org/wiki/Bedrock
mixture,rubber,rubber,,,,http://en.wikipedia.org/wiki/Natural_rubber
mixture,sand,sand,,,,http://en.wikipedia.org/wiki/Sand
mixture,sediment,sediment,,,,http://en.wikipedia.org/wiki/Sediment
mixture,shale,shale,,,,https://en.wikipedia.org/wiki/Shale
mixture,silt,silt,,,,http://en.wikipedia.org/wiki/Silt
mixture,soil,soil,,,,http://en.wikipedia.org/wiki/Soil
mixture,soot,soot,,,,https://en.wikipedia.org/wiki/Soot
mixture,sun-lotion,sun-lotion,,"sunblock, sunscreen, sunlotion",,https://en.wikipedia.org/wiki/Sunscreen
mixture,wood,wood,,,,https://en.wikipedia.org/wiki/Wood
electron,electron,electron,,,,http://en.wikipedia.org/wiki/Electron
neutron,neutron,neutron,,,,http://en.wikipedia.org/wiki/Neutron
proton,proton,proton,,,,https://en.wikipedia.org/wiki/Proton
substance,alloy,alloy,,,,https://en.wikipedia.org/wiki/Alloy
substance,steel,steel,,,,https://en.wikipedia.org/wiki/Steel
compound,(e)-dimethomorph,(e)-dimethomorph,,,,https://en.wikipedia.org/wiki/Dimethomorph
compound,"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone","1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone",,,,
compound,1-bromo-2-chloroethane,1-bromo-2-chloroethane,,,,
compound,1-butanol,1-butanol,,"n-butanol, n-butyl-alcohol, normal-butanol",,https://en.wikipedia.org/wiki/1-butanol
compound,"1-chloro-2,2-bis(4-chlorophenyl)ethene","1-chloro-2,2-bis(4-chlorophenyl)ethene",,,,
compound,1-chlorobutane,1-chlorobutane,,"butane,-1-chloro-",,https://en.wikipedia.org/wiki/1-Chlorobutane
compound,1-chlorohexane,1-chlorohexane,,,,
compound,1-methyl-9h-fluorene,1-methyl-9h-fluorene,,1-methylfluorene,,
compound,1-methylnaphthalene,1-methylnaphthalene,,,,https://en.wikipedia.org/wiki/1-Methylnaphthalene
compound,1-methylphenanthrene,1-methylphenanthrene,,,,
