phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
((channel_bottom)@context~on_(sediment_grain))@medium_water,(channel_bottom)@context~on_(sediment_grain),medium,,,water,,,"matter, ",,,,,,,,,,,,
(air_flowing)@medium_sediment~suspended,air_flowing,medium,,"phenomenon, ",sediment~suspended,,,"matter, ",,,,,,,,,,,,
(air_flowing)@medium_snow~suspended,air_flowing,medium,,"phenomenon, ",snow~suspended,,,"matter, ",,,,,,,,,,,,
(channel_bed)@medium_water,channel_bed,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
(channel~river_bed)@medium_water,channel~river_bed,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
(earth_surface)@medium_land,earth_surface,medium,,"phenomenon, ",land,,,"body, ",,,,,,,,,,,,
(earth_surface)@medium_ocean,earth_surface,medium,,"phenomenon, ",ocean,,,"body, ",,,,,,,,,,,,
(earth_surface)@medium_water,earth_surface,medium,,"phenomenon, ",water,,,"matter, ",,,,,,,,,,,,
(land_allocation)@medium_crop,land_allocation,medium,,"phenomenon, ",crop,,,"role, ",,,,,,,,,,,,
(land_surface)@medium_infiltration,land_surface,medium,,"phenomenon, ",infiltration,,,"process, ",,,,,,,,,,,,
(land_surface)@medium_infiltration_(water_ponding),land_surface,medium,,"phenomenon, ",infiltration,,,"process, ",water_ponding,,,"phenomenon, ",,,,,,,,
(material_mineral-phase)@medium_(carbonatite_melt),material_mineral-phase,medium,,"matter, ",carbonatite_melt,,,"matter, ",,,,,,,,,,,,
(material_mineral-phase)@medium_(material_melt~partial),material_mineral-phase,medium,,"matter, ",material_melt~partial,,,"matter, ",,,,,,,,,,,,
(material_mineral-phase)@medium_water,material_mineral-phase,medium,,"matter, ",water,,,"matter, ",,,,,,,,,,,,
(material_mineral-phase~melt)@medium_water,material_mineral-phase~melt,medium,,"matter, ",water,,,"matter, ",,,,,,,,,,,,
(soil@context~medium_macropores)@medium_water,soil@context~medium_macropores,medium,,,water,,,"matter, ",,,,,,,,,,,,
(soil_layer)@medium_carbon~stabilized,soil_layer,medium,,"body, ",carbon~stabilized,,,"matter, ",,,,,,,,,,,,
(soil_layer)@medium_water,soil_layer,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
(soil_layer~0)@medium,soil_layer~0,medium,,"body, ",,,,,,,,,,,,,,,,
(soil_layer~1)@medium,soil_layer~1,medium,,"body, ",,,,,,,,,,,,,,,,
(soil_layer~1)@medium_water,soil_layer~1,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
(soil_layer~2)@medium,soil_layer~2,medium,,"body, ",,,,,,,,,,,,,,,,
(soil_root-zone)@medium_water,soil_root-zone,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
(soil_surface)@medium_water,soil_surface,medium,,"phenomenon, ",water,,,"matter, ",,,,,,,,,,,,
(soil_unsat-zone)@medium_water,soil_unsat-zone,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
(vegetation_canopy)@medium_throughfall_water,vegetation_canopy,medium,,"body, ",throughfall,,,"process, ",water,,,"matter, ",,,,,,,,
(vegetation_canopy)@medium_water,vegetation_canopy,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
(water_flowing)@medium_(sediment_grain),water_flowing,medium,,"phenomenon, ",sediment_grain,,,"body, ",,,,,,,,,,,,
(water_flowing)@medium_sediment,water_flowing,medium,,"phenomenon, ",sediment,,,"matter, ",,,,,,,,,,,,
(water_flowing)@medium_sediment~bedload,water_flowing,medium,,"phenomenon, ",sediment~bedload,,,"matter, ",,,,,,,,,,,,
(water_flowing)@medium_sediment~suspended,water_flowing,medium,,"phenomenon, ",sediment~suspended,,,"matter, ",,,,,,,,,,,,
(water_flowing)@medium_sediment~washload,water_flowing,medium,,"phenomenon, ",sediment~washload,,,"matter, ",,,,,,,,,,,,
(water_flowing)@medium_transportation_sediment~suspended,water_flowing,medium,,"phenomenon, ",transportation,,,"process, ",sediment~suspended,,,"matter, ",,,,,,,,
(water_flowing_x-section)@medium_sediment~suspended,water_flowing_x-section,medium,,"phenomenon, ",sediment~suspended,,,"matter, ",,,,,,,,,,,,
air@medium_(radiation_optical-path),air,medium,,"matter, ",radiation_optical-path,,,"phenomenon, ",,,,,,,,,,,,
air@medium_attenuation_radiation,air,medium,,"matter, ",attenuation,,,"process, ",radiation,,,"phenomenon, process, ",,,,,,,,
air@medium_bubble-point_water~vapor,air,medium,,"matter, ",bubble-point,,,"attribute, ",water~vapor,,,"matter, ",,,,,,,,
air@medium_carbon-dioxide,air,medium,,"matter, ",carbon-dioxide,,,"matter, ",,,,,,,,,,,,
air@medium_dew-point_water~vapor,air,medium,,"matter, ",dew-point,,,"attribute, ",water~vapor,,,"matter, ",,,,,,,,
air@medium_equilibrium_carbon-dioxide,air,medium,,"matter, ",equilibrium,,,"attribute, ",carbon-dioxide,,,"matter, ",,,,,,,,
air@medium_equilibrium_water~vapor,air,medium,,"matter, ",equilibrium,,,"attribute, ",water~vapor,,,"matter, ",,,,,,,,
air@medium_frost-point_water~vapor,air,medium,,"matter, ",frost-point,,,"attribute, ",water~vapor,,,"matter, ",,,,,,,,
air@medium_mercury~gaseous~divalent,air,medium,,"matter, ",mercury~gaseous~divalent,,,"matter, ",,,,,,,,,,,,
air@medium_mercury~gaseous~elemental,air,medium,,"matter, ",mercury~gaseous~elemental,,,"matter, ",,,,,,,,,,,,
air@medium_mercury~gaseous~monovalent,air,medium,,"matter, ",mercury~gaseous~monovalent,,,"matter, ",,,,,,,,,,,,
air@medium_nitrogen~atomic,air,medium,,"matter, ",nitrogen~atomic,,,"matter, ",,,,,,,,,,,,
air@medium_nmvoc~anthropogenic-as-carbon,air,medium,,"matter, ",nmvoc~anthropogenic-as-carbon,,,"matter, ",,,,,,,,,,,,
air@medium_nmvoc~biogenic-as-carbon,air,medium,,"matter, ",nmvoc~biogenic-as-carbon,,,"matter, ",,,,,,,,,,,,
air@medium_refraction_radiation,air,medium,,"matter, ",refraction,,,"process, ",radiation,,,"phenomenon, process, ",,,,,,,,
air@medium_saturated_carbon-dioxide,air,medium,,"matter, ",saturated,,,"attribute, ",carbon-dioxide,,,"matter, ",,,,,,,,
air@medium_saturated_water~vapor,air,medium,,"matter, ",saturated,,,"attribute, ",water~vapor,,,"matter, ",,,,,,,,
air@medium_water~vapor,air,medium,,"matter, ",water~vapor,,,"matter, ",,,,,,,,,,,,
atmosphere@medium_dust~aerosol,atmosphere,medium,,"body, ",dust~aerosol,,,"body, ",,,,,,,,,,,,
automobile@medium_cargo,automobile,medium,,"body, ",cargo,,,"role, ",,,,,,,,,,,,
automobile@medium_seating_human,automobile,medium,,"body, ",seating,,,"process, ",human,,,"body, ",,,,,,,,
basin~drainage@medium_channel-network,basin~drainage,medium,,"body, ",channel-network,,,"form, ",,,,,,,,,,,,
basin~drainage@medium_grassland,basin~drainage,medium,,"body, ",grassland,,,"body, ",,,,,,,,,,,,
basin~drainage@medium_land~burned,basin~drainage,medium,,"body, ",land~burned,,,"body, ",,,,,,,,,,,,
basin~drainage@medium_land~forested,basin~drainage,medium,,"body, ",land~forested,,,"body, ",,,,,,,,,,,,
biomass~harvested@medium_grain,biomass~harvested,medium,,"matter, ",grain,,,"form, body, ",,,,,,,,,,,,
