operator_taxonomic,operator_id,operator_label,synonym,attribute,dimension,wikipedia_page,synonym,units,f_units,two_quantity_operation
standard_deviation,1-sigma-csu,1-sigma-csu,,,,,,,,
standard_deviation,2-sigma-csu,2-sigma-csu,,,,,,,,
,angle,angle,,,,,,rad,0,
max,one-year_time_max,one-year_time_max,,annual,time,,,,,
,anomaly,anomaly,,,,https://en.wikipedia.org/wiki/Anomaly_(natural_sciences),,none,1,
anomaly,cumulative_anomaly,cumulative_anomaly,,,,,,,,
anomaly,one-month_anomaly,one-month_anomaly,,,,,,,,
anomaly,day-specific_anomaly,day-specific_anomaly,,,,,,,,
anomaly,month-specific_anomaly,month-specific_anomaly,,,,,,,,
anomaly,year-specific_anomaly,year-specific_anomaly,,,,,,,,
,antigradient,antigradient,,,,,,L,1,
average,area_weighted_average,area_weighted_average,,area_weighted,space,,,,,
,arithmetic_mean,mean,,,,https://en.wikipedia.org/wiki/Mean,average,none,1,
,average,average,,,,https://en.wikipedia.org/wiki/Average,arithmetic_mean,none,1,
angle,azimuth_angle,azimuth_angle,,,,https://en.wikipedia.org/wiki/Azimuth,,,,
,change,change,,,,,delta,none,1,
,change_from_one-year_min,change_from_one-year_min,,annual,,,,none,1,
,component,component,,,,https://en.wikipedia.org/wiki/Euclidean_vector#Decomposition,,none,1,
,correlation,correlation,,,,,,none,1,
,cosine,cos,,,,https://en.wikipedia.org/wiki/Trigonometric_functions#cosine,,rad,0,
error,counting_error,counting_error,,counting,,,,,,
component,cross-stream_component,cross-stream_component,,cross-stream,space,,,,,
spatial_derivative,cross-stream_derivative,cross-stream_derivative,,cross-stream,space,,,,,
,curl,curl,,,,https://en.wikipedia.org/wiki/Curl_(mathematics),,L^-1,1,
min,one-day_min,one-day_minimum,,daily,time,,"24-hour_minimum, one-day_minimum",,,
max,one-day_max,one-day_maximum,,daily,time,,"24-hour_maximum, one-day_maximum",,,
time_integral,one-day_time_integral,one-day_time_integral,one-day_time_integral,daily,time,,"24-hour_time_integral, one-day_time_integral",,,
,depression,depression,,,,,,none,1,
,difference,difference,,,,,,none,1,subtraction
,direction,direction,,,,,,deg,0,
variance,directional_variance,directional_variance,,directional,,,,,,
max,diurnal_max,diurnal_max,,diurnal,time,,,,,
arithmetic_mean,diurnal_mean,one-day_mean,,daily,time,,"24-hour_mean, one-day_mean",,,
diurnal_mean,dekad_one-day_mean,dekad_one-day_mean,,,,,,,,
dekad_one-day_mean,first_dekad_one-day_mean,first_dekad_one-day_mean,,,,,,,,
dekad_one-day_mean,second_dekad_one-day_mean,second_dekad_one-day_mean,,,,,,,,
dekad_one-day_mean,third_dekad_one-day_mean,third_dekad_one-day_mean,,,,,,,,
diurnal_mean,one-month_one-day_mean,one-month_one-day_mean,,,,,,,,
min,diurnal_min,diurnal_min,,diurnal,time,,,,,
range,diurnal_range,diurnal_range,,diurnal,time,,,,,
time_integral,diurnal_time_integral,one-day_time_integral,,daily,time,,"24-hour_time_integral, one-day_time_integral",,,
max,domain_max,domain_max,,,space,,,,,
min,domain_min,domain_min,,,space,,,,,
range,domain_range,domain_range,,,space,,,,,
time_integral,domain_time_integral,domain_time_integral,,,time,,,,,
max,domain_time_max,domain_time_max,,,time,,,,,
min,domain_time_min,domain_time_min,,,time,,,,,
component,down_component,down_component,,down,space,,,,,
spatial_derivative,down_derivative,down_derivative,,down,space,,,,,
component,down_east_component,down_east_component,,,space,,,,,
component,down_north_component,down_north_component,,,space,,,,,
spatial_derivative,down_z_derivative,down_z_derivative,,,space,,,,,
component,downstream_component,downstream_component,,downstream,space,,,,,
spatial_derivative,downstream_derivative,downstream_derivative,,downstream,space,,,,,
,drop,drop,,,,,,none,1,
component,east_component,east_component,,east,space,,,,,
spatial_derivative,east_derivative,east_derivative,,east,space,,,,,
component,east_down_component,east_down_component,,,space,,,,,
component,east_east_component,east_east_component,,,space,,,,,
component,east_north_component,east_north_component,,,space,,,,,
component,east_up_component,east_up_component,,,space,,,,,
angle,elevation_angle,elevation_angle,,,,,,,,
,error,error,,,,,,none,1,
,forecast,forecast,,,,,,none,1,
,fraction,fraction,,,,https://en.wikipedia.org/wiki/Fraction_(mathematics),,none,0,division
,gain,gain,,,,https://en.wikipedia.org/wiki/Gain_(electronics),,none,0,
average,geologic_time_average,geologic_time_average,,geologic,time,https://en.wikipedia.org/wiki/Average,,,,
average,globe_time_average,globe_time_average,,global,time,https://en.wikipedia.org/wiki/Average,,,,
,gradient,gradient,,,,https://en.wikipedia.org/wiki/Gradient,,L^-1,1,
,half,half,,,,,,none,1,
time_integral,one-hour_time_integral,one-hour_time_integral,,hourly,time,,one-hour_time_integral,,,
,increment,increment,,,,,,none,1,
,inverse,inverse,,,,https://en.wikipedia.org/wiki/Inverse_(mathematics),,none,-1,
,laplacian,laplacian,,,,https://en.wikipedia.org/wiki/Laplace_operator,,L^-2,1,
,left_normal,left_normal,,,,,,none,1,
,length_rate,rate,,,,https://en.wikipedia.org/wiki/Rate_(mathematics),,L^-1,1,
,limit,limit,,,,,,none,1,
,log10,log10,,,,https://en.wikipedia.org/wiki/Logarithm,,none,0,
,loss,loss,,,,,,none,1,
limit,lower_limit,lower_limit,,lower,,,,,,
,magnitude,magnitude,,,,https://en.wikipedia.org/wiki/Magnitude_(mathematics),,none,1,
,max,max,,,,https://en.wikipedia.org/wiki/Maxima_and_minima,,none,1,
summation,max_summation,max_sum,,maximum,,,,,,
average,mean,mean,,,,https://en.wikipedia.org/wiki/Average,,,,
,median,median,,,,https://en.wikipedia.org/wiki/Median,,none,1,
,mid-range,mid-range,,,,,,none,1,
,min,min,,,,https://en.wikipedia.org/wiki/Maxima_and_minima,minimum,none,1,
summation,min_summation,min_sum,,minimum,,,,,,
time_integral,one-month_time_integral,one-month_time_integral,,monthly,time,,one-month_time_integral,,,
component,normal_component,normal_component,,normal,space,,,,,
component,north_component,north_component,,north,space,,,,,
spatial_derivative,north_derivative,north_derivative,,north,space,,,,,
component,north_down_component,north_down_component,,,space,,,,,
component,north_north_component,north_north_component,,,space,,,,,
component,north_up_component,north_up_component,,,space,,,,,
,one-year_change,one-year_change,,,time,,,none,1,
,parity,parity,,,,,,none,0,
time,peak_time,peak_time,,peak,,,,,,
,per-area_flow_rate,flux,,,,https://en.wikipedia.org/wiki/Flux#Flux_as_flow_rate_per_unit_area,,L^-2 T^-1,1,
,product,product,,,,https://en.wikipedia.org/wiki/Product_(mathematics),,none,1,multiplication
,projection,projection,,,,https://en.wikipedia.org/wiki/Vector_projection,,none,1,
,range,range,,,,https://en.wikipedia.org/wiki/Range_(mathematics),,none,1,
,ratio,ratio,,,,http://en.wikipedia.org/wiki/Ratio,,none,0,
,reduction,reduction,,,,,,none,1,subtraction
,second_invariant,second_invariant,,,,https://en.wikipedia.org/wiki/Invariants_of_tensors,,none,2,
,second_spatial_derivative,second_spatial_derivative,,spatial,space,,,L^-2,1,
component,south_component,south_component,,south,space,,,,,
component,south_east_component,south_east_component,,,space,,,,,
component,south_south_component,south_south_component,,,space,,,,,
,spatial_derivative,spatial_derivative,,spatial,space,https://en.wikipedia.org/wiki/Derivative,,L^-1,1,
,spatial_integral,spatial_integral,,,,https://en.wikipedia.org/wiki/Integral,,L,1,
