part_taxonomic,part_id,part_label,attribute,process,synonym,plural_of,same_as,wikipedia_page
zone,ablation-zone,ablation-zone,,ablation,,,,https://en.wikipedia.org/wiki/Ablation_zone
zone,accumulation-zone,accumulation-zone,,accumulation,,,,https://en.wikipedia.org/wiki/Accumulation_zone
layer,active-layer,active-layer,,,,,,https://en.wikipedia.org/wiki/Active_layer
,band,band,,,,,,
,base,base,,,,,,https://en.wiktionary.org/wiki/base#Noun
,bed,bed,,,,,,https://en.wikipedia.org/wiki/Bed_(disambiguation)
,beds,beds,,,,bed,,
,beds~bottomset,beds~bottomset,bottomset,,,,,
,beds~foreset,beds~foreset,foreset,,,,,
,beds~topset,beds~topset,topset,,,,,
beds~topset,beds~topset~lower,beds~topset~lower,lower,,,,,
beds~topset,beds~topset~upper,beds~topset~upper,upper,,,,,
,bottom,bottom,,,,,,https://en.wiktionary.org/wiki/bottom#Noun
layer,boundary-layer,boundary-layer,,,,,,https://en.wikipedia.org/wiki/Boundary_layer
,canopy,canopy,,,,,,http://en.wikipedia.org/wiki/Canopy
,component,component,,,part,,,
,constituent,constituent,,,part,,,https://en.wikipedia.org/wiki/Part
constituent,constituent~2mk3,constituent~2mk3,,,,,,
constituent,constituent~2n2,constituent~2n2,,,,,,
constituent,constituent~2q1,constituent~2q1,,,,,,
constituent,constituent~2sm2,constituent~2sm2,,,,,,
constituent,constituent~j1,constituent~j1,,,,,,
constituent,constituent~k1,constituent~k1,,,,,,
constituent,constituent~k2,constituent~k2,,,,,,
constituent,constituent~l2,constituent~l2,,,,,,
constituent,constituent~lam2,constituent~lam2,,,,,,
constituent,constituent~m1,constituent~m1,,,,,,
constituent,constituent~m2,constituent~m2,,,,,,
constituent,constituent~m3,constituent~m3,,,,,,
constituent,constituent~m4,constituent~m4,,,,,,
constituent,constituent~m6,constituent~m6,,,,,,
constituent,constituent~m8,constituent~m8,,,,,,
constituent,constituent~mf,constituent~mf,,,,,,
constituent,constituent~mk3,constituent~mk3,,,,,,
constituent,constituent~mm,constituent~mm,,,,,,
constituent,constituent~mn4,constituent~mn4,,,,,,
constituent,constituent~ms4,constituent~ms4,,,,,,
constituent,constituent~msf,constituent~msf,,,,,,
constituent,constituent~mu2,constituent~mu2,,,,,,
constituent,constituent~n2,constituent~n2,,,,,,
constituent,constituent~nu2,constituent~nu2,,,,,,
constituent,constituent~o1,constituent~o1,,,,,,
constituent,constituent~oo1,constituent~oo1,,,,,,
constituent,constituent~oo2,constituent~oo2,,,,,,
constituent,constituent~p1,constituent~p1,,,,,,
constituent,constituent~q1,constituent~q1,,,,,,
constituent,constituent~r2,constituent~r2,,,,,,
constituent,constituent~rho,constituent~rho,,,,,,
constituent,constituent~s1,constituent~s1,,,,,,
constituent,constituent~s2,constituent~s2,,,,,,
constituent,constituent~s4,constituent~s4,,,,,,
constituent,constituent~s6,constituent~s6,,,,,,
constituent,constituent~sa,constituent~sa,,,,,,
constituent,constituent~ssa,constituent~ssa,,,,,,
constituent,constituent~t2,constituent~t2,,,,,,
,constituents,constituents,,,,constituent,,
constituents,constituents~all,constituents~all,all,,,,,
,core,core,,,,,,http://en.wikipedia.org/wiki/Core
core,core~inner,core~inner,inner,,,,,
core,core~outer,core~outer,outer,,,,,
,crust,crust,,,,,,http://en.wikipedia.org/wiki/Crust
,edge,edge,,,,,,https://en.wikipedia.org/wiki/Edge_(geometry)
edge,edge~east,edge~east,east,,,,,
edge,edge~leading-displaced-convection,edge~leading-displaced-convection,,leading-displaced-convection,,,,
edge,edge~north,edge~north,north,,,,,
edge,edge~south,edge~south,south,,,,,
edge,edge~west,edge~west,west,,,,,
edge,edge~x,edge~x,x,,,,,
edge,edge~y,edge~y,y,,,,,
,face,face,,,,,,
,floor,floor,,,,,,http://en.wikipedia.org/wiki/Floor
,front,front,,,,,,https://en.wiktionary.org/wiki/front#Noun
,horizon,horizon,,,,,,
horizon,horizon~a,horizon~a,,,,,,
horizon,horizon~b,horizon~b,,,,,,
horizon,horizon~c,horizon~c,,,,,,
horizon,horizon~d,horizon~d,,,,,,
horizon,horizon~e,horizon~e,,,,,,
horizon,horizon~l,horizon~l,,,,,,
horizon,horizon~o,horizon~o,,,,,,
horizon,horizon~p,horizon~p,,,,,,
horizon,horizon~r,horizon~r,,,,,,
,interior,interior,,,,,,https://en.wiktionary.org/wiki/interior#Noun
layer,isopycnal-layer,isopycnal-layer,,,,,,
,layer,layer,,,,,,https://en.wikipedia.org/wiki/Layer
layer,layer~0,layer~0,,,,,,
layer,layer~1,layer~1,,,,,,
layer,layer~2,layer~2,,,,,,
layer,layer~base,layer~base,base,,,,,
layer,layer~first,layer~first,first,,,,,
layer,layer~second,layer~second,second,,,,,
layer,layer~top,layer~top,top,,,,,
,lead,lead,,,,,,
,location,location,,,,,,https://en.wikipedia.org/wiki/Location_(geography)
location,location-1,location-1,,,,,,
location,location-2,location-2,,,,,,
location,location-3,location-3,,,,,,
location,location-4,location-4,,,,,,
location,location-5,location-5,,,,,,
location,location-6,location-6,,,,,,
,mantle,mantle,,,,,,
,middle,middle,,,,,,
layer,mixed-layer,mixed-layer,,,,,,https://en.wikipedia.org/wiki/Mixed_layer
,neck,neck,,,,,,
,part~body,body,,,,,,
zone,photic-zone,photic-zone,,,,,,
layer,plug-layer,plug-layer,,,,,,https://en.wikipedia.org/wiki/Plug_flow
,region,region,,,,,,https://en.wikipedia.org/wiki/Region
region,region~central-dense-overcast,region~central-dense-overcast,central-dense-overcast,,,,,
region,region~cloud,region~cloud,cloud-presence,,,,,
region,region~eye,region~eye,eye-presence,,,,,
layer,regolith-layer,regolith-layer,,,,,,https://en.wikipedia.org/wiki/Regolith
zone,root-zone,root-zone,,,,,,https://en.wikipedia.org/wiki/Rhizosphere
zone,sat-zone,sat-zone,saturated,,,,,https://en.wikipedia.org/wiki/Phreatic_zone
,segment,segment,,,,,,http://en.wikipedia.org/wiki/Segment
,shaft,shaft,,,,,,
layer,shear-layer,shear-layer,,,,,,https://en.wikipedia.org/wiki/Shear_flow
,side,side,,,,,,https://en.wikipedia.org/wiki/Side_(disambiguation)
side,side~left,side~left,left,,,,,
side,side~right,side~right,right,,,,,
,skin,skin,,,,,,https://en.wikipedia.org/wiki/Skin_(disambiguation)
,stratum,stratum,,,layer,,,http://en.wikipedia.org/wiki/Stratum
,subskin,subskin,,,,,,
,subsurface,subsurface,,,,,,
,terminus,terminus,,,,,,
,toe,toe,,,,,,
,top,top,,,,,,https://en.wiktionary.org/wiki/top#Noun
,tops,tops,,,,top,,
zone,unsat-zone,unsat-zone,unsaturated,,,vadose zone,,https://en.wikipedia.org/wiki/Vadose_zone
zone,zone~vadose,zone~vadose,,,,,unsat-zone,https://en.wikipedia.org/wiki/Vadose_zone
,zone,zone,,,,,,https://en.wikipedia.org/wiki/Zone
