participant,participantrel,participantclass
(earth_crust)@context~in_(material@role~medium_wave~seismic~p@role~main),numerator,
(earth_crust)@context~in_(material@role~medium_wave~seismic~s@role~main),denominator,
(earth_interior)@context~in_(earthquake_hypocenter),first,
station,second,"body, "
(earth_mantle)@context~in_(material@role~medium_wave~seismic~p@role~main),numerator,
(earth_mantle)@context~in_(material@role~medium_wave~seismic~s@role~main),denominator,
(earth_surface)@context~on_station~seismic,sink,
wave~seismic~p,main,"phenomenon, "
wave~seismic~s,main,"phenomenon, "
(glacier_top)@context~in_ice,main,
wind,in,"phenomenon, "
(sea_surface)@context~above_air,first,
(sea_surface)@context~in_water,second,
(sea_surface)@context~in_(water_wave),sink,
radiation,main,"phenomenon, process, "
air_flowing,exchange,"phenomenon, "
buildings,exchange,"body, "
snowpack,exchange,"body, "
terrain,exchange,"form, "
vegetation,exchange,"body, "
atmosphere@role~main_radiation@role~in_transmission,first,
atmosphere@role~medium_dust~aerosol@role~main_radiation@role~in_transmission,second,
atmosphere_air,main,"body, "
radiation~incoming~longwave,in,"phenomenon, "
bear@context~part_brain,numerator,
bear@context~part_body,denominator,
bear~black~american@context~part_brain,numerator,
bear~black~american@context~part_body,denominator,
cesium_atom,source,"body, "
channel@context~part_bank,denominator,
water_flowing,numerator,"phenomenon, "
channel@context~part_entrance,sink,
channel@context~part_exit,sink,
channel_centerline_endpoint~upstream,first,"form, "
channel_centerline_endpoint~downstream,second,"form, "
delta@context~part_(shoreline@context~on_sediment),main,
ocean@context~part_wave,in,
delta@context~part_plain,numerator,
delta@context~part_plain~subaqueous,denominator,
delta@context~part_plain~lower,main,
delta@context~part_plain~upper,main,
delta_apex,first,"body, "
delta@context~part_shoreline,second,
earth_datum_ellipsoid_surface,first,"body, "
earth_datum_geodesic,second,"body, "
earth_equator_plane,first,"body, "
sun,second,"body, "
earthquake@context~source_wave~seismic,main,
earthquake@context~source_wave~seismic~p,main,
station,sink,"body, "
earthquake@context~source_wave~seismic~s,main,
engine@context~in_air,numerator,
engine@context~in_fuel,denominator,
glacier_bottom_surface,medium,"body, "
glacier_top_surface,medium,"body, "
grid_cell,sink,"abstraction, "
water_flowing~incoming,main,"phenomenon, "
grid_cell,source,"abstraction, "
water_flowing~outgoing,main,"phenomenon, "
human@context~part_eye,main,
photon,in,"phenomenon, "
land_surface,exchange,"body, "
air,exchange,"matter, "
land_surface,main,"body, "
radiation~incoming,in,"phenomenon, "
radiation~incoming~shortwave,in,"phenomenon, "
radiation~outgoing~longwave,out,"phenomenon, "
land_surface,medium,"body, "
land_surface,sink,"body, "
radiation~incoming,main,"phenomenon, "
radiation~incoming~longwave,main,"phenomenon, "
radiation~incoming~shortwave,main,"phenomenon, "
land_surface,source,"body, "
air,sink,"matter, "
radiation~outgoing~longwave,main,"phenomenon, "
land~vegetated_floor,sink,"body, "
water,main,"matter, "
model@context~in_(grid_axis~x),first,
model@context~in_axis~east,second,
sea@context~adjacent_(shoreline_axis~x),first,
axis~east,second,"abstraction, "
sea@context~at_(ice_bottom),source,
sea@context~in_water,sink,
salt,main,"matter, "
sea@context~at_ice,main,
sea@context~at_ice,sink,
sea_bottom,main,"body, "
sea_bottom,sink,"body, "
sea_bottom,source,"body, "
sea_bottom_surface,medium,"body, "
sea_surface,main,"body, "
sea_surface,sink,"body, "
sea_surface,source,"body, "
snowpack_bottom,medium,"body, "
snowpack_surface,main,"body, "
snowpack_top,medium,"body, "
snowpack_top_surface,main,"body, "
soil_sat-zone_top,main,"body, "
water,in,"matter, "
tank~storage~open-top@context~part_outlet,source,
water_flowing,main,"phenomenon, "
titan@context~surrounding_atmosphere,source,
methane,main,"matter, "
vegetation_canopy,main,"body, "
vegetation_canopy,sink,"body, "
vegetation_canopy,source,"body, "
venus_orbit,first,"phenomenon, "
venus_ecliptic,second,"phenomenon, "
water_flowing,exchange,"phenomenon, "
sink,sink,"form, role, "
source,source,"form, role, "
water_flowing,medium,"phenomenon, "
aerosol,main,"form, attribute, "
aerosol,sink,"form, attribute, "
land,exchange,"body, "
air,main,"matter, "
radiation,out,"phenomenon, process, "
canopy,main,"body, part, "
cloud,main,"phenomenon, "
air,source,"matter, "
land,sink,"body, "
air~dry,numerator,"matter, "
water~vapor,denominator,"matter, "
atmosphere,main,"body, "
radiation,in,"phenomenon, process, "
atmosphere,medium,"body, "
dust~aerosol,main,"body, "
atmosphere,sink,"body, "
atmosphere,source,"body, "
graupel,main,"body, attribute, "
hail,main,"body, attribute, "
ice,main,"matter, attribute, "
icefall,main,"phenomenon, "
rainfall,main,"phenomenon, "
sleet,main,"matter, attribute, "
snow,main,"matter, attribute, "
snowfall,main,"phenomenon, "
automobile,sink,"body, "
driver_reaction,main,"phenomenon, "
fuel,main,"matter, "
automobile,source,"body, "
carbon-dioxide,main,"matter, "
baseball-bat,main,"body, "
baseball,main,"body, "
chlorine,main,"matter, "
electron,in,"matter, "
clouds,main,"phenomenon, "
clouds,sink,"phenomenon, "
concrete,exchange,"matter, "
rubber,exchange,"matter, "
earth,first,"body, "
earth,source,"body, "
body,main,"body, "
mars,sink,"body, "
body_travel,main,"phenomenon, "
fuel,numerator,"matter, "
oxidizer,denominator,"matter, "
human,sink,"body, "
alcohol,main,"matter, "
ice,medium,"matter, attribute, "
lake,sink,"body, "
lake,source,"body, "
magnesium-chloride,first,"matter, "
water,second,"matter, "
material,medium,"matter, "
wave~seismic~sh,main,"phenomenon, "
wave~seismic~sv,main,"phenomenon, "
pavement,exchange,"matter, "
processes,source,"phenomenon, process, "
oxygen~photosynthetic,main,"matter, "
rocket,numerator,"body, "
payload,denominator,"form, role, "
propellant,denominator,"matter, "
sediment,sink,"matter, "
oxygen~dissolved,main,"matter, "
skin,sink,"body, part, "
sun-lotion,main,"matter, "
ski~waxed,exchange,"body, "
snowpack,main,"body, "
snowpack,sink,"body, "
snowpack,source,"body, "
snow~wet,exchange,"matter, "
soil,medium,"matter, "
sulfuric-acid,first,"matter, "
toyota-corolla~2008,sink,"body, "
water,first,"matter, "
channel_bottom_surface,second,"form, "
water,medium,"matter, "
sand_grain,main,"body, "
sediment,main,"matter, "
water~vapor,numerator,"matter, "
air~dry,denominator,"matter, "
wave~seismic,main,"phenomenon, "
