attribute_taxonomic,attribute_id,attribute_label,plural_of,wikipedia_page
aerosol,aerosol,aerosol,,http://en.wikipedia.org/wiki/Aerosol
aerosol~coarse-mode,aerosol~coarse-mode,aerosol~coarse-mode,,
aerosol~nucleation-mode,aerosol~nucleation-mode,aerosol~nucleation-mode,,
gas,gas,gas,,https://en.wikipedia.org/wiki/Gas
gases,gases,gases,gas,
melt,melt,melt,,https://en.wikipedia.org/wiki/Melt
mineral-phase,mineral-phase,mineral-phase,,https://en.wikipedia.org/wiki/Mineral
solid,solid,solid,,https://en.wikipedia.org/wiki/Solid
solids,solids,solids,solid,
vapor,vapor,vapor,,https://en.wikipedia.org/wiki/Vapor
moisture,moisture,moisture,,https://en.wikipedia.org/wiki/Moisture
