phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,form,matter,part,abstraction,process,attribute,trajectory_direction,associated_process,synonym,plural_of,wikipedia_page,,
,anagenesis,anagenesis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Anagenesis,,
,aneurysm,aneurysm,,,,,,,,,,,,https://en.wikipedia.org/wiki/Aneurysm,,
,antibiosis,antibiosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Antibiosis,,
,apoptosis,apoptosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Apoptosis,,
,autolysis,autolysis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Autolysis_(biology),,
,autopsy,autopsy,,,,,,,,,,,,https://en.wikipedia.org/wiki/Autopsy,,
,avalanche,avalanche,,,,,,,,,avalanche,,,,,
,bergeron-findeisen-process,bergeron-findeisen-process,,,,,,,,,,,,https://en.wikipedia.org/wiki/Wegener%E2%80%93Bergeron%E2%80%93Findeisen_process,,
,biogenesis,biogenesis,,,,,,,,,,,,,,
,biopoiesis,biopoiesis,,,,,,,,,,abiogenesis,,https://en.wikipedia.org/wiki/Abiogenesis,,
,canalization,canalization,,,,,,,,,,,,https://en.wikipedia.org/wiki/River_engineering#Canalization_of_rivers,,
,carpool,carpool,,,,,,,,,,,,,,
,cascade,cascade,,,,,,,,,falling,waterfall,,https://en.wikipedia.org/wiki/Waterfall,,
,catagenesis,catagenesis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Catagenesis_(geology),,
,cladogenesis,cladogenesis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cladogenesis,,
,cryoplanation,cryoplanation,,,,,,,,,,altiplanation,,https://en.wikipedia.org/wiki/Cryoplanation,,
,diagenesis,diagenesis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Diagenesis,,
,dialysis,dialysis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Dialysis,,
,drizzle,drizzle,,,,,,,,,precipitation,,,https://en.wikipedia.org/wiki/Drizzle,,
,earthquake,earthquake,,,,,,,,,quaking,,,http://en.wikipedia.org/wiki/Earthquake,,
,earthquake_epicenter,earthquake_epicenter,earthquake,,,,epicenter,,,,,,,,,
,earthquake_focus,earthquake_focus,earthquake,,,,focus,,,,,,,,,
,earthquake_hypocenter,earthquake_hypocenter,earthquake,,,,hypocenter,,,,,,,,,
,espionage,espionage,,,,,,,,,spying,,,https://en.wikipedia.org/wiki/Espionage,,
,landslide,landslide,,,,,,,,,sliding,,,,,
,lipolysis,lipolysis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lipolysis,,
,litterfall,litterfall,,,,,,,,,,,,https://en.wikipedia.org/wiki/Plant_litter,,
,lordosis,lordosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lordosis,,
,meiosis,meiosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Meiosis,,
,rockfall,rockfall,,,,,,,,,fall,,,,,
,radiation,radiation,,,,,,,,,radiation,,,https://en.wikipedia.org/wiki/Radiation,,
radiation,radiation~400-to-680nm,radiation~400-to-680nm,,,,,,,400-to-600nm,,,,,,,
radiation,radiation~780-to-900nm,radiation~780-to-900nm,,,,,,,780-to-900nm,,,,,,,
