phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,attribute,part,abstraction,expressed-as,matter,form,role,body,process,trajectory,trajectory_direction,synonym,plural_of,wikipedia_page
,air_advection,air,,,,,,air,,,,advection,,,,,
,air_convection,air,,,,,,air,,,,convection,,,,,
,air_diffusion,air,,,,,,air,,,,diffusion,,,,,
,air_flowing,air_flow,,,,,,air,,,,flowing,,,,,
,air_isentropic-process,air,,,,,,air,,,,isentropic-process,,,,,
,air_isobaric-process,air,,,,,,air,,,,isobaric-process,,,,,
,air_isochoric-process,air,,,,,,air,,,,isochoric-process,,,,,
,air_isothermal-process,air,,,,,,air,,,,isothermal-process,,,,,
,air_saturated_adiabatic-process,air,,,,,,air_saturated,,,,adiabatic-process,,,,,
,air~dry_adiabatic-process,air,,,,,,air~dry,,,,adiabatic-process,,,,,
,aircraft_flight,aircraft,,,,,,,,,aircraft,flight,,,,,
,airfoil_dragging,airfoil,,,,airfoil,,,,,,dragging,,,,,
,airfoil_lift,airfoil,,,,airfoil,,,,,,lift,,,,,
,airplane_wingspan,airplane_wingspan,,,,wingspan,,,,,airplane,,,,,,
,aluminum_isobaric-process,aluminum,,,,,,aluminum,,,,isobaric-process,,,,,
,ammonia-as-nitrogen_volatilization,ammonia-as-nitrogen,,,,,,ammonia-as-nitrogen,,,,volatilization,,,,,
,ammonium_leaching,ammonium,,,,,,ammonium,,,,leaching,,,,,
,ammonium-as-nitrogen_leaching,ammonium-as-nitrogen,,,,,,ammonium-as-nitrogen,,,,leaching,,,,,
,ammonium-as-nitrogen_nitrification,ammonium-as-nitrogen,,,,,,ammonium-as-nitrogen,,,,nitrification,,,,,
,anvil_isobaric-process,anvil,,,,,,,,,anvil,isobaric-process,,,,,
,atmosphere_air_column,atmosphere_air-column,,,,column,,,,,atmosphere_air,,,,,,
,atmosphere_datum~vertical~tidal~msl,atmosphere_datum~vertical~tidal~msl,,,,datum~vertical~tidal~msl,,,,,atmosphere,,,,,,
,atmosphere_top_surface,atmosphere_top_surface,,,,surface,,,,,atmosphere_top,,,,,,
,automobile_acceleration,automobile,,,,,,,,,automobile,acceleration,,,,,
,automobile_acceleration~0-to-60mph,automobile,,,,,,,,,automobile,acceleration~0-to-60mph,,,,,
,automobile_axis~vertical,automobile_axis~vertical,,,,axis~vertical,,,,,automobile,,,,,,
,automobile_bottom_approach,automobile_bottom,,,,,,,,,automobile_bottom,approach,,,,,
,automobile_bottom_breakover,automobile_bottom,,,,,,,,,automobile_bottom,breakover,,,,,
,automobile_bottom_departure,automobile_bottom,,,,,,,,,automobile_bottom,departure,,,,,
,automobile_braking,automobile,,,,,,,,,automobile,braking,,,,,
,automobile_dragging,automobile,,,,,,,,,automobile,dragging,,,,,
,automobile_front_x-section,automobile_front_x-section ,,,,x-section,,,,,automobile_front,,,,,,
,automobile_lifetime-travel,automobile,,,,,,,,,automobile,lifetime-travel,,,,,
,automobile_lift,automobile,,,,,,,,,automobile,lift,,,,,
,automobile_manufacture,automobile,,,,,,,,,automobile,manufacture,,,,,
,automobile_stopping,automobile,,,,,,,,,automobile,stopping,,,,,
,automobile_travel,automobile,,,,,,,,,automobile,travel,,,,,
,automobile_turning,automobile,,,,,,,,,automobile,turning,,,,,
,automobile_wheelbase,automobile_wheelbase ,,,,wheelbase,,,,,automobile,,,,,,
,ball_falling,ball,,,,,,,,,ball,falling,,,,,
,basin~drainage_boundary,basin~drainage_boundary,,,,boundary,,,,,basin~drainage,,,,,,
,basin~drainage_centroid,basin~drainage_centroid,,,,boundary,,,,,basin~drainage,,,,,,
,bedrock_surface,bedrock_surface,,,,surface,,,,,bedrock,,,,,,
,bedrock_surface_land-mask,bedrock_surface_land-mask,bedrock_surface,,,land-mask,,,,,,,,,,,
,bedrock_surface_sea-mask,bedrock_surface_sea-mask,bedrock_surface,,,sea-mask,,,,,,,,,,,
,bedrock_uplift,bedrock,,,,,,,,,bedrock,uplift,,,,,
,biomass~microbial_decomposition,biomass~microbial,,,,,,biomass~microbial,,,,decomposition,,,,,
,body_travel,body,,,,,,,,,body,travel,,,,,
,bond~h-o_dissociation,bond~h-o,bond~h-o,,,,,,,,,dissociation,,,,,
,carbon_decomposition,carbon,,,,,,carbon,,,,decomposition,,,,,
,channel_bottom_surface,channel_bottom_surface,,,,surface,,,channel_bottom,,,,,,,,
,channel_centerline,channel_centerline,,,,centerline,,,channel,,,,,,,,
,channel_centerline_endpoint~downstream,channel_centerline_endpoint~downstream,channel_centerline,,,endpoint~downstream,,,,,,,,,,,
,channel_centerline_endpoint~upstream,channel_centerline_endpoint~upstream,channel_centerline,,,endpoint~upstream,,,,,,,,,,,
,channel_meandering,channel,,,,,,,channel,,,meandering,,,,,
,channel_meandering_migration,channel,,,,,,,channel,,,"meandering, migration",,,,,
,channel_x-section,channel_x-section,,,,x-section,,,channel,,,,,,,,
