phenomenon_taxonomic,phenomenon_id,phenomenon_label,context_id,phen_id,root_id,root_pref,wikipedia_page
,air_in_helium-plume,air_helium_plume,air_in,,helium-plume,phenomenon,
,air_in_radiation~visible,air_radiation~visible,air_in,,radiation~visible,phenomenon,
,atmosphere_in_air_flow,atmosphere_air_flow,atmosphere_in,,air_flow,phenomenon,
,atmosphere_in_ball_fall,atmosphere_ball,atmosphere_in,,ball_fall,phenomenon,
,water_in_salt,water_salt,water_in,,salt,matter,
,water_in_sand_grain_settling,water_sand_grain,water_in,,sand_grain_settling,phenomenon,
,water_in_human_scuba-diver_dive,water_scuba-diver,water_in,,human_scuba-diver_dive,phenomenon,
,water_molecule_part_hydrogen,water_molecule_hydrogen,water_molecule_part,,hydrogen,matter,
,air_in_water~liquid~20C,,air_in,,water~liquid~20C,matter,
,water_molecule_part_bond~h-o_dissociation,water_molecule_bond~h-o,water_molecule_part,,bond~h-o_dissociation,phenomenon,
,water_molecule_part_bond~h-o,water_molecule_bond~h-o,water_molecule_part,,bond~h-o,phenomenon,
,water_molecule_part_bond~h-o-h,water_molecule_bond~h-o-h,water_molecule_part,,bond~h-o-h,phenomenon,
,atmosphere_in_radiation_aerosol~dust_transmission,atmosphere_aerosol~dust,atmosphere_in,radiation_aerosol~dust_transmission,,,
,atmosphere_in_aerosol_main_radiation~incoming~shortwave_in_absorption,atmosphere_aerosol_radiation~incoming~shortwave,atmosphere_in,aerosol_main_radiation~incoming~shortwave_in_absorption,,,
,atmosphere_in_aerosol_sink_radiation~incoming~shortwave_main_absorption,atmosphere_aerosol_radiation~incoming~shortwave,atmosphere_in,aerosol_sink_radiation~incoming~shortwave_main_absorption,,,
,atmosphere_in_aerosol_main_radiation~incoming~shortwave_in_reflection,atmosphere_aerosol_radiation~incoming~shortwave,atmosphere_in,aerosol_main_radiation~incoming~shortwave_in_reflection,,,
,atmosphere_in_aerosol_sink_radiation~incoming~shortwave_main_reflection,atmosphere_aerosol_radiation~incoming~shortwave,atmosphere_in,aerosol_sink_radiation~incoming~shortwave_main_reflection,,,
,atmosphere_in_aerosol_main_radiation~incoming~shortwave_in_transmission,atmosphere_aerosol_radiation~incoming~shortwave,atmosphere_in,aerosol_main_radiation~incoming~shortwave_in_transmission,,,
,atmosphere_in_aerosol_sink_radiation~incoming~shortwave_main_transmission,atmosphere_aerosol_radiation~incoming~shortwave,atmosphere_in,aerosol_sink_radiation~incoming~shortwave_main_transmission,,,
,atmosphere_in_aerosol_main_radiation~outgoing~longwave_out_emission,atmosphere_aerosol_radiation~outgoing~longwave,atmosphere_in,aerosol_main_radiation~outgoing~longwave_out_emission,,,
,atmosphere_in_aerosol_source_radiation~outgoing~longwave~downward_main_emission,atmosphere_aerosol_radiation~outgoing~longwave~downward,atmosphere_in,aerosol_source_radiation~outgoing~longwave~downward_main_emission,,,
,atmosphere_in_aerosol_source_radiation~outgoing~longwave~upward_main_emission,atmosphere_aerosol_radiation~outgoing~longwave~upward,atmosphere_in,aerosol_source_radiation~outgoing~longwave~upward_main_emission,,,
,atmosphere_in_air_process_isobaric,atmosphere_air,atmosphere_in,air_process_isobaric,,,
,atmosphere_in_air_process_isochoric,atmosphere_air,atmosphere_in,air_process_isochoric,,,
,atmosphere_in_air~dry_process_adiabatic,atmosphere_air,atmosphere_in,air~dry_process_adiabatic,,,
,atmosphere_in_air~saturated_process_adiabatic,atmosphere_air,atmosphere_in,air~saturated_process_adiabatic,,,
,atmosphere_in_air_process_isentropic,atmosphere_air,atmosphere_in,air_process_isentropic,,,
,atmosphere_in_air_process_isothermal,atmosphere_air,atmosphere_in,air_process_isothermal,,,
