phenomenon_taxonomic,phenomenon_id,phenomenon_label,participant_one,participant_two,participant_three,process
,radiation_aerosol~dust_transmission,aerosol~dust,radiation_main,aerosol~dust_sink,,transmission
,aerosol_main_radiation~incoming~shortwave_in_absorption,aerosol_radiation~incoming~shortwave,aerosol_main,radiation~incoming~shortwave_in,,absorption
,aerosol_sink_radiation~incoming~shortwave_main_absorption,aerosol_radiation~incoming~shortwave,aerosol_sink,radiation~incoming~shortwave_main,,absorption
,aerosol_main_radiation~incoming~shortwave_in_reflection,aerosol_radiation~incoming~shortwave,aerosol_main,radiation~incoming~shortwave_in,,reflection
,aerosol_sink_radiation~incoming~shortwave_main_reflection,aerosol_radiation~incoming~shortwave,aerosol_sink,radiation~incoming~shortwave_main,,reflection
,aerosol_main_radiation~incoming~shortwave_in_transmission,aerosol_radiation~incoming~shortwave,aerosol_main,radiation~incoming~shortwave_in,,transmission
,aerosol_sink_radiation~incoming~shortwave_main_transmission,aerosol_radiation~incoming~shortwave,aerosol_sink,radiation~incoming~shortwave_main,,transmission
,aerosol_main_radiation~outgoing~longwave_out_emission,aerosol_radiation~outgoing~longwave,aerosol_main,radiation~outgoing~longwave_out,,emission
,aerosol_source_radiation~outgoing~longwave~downward_main,aerosol_radiation~outgoing~longwave~downward,aerosol_source,radiation~outgoing~longwave~downward_main,,emission
,aerosol_source_radiation~outgoing~longwave~upward_main,aerosol_radiation~outgoing~longwave~upward,aerosol_source,radiation~outgoing~longwave~upward_main,,emission
,atmosphere_air_main_radiation~incoming~longwave_in_absorption,atmosphere_air_radiation~incoming~longwave,atmosphere_air_main,radiation~incoming~longwave_in,,absorption
,atmosphere_air_main_radiation~incoming~longwave_in_reflection,atmosphere_air_radiation~incoming~longwave,atmosphere_air_main,radiation~incoming~longwave_in,,reflection
,atmosphere_air_main_radiation~incoming~longwave_in_transmission,atmosphere_air_radiation~incoming~longwave,atmosphere_air_main,radiation~incoming~longwave_in,,transmission
,air_sink_canopy_main_radiation_out_emission,air_canopy,air_sink,canopy_main,radiation_out,emission
,air_sink_cloud_main_radiation_out_emission,air_cloud,air_sink,cloud_main,radiation_out,emission
,air_main_radiation_out_emission,air,air_main,radiation_out,,emission
,air_flow_main_buildings_main,air_flow_buildings,air_flow_main,buildings_main,,exchange
,air_flow_main_snowpack_main,air_flow_snowpack,air_flow_main,snowpack_main,,exchange
,air_flow_main_terrain_main,air_flow_terrain,air_flow_main,terrain_main,,exchange
,air_flow_main_vegetation_main,air_flow_vegetation,air_flow_main,vegetation_main,,exchange
,atmosphere_bottom_in_air_source_land_sink,atmosphere_bottom_air_land,atmosphere_bottom_in_air_source,land_sink,,
,atmosphere_bottom_in_air_main_land_main,atmosphere_bottom_air_land,atmosphere_bottom_in_air_main,land_main,,exchange
,clouds_sink_radiation~incoming~shortwave_main_absorption,clouds_radiation~incoming~shortwave,clouds_sink,radiation~incoming~shortwave_main,,absorption
,clouds_main_radiation~incoming~shortwave_in_absorption,clouds_radiation~incoming~shortwave,clouds_main,radiation~incoming~shortwave_in,,absorption
,clouds_main_radiation~incoming~shortwave_in_reflection,clouds_radiation~incoming~shortwave,clouds_main,radiation~incoming~shortwave_in,,reflection
,clouds_sink_radiation~incoming~shortwave_main_reflection,clouds_radiation~incoming~shortwave,clouds_sink,radiation~incoming~shortwave_main,,reflection
,clouds_main_radiation~incoming~shortwave_in_transmission,clouds_radiation~incoming~shortwave,clouds_main,radiation~incoming~shortwave_in,,transmission
,clouds_sink_radiation~incoming~shortwave_main_transmission,clouds_radiation~incoming~shortwave,clouds_sink,radiation~incoming~shortwave_main,,transmission
,clouds_main_radiation~outgoing~longwave_out_emission,clouds~radiation~outgoing~longwave,clouds_main,radiation~outgoing~longwave_out,,emission
,clouds_source_radiation~outgoing~longwave~downward_main_emission,clouds~radiation~outgoing~longwave~downward,clouds_source,radiation~outgoing~longwave_main,,emission
,clouds_source_radiation~outgoing~longwave~upward_main_emission,clouds~radiation~outgoing~longwave~upward,clouds_source,radiation~outgoing~longwave_main,,emission
