phenomenon_taxonomic,phenomenon_id,phenomenon_label,medium_id,medium_pref,phen_id,root_id,root_pref,attribute,process,wikipedia_page
,air@medium_water~vapor,air_water~vapor,air,matter,,water~vapor,matter,,,
,air@medium_water~vapor~dew-point,air_water~vapor,air,matter,,water~vapor,matter,dew-point,,
,air@medium_water~vapor~saturated,air_water~vapor,air,matter,,water~vapor,matter,saturated,,
,air@medium_equilibrium_carbon-dioxide,air_carbon-dioxide,air,matter,,carbon-dioxide,matter,equilibrium,,
,air@medium_carbon-dioxide,air_carbon-dioxide,air,matter,,carbon-dioxide,matter,,,
,air@medium_saturated_carbon-dioxide,air_carbon-dioxide,air,matter,,carbon-dioxide,matter,saturated,,
,air_flow@medium_sediment~suspended,air_flow_sediment~suspended,air_flow,phenomenon,,sediment~suspended,matter,,,
,air_flow@medium_snow~suspended,air_flow_snow~suspended,air_flow,phenomenon,,water~snow~suspended,matter,,,
,air@medium_mercury~gaseous~divalent,air_mercury~gaseous~divalent,air,matter,,mercury~gaseous~divalent,matter,,,
,air@medium_mercury~gaseous~elemental,air_mercury~gaseous~elemental,air,matter,,mercury~gaseous~elemental,matter,,,
,air@medium_mercury~gaseous~monovalent,air_mercury~gaseous~monovalent,air,matter,,mercury~gaseous~monovalent,matter,,,
,air@medium_nitrogen~atomic,air_nitrogen~atomic,air,matter,,nitrogen~atomic,matter,,,
,air@medium_nmvoc~anthropogenic-as-carbon,air_nmvoc~anthropogenic-as-carbon,air,matter,,nmvoc~anthropogenic-as-carbon,matter,,,
,air@medium_nmvoc~biogenic-as-carbon,air_nmvoc~biogenic-as-carbon,air,matter,,nmvoc~biogenic-as-carbon,matter,,,
,air@medium_attenuation_radiation,air_radiation,air,matter,radiation,,,,attenuation,
,air@medium_refraction_radiation,air_radiation,air,matter,radiation,,,,refraction,
,air@medium_radiation_optical-path,air_radiation,air,matter,radiation_optical-path,,,,,
,air@medium_bubble-point_water~vapor,air_water~vapor,air,matter,,water~vapor,matter,,bubble-point,
,air@medium_dew-point_water~vapor,air_water~vapor,air,matter,,water~vapor,matter,,dew-point,
,air@medium_equilibrium_water~vapor,air_water~vapor,air,matter,,water~vapor,matter,,equilibrium,
,air@medium_frost-point_water~vapor,air_water~vapor,air,matter,,water~vapor,matter,,frost-point,
,air@medium_water~vapor,air_water~vapor,air,matter,,water~vapor,matter,,,
,air@medium_saturated_water~vapor,air_water~vapor,air,matter,,water~vapor,matter,,saturated,
