phen_taxonomic,phen_id,phen_label,associated_process,synonym,plural_of,wikipedia_page
anagenesis,anagenesis,anagenesis,,,,https://en.wikipedia.org/wiki/Anagenesis
aneurysm,aneurysm,aneurysm,,,,https://en.wikipedia.org/wiki/Aneurysm
antibiosis,antibiosis,antibiosis,,,,https://en.wikipedia.org/wiki/Antibiosis
apoptosis,apoptosis,apoptosis,,,,https://en.wikipedia.org/wiki/Apoptosis
autolysis,autolysis,autolysis,,,,https://en.wikipedia.org/wiki/Autolysis_(biology)
autopsy,autopsy,autopsy,,,,https://en.wikipedia.org/wiki/Autopsy
avalanche,avalanche,avalanche,avalanche,,,
baseflow,baseflow,baseflow,flow,,,https://en.wikipedia.org/wiki/Baseflow
bergeron-findeisen-process,bergeron-findeisen-process,bergeron-findeisen-process,,,,https://en.wikipedia.org/wiki/Wegener%E2%80%93Bergeron%E2%80%93Findeisen_process
biogenesis,biogenesis,biogenesis,,,,
biopoiesis,biopoiesis,biopoiesis,,abiogenesis,,https://en.wikipedia.org/wiki/Abiogenesis
canalization,canalization,canalization,,,,https://en.wikipedia.org/wiki/River_engineering#Canalization_of_rivers
carpool,carpool,carpool,,,,
cascade,cascade,cascade,fall,waterfall,,https://en.wikipedia.org/wiki/Waterfall
catagenesis,catagenesis,catagenesis,,,,https://en.wikipedia.org/wiki/Catagenesis_(geology)
cladogenesis,cladogenesis,cladogenesis,,,,https://en.wikipedia.org/wiki/Cladogenesis
cryoplanation,cryoplanation,cryoplanation,,altiplanation,,https://en.wikipedia.org/wiki/Cryoplanation
diagenesis,diagenesis,diagenesis,,,,https://en.wikipedia.org/wiki/Diagenesis
dialysis,dialysis,dialysis,,,,https://en.wikipedia.org/wiki/Dialysis
drizzle,drizzle,drizzle,precipitate,,,https://en.wikipedia.org/wiki/Drizzle
earthquake,earthquake,earthquake,quake,,,http://en.wikipedia.org/wiki/Earthquake
espionage,espionage,espionage,spy,,,https://en.wikipedia.org/wiki/Espionage
landslide,landslide,landslide,slide,,,
lipolysis,lipolysis,lipolysis,,,,https://en.wikipedia.org/wiki/Lipolysis
litterfall,litterfall,litterfall,,,,https://en.wikipedia.org/wiki/Plant_litter
lordosis,lordosis,lordosis,,,,https://en.wikipedia.org/wiki/Lordosis
meiosis,meiosis,meiosis,,,,https://en.wikipedia.org/wiki/Meiosis
mitosis,mitosis,mitosis,mitose,,,
radiation,radiation,radiation,radiate,,,https://en.wikipedia.org/wiki/Radiation
radiation~400-to-680nm,radiation~400-to-680nm,radiation~400-to-680nm,,,,
radiation~780-to-900nm,radiation~780-to-900nm,radiation~780-to-900nm,,,,
radiation~electromagnetic,radiation~electromagnetic,radiation~electromagnetic,,,,https://en.wikipedia.org/wiki/Electromagnetic_radiation
radiation~electromagnetic~gamma,radiation~gamma,radiation~gamma,,gamma_rays,,https://en.wikipedia.org/wiki/Gamma_Radiation
radiation~electromagnetic~longwave,radiation~longwave,radiation~longwave,,,,https://en.wikipedia.org/wiki/Longwave
radiation~electromagnetic~microwave,radiation~microwave,radiation~microwave,,,,https://en.wikipedia.org/wiki/Microwave
radiation~electromagnetic~photosynthetically-active,radiation~photosynthetically-active,radiation~photosynthetically-active,,"par, radiation~400-to-700nm",,https://en.wikipedia.org/wiki/Photosynthetically_active_radiation
radiation~electromagnetic~shortwave,radiation~shortwave,radiation~shortwave,,,,https://en.wikipedia.org/wiki/Shortwave_radiation
