property_type_taxonomic,property_type_id,property_type_label,type,wikipedia_page,comment
dichotomous,binary,binary,standardized,https://en.wikipedia.org/wiki/Binary_number,
dichotomous,boolean,boolean,standardized,https://en.wikipedia.org/wiki/Boolean_data_type,
,categorical,categorical,standardized,https://en.wikipedia.org/wiki/Categorical_variable,
categorical,dichotomous,dichotomous,standardized,https://en.wikipedia.org/wiki/Dichotomy,
,dimensionless_number,dimensionless_number,quantitative,,A value that results from a ratio of two (compound) numbers in the same dimension. A factor is a kind of dimensionless number that is also a coefficient. DNs can be coefficients or exponents and may be parameters in a model as well —see e.g. https://en.wikipedia.org/wiki/List_of_dimensionless_quantities. They may also be physical constants: https://en.wikipedia.org/wiki/Dimensionless_physical_constant
,field,field,quantitative,https://en.wikipedia.org/wiki/Field_(physics),
,function,function,quantitative,https://en.wikipedia.org/wiki/Function_(mathematics),
ordinal,interval,interval,standardized,https://en.wikipedia.org/wiki/Level_of_measurement#Interval_scale,
categorical,ordinal,ordinal,standardized,https://en.wikipedia.org/wiki/Ordinal_data,
,scalar,scalar,quantitative,https://en.wikipedia.org/wiki/Scalar_(physics),
,tensor,tensor,quantitative,http://en.wikipedia.org/wiki/Tensor,
,vector,vector,quantitative,https://en.wikipedia.org/wiki/Vector_(mathematics_and_physics),
