attribute_id,attribute_label,noun,matter_id,property_id,value,synonym,plural_of,wikipedia_page
abiotic,abiotic,,,,,,,https://en.wikipedia.org/wiki/Abiotic_component
absorbed,absorbed,,,,,,,
acoustic,acoustic,,,,,,,
actual,actual,,,,,,,
adiabatic,adiabatic,,,,,,,https://en.wikipedia.org/wiki/Adiabatic_process
aerosol,aerosol,noun,,,,,,http://en.wikipedia.org/wiki/Aerosol
agricultural,agricultural,,,,,,,
airy,airy,,,,,,,
all,all,,,,,,,
alpha-emitting,alpha-emitting,,,emittance,,,,
amenable-to-chlorination,amenable-to-chlorination,,,,,,,
american,american,,,,,,,
amphidromic,amphidromic,,,,,,,
annual,annual,,,,,,,
anthropogenic,anthropogenic,,,,,,,https://en.wikipedia.org/wiki/Human_impact_on_the_environment
aqueous,aqueous,,,,,,,https://en.wikipedia.org/wiki/Aqueous_solution
arable,arable,,,,,,,
area_weighted,area_weighted,,,,,,,
aromatic,aromatic,,,,,,,
at-equilibrium-with-aragonite,at-equilibrium-with-aragonite,,,,,,,
at-equilibrium-with-calcite,at-equilibrium-with-calcite,,,,,,,
at-equilibrium-with-pure-aragonite,at-equilibrium-with-pure-aragonite,,,,,,,
at-equilibrium-with-pure-calcite,at-equilibrium-with-pure-calcite,,,,,,,
atomic,atomic,,,,,,,
authalic,authalic,,,,,,,
available,available,,,,,,,
backscattered,backscattered,,,,,,,
bankfull,bankfull,,,elevation,,,,
barotropic,barotropic,,,,,,,https://en.wikipedia.org/wiki/Barotropic_fluid
base-level,base-level,,,level,,,,https://en.wikipedia.org/wiki/Base_level
bedload,bedload,,,,,,,https://en.wikipedia.org/wiki/Bed_load
between-core-and-mantle,between-core-and-mantle,,,,,,,
between-crust-and-mantle,between-crust-and-mantle,,,,,,,
between-lithosphere-and-asthenosphere,between-lithosphere-and-asthenosphere,,,,,,,
bidirectional,bidirectional,,,,,,,
binary,binary,,,,,,,
biochemical,biochemical,,,,,,,
biogenic,biogenic,,,,,,,
biological,biological,,,,,,,
bioluminescent,bioluminescent,,,,,,,
bottomset,bottomset,,,,,,,
bubbling,bubbling,,,,,,,
burned,burned,,,,,,,
c1-alkylated,c1-alkylated,,,alkylation,,,,
c2-alkylated,c2-alkylated,,,alkylation,,,,
c3-alkylated,c3-alkylated,,,alkylation,,,,
c4-alkylated,c4-alkylated,,,alkylation,,,,
calcareous,calcareous,,,,,,,https://en.wikipedia.org/wiki/Calcareous
carbonaceous,carbonaceous,,,,,,,
central,central,,,,,,,
characteristic,characteristic,,,,,,,
chemical,chemical,,,,,,,
chlorinated,chlorinated,,,,,,,
clear-sky,clear-sky,,,,,,,
cloud-covered,cloud-covered,,,coverage,,,,
cnoidal,cnoidal,,,,,,,
coarse-mode,coarse-mode,,,mode,,,,
colocation,colocation,,,,,,,
colony-forming,colony-forming,,,,,,,
colored,colored,,,,,,,
combined-available,combined-available,,,,,,,
commercial,commercial,,,,,,,
composite,composite,,,,,,,
condensed,condensed,,,,,,,https://en.wikipedia.org/wiki/Condensation
conformal,conformal,,,,,,,
convective,convective,,,,,,,
cosmic,cosmic,,,,,,,
counting,counting,,,,,,,
critical,critical,,,,,,,
cross-stream,cross-stream,,,,,,,
culturable,culturable,,,,,,,
dead,dead,,,,,,,
deep,deep,,,,,,,
deep-snow,deep-snow,,,,,,,
deionized,deionized,,,,,,,
diesel-range,diesel-range,,,,,,,
diffuse,diffuse,,,,,,,
direct,direct,,,,,,,
dissolved,dissolved,,,,,,,https://en.wikipedia.org/wiki/Dissolution_(chemistry)
daily,daily,,,,,,,
diurnal,diurnal,,,,,,,
divalent,divalent,,,,,,,https://en.wikipedia.org/wiki/Divalent
down,down,,,,,,,
downstream,downstream,,,direction,,,,
drainage,drainage,,,,,,,
dried,dried,,,,,,,
dry,dry,,,,,,,https://en.wikipedia.org/wiki/Anhydrous
dual,dual,,,,,,,
dynamic,dynamic,,,,,,,
effective,effective,,,,,,,
electric,electric,,,,,,,https://en.wiktionary.org/wiki/electric#Adjective
electromagnetic,electromagnetic,,,,,,,
elemental,elemental,,,,,,,
emitted,emitted,,,,,,,
enclosing,enclosing,,,,,,,
equatorial,equatorial,,,,,,,
equilibrium,equilibrium,,,,,,,https://en.wikipedia.org/wiki/List_of_types_of_equilibrium
exchangeable,exchangeable,,,,,,,
exterior,exterior,,,,,,,
extractable,extractable,,,,,,,
farmed,farmed,,,,,,,https://en.wiktionary.org/wiki/farmed
fibrous,fibrous,,,,,,,
first,first,,,,,,,
floating,floating,,,,,,,
flooded,flooded,,,,,,,
foreset,foreset,,,,,,,
forested,forested,,,,,,,
frazzil,frazzil,,,,,,,
free,free,,,,,,,
free-available,free-available,,,,,,,
fresh,fresh,,,,,,,
frictional,frictional,,,,,,,
frozen,frozen,,,,,,,https://en.wikipedia.org/wiki/Freezing
gamma,gamma,,,wavelength,,,,
gas,gas,noun,,phase,gas,,,https://en.wikipedia.org/wiki/Gas
