property_taxonomic,property_id,property_label,attribute,synonym,wikipedia_page
,activity,activity,,,
,ability,ability,,,
,absorptivity,absorptivity,,,
,accountability,accountability,,,
,adequacy,adequacy,,,
,affinity,affinity,,,https://en.wikipedia.org/wiki/Affinity
,alkalinity,alkalinity,,,
,amplitude,amplitude,,,http://en.wikipedia.org/wiki/Amplitude
,availability,availability,,,
,capacity,capacity,,,https://en.wikipedia.org/wiki/Capacity
,charge,charge,,,http://en.wikipedia.org/wiki/Charge
,classification,classification,,,
,completeness,completeness,,,
,composition,composition,,,
,concentration,concentration,,,https://en.wikipedia.org/wiki/Concentration
,conductance,conductance,,,http://en.wikipedia.org/wiki/Conductance
,conductivity,conductivity,,,https://en.wikipedia.org/wiki/Conductivity
,configuration,configuration,,,
,connectivity,connectivity,,,
,coverage,coverage,,,
,density,density,,,http://en.wikipedia.org/wiki/Density
,direction,direction,,,
,diversity,diversity,,,
,efficiency,efficiency,,,https://en.wikipedia.org/wiki/Efficiency
,elasticity,elasticity,,,
,emittance,emittance,,,http://en.wikipedia.org/wiki/Emittance
,equality,equality,,,
,equity,equity,,,
,fertility,fertility,,,
,fluorescence,fluorescence,,,
,frequency,frequency,,,
,gender,gender,,,
,hardness,hardness,,,
,hydrophilicity,hydrophilicity,,,
,hydrophobicity,hydrophobicity,,,
,immiscibility,immiscibility,,,
,impedance,impedance,,,https://en.wikipedia.org/wiki/Impedance
,inability,inability,,,
,inertia,inertia,,,https://en.wikipedia.org/wiki/Inertia
,inhibition,inhibition,,,
,insecurity,insecurity,,,
,insolubility,insolubility,,,
,intensity,intensity,,,https://en.wikipedia.org/wiki/Intensity
,liquidity,liquidity,,,
,magnitude,magnitude,,,https://en.wikipedia.org/wiki/Magnitude_(mathematics)
,maturity,maturity,,,
,miscibility,miscibility,,,
,moment,moment,,,https://en.wikipedia.org/wiki/Moment_(physics)
,momentum,momentum,,,
,mortality,mortality,,,
,name,name,,,
,number,number,,,https://en.wikipedia.org/wiki/Number
,odor,odor,,,
,order,order,,,https://en.wikipedia.org/wiki/Order
,orientation,orientation,,,
,periodicity,periodicity,,,
,permeability,permeability,,,https://en.wikipedia.org/wiki/Permeability
,permittivity,permittivity,,,
,persistence,persistence,,,
,phase,phase,,,
,plasticity,plasticity,,,
,potential,potential,,,https://en.wikipedia.org/wiki/Potential_(disambiguation)
,presence,presence,,,
,prevalence,prevalence,,,
,productivity,productivity,,,
,quality,quality,,,http://en.wikipedia.org/wiki/Quality
,radioactivity,radioactivity,,,
,rating,rating,,,
,resistance,resistance,,,https://en.wikipedia.org/wiki/Resistance
,resistivity,resistivity,,,http://en.wikipedia.org/wiki/Resistivity
,roughness,roughness,,,
,safety,safety,,,
,salinity,salinity,,,
,saturation,saturation,,,http://en.wikipedia.org/wiki/Saturation
,security,security,,,
,sodicity,sodicity,,,
,solubility,solubility,,,
,speed,speed,,,
,stability,stability,,,
,state,state,,,
,susceptibility,susceptibility,,,https://en.wikipedia.org/wiki/Susceptibility
,sustainability,sustainability,,,
,tension,tension,,,https://en.wikipedia.org/wiki/Tension
,transparency,transparency,,,
,transphilicity,transphilicity,,,
,turbidity,turbidity,,,https://en.wikipedia.org/wiki/Turbidity
,type,type,,,
,unity,unity,,,
,velocity,velocity,,,
,viscosity,viscosity,,,https://en.wikipedia.org/wiki/Viscosity
,wetness,wetness,,,
,yield,yield,,,http://en.wikipedia.org/wiki/Yield
composition,chemical_composition,chemical_composition,,,
state,physical_state,physical_state,,,
type,area_type,area_type,,,
,volition,volition,,,https://en.wikipedia.org/wiki/Volition_(psychology)
,exteroception,exteroception,,,
,interoception,interoception,,,https://en.wikipedia.org/wiki/Interoception
,independence,independence,,,https://en.wikipedia.org/wiki/Independence
,proprioception,proprioception,,,https://en.wikipedia.org/wiki/Proprioception
,turbulence,turbulence,,,https://en.wikipedia.org/wiki/Turbulence
,incidence,incidence,,,https://en.wikipedia.org/wiki/Incidence_(epidemiology)
,lifetime,lifetime,,lifespan,https://en.wikipedia.org/wiki/Product_lifetime
,resilience,resilience,,,https://en.wikipedia.org/wiki/Resilience
,wavenumber,wavenumber,,,
