attribute_id,attribute_label,property_id,value,unit,canonical_unit,attribute,synonym,wikipedia_page
20C,20C,temperature,20,C,O,,,
0.005-to-0.002-mm,0.005-to-0.002-mm,diameter,0.005-to-0.002,mm,L,,,
0.005-to-0.008-mm,0.005-to-0.008-mm,diameter,0.005-to-0.008,mm,L,,,
0.008-to-0.014-mm,0.008-to-0.014-mm,diameter,0.008-to-0.014,mm,L,,,
0.014-to-0.032-mm,0.014-to-0.032-mm,diameter,0.014-to-0.032,mm,L,,,
0.01M,0.01M,mole_concentration,0.01,M,L^-3,,,
0.032-to-0.063-mm,0.032-to-0.063-mm,diameter,0.032-to-0.063,mm,L,,,
0.063-to-0.125-mm,0.063-to-0.125-mm,diameter,0.063-to-0.125,mm,L,,,
0.125-to-0.25-mm,0.125-to-0.25-mm,diameter,0.125-to-0.25,mm,L,,,
0.25-to-0.50-mm,0.25-to-0.50-mm,diameter,0.25-to-0.50,mm,L,,,
0.5-to-8.0-mm,0.5-to-8.0-mm,diameter,0.5-to-8.0,mm,L,,,
greater-than-0.0004-mm,greater-than-0.0004-mm,diameter,greater-than-0.0004-mm,,L,,,
greater-than-0.50-mm,greater-than-0.50-mm,diameter,greater-than-0.50-mm,mm,L,,,
greater-than-11-um,greater-than-11-um,diameter,greater-than-11-um,um,L,,,
greater-than-35-um,greater-than-35-um,diameter,greater-than-35-um,um,L,,,
greater-than-62.5-um,greater-than-62.5-um,diameter,greater-than-62.5-um,um,L,,,
greater-than-8.0-mm,greater-than-8.0-mm,diameter,greater-than-8.0-mm,mm,L,,,
less-than-0.00025-mm,less-than-0.00025-mm,diameter,less-than-0.00025,mm,L,,,
less-than-0.00038-mm,less-than-0.00038-mm,diameter,less-than-0.00038,mm,L,,,
less-than-0.0005-mm,less-than-0.0005-mm,diameter,less-than-0.0005,mm,L,,,
less-than-0.00075-mm,less-than-0.00075-mm,diameter,less-than-0.00075,mm,L,,,
less-than-0.0015-mm,less-than-0.0015-mm,diameter,less-than-0.0015,mm,L,,,
less-than-0.001-mm,less-than-0.001-mm,diameter,less-than-0.001,mm,L,,,
less-than-0.002-mm,less-than-0.002-mm,diameter,less-than-0.002,mm,L,,,
less-than-0.003-mm,less-than-0.003-mm,diameter,less-than-0.003,mm,L,,,
less-than-0.004-mm,less-than-0.004-mm,diameter,less-than-0.004,mm,L,,,
less-than-0.006-mm,less-than-0.006-mm,diameter,less-than-0.006,mm,L,,,
less-than-0.008-mm,less-than-0.008-mm,diameter,less-than-0.008,mm,L,,,
less-than-0.012-mm,less-than-0.012-mm,diameter,less-than-0.012,mm,L,,,
less-than-0.016-mm,less-than-0.016-mm,diameter,less-than-0.016,mm,L,,,
less-than-0.024-mm,less-than-0.024-mm,diameter,less-than-0.024,mm,L,,,
less-than-0.025-mm,less-than-0.025-mm,diameter,less-than-0.025,mm,L,,,
less-than-0.02-mm,less-than-0.02-mm,diameter,less-than-0.02,mm,L,,,
less-than-0.031-mm,less-than-0.031-mm,diameter,less-than-0.031,mm,L,,,
less-than-0.032-mm,less-than-0.032-mm,diameter,less-than-0.032,mm,L,,,
less-than-0.038-mm,less-than-0.038-mm,diameter,less-than-0.038,mm,L,,,
less-than-0.0425-mm,less-than-0.0425-mm,diameter,less-than-0.0425,mm,L,,,
less-than-0.044-mm,less-than-0.044-mm,diameter,less-than-0.044,mm,L,,,
less-than-0.045-mm,less-than-0.045-mm,diameter,less-than-0.045,mm,L,,,
less-than-0.053-mm,less-than-0.053-mm,diameter,less-than-0.053,mm,L,,,
less-than-0.0625-mm,less-than-0.0625-mm,diameter,less-than-0.0625,mm,L,,,
less-than-0.062-mm,less-than-0.062-mm,diameter,less-than-0.062,mm,L,,,
less-than-0.063-mm,less-than-0.063-mm,diameter,less-than-0.063,mm,L,,,
less-than-0.075-mm,less-than-0.075-mm,diameter,less-than-0.075,mm,L,,,
less-than-0.088-mm,less-than-0.088-mm,diameter,less-than-0.088,mm,L,,,
less-than-0.09-mm,less-than-0.09-mm,diameter,less-than-0.09,mm,L,,,
less-than-0.106-mm,less-than-0.106-mm,diameter,less-than-0.106,mm,L,,,
less-than-0.125-mm,less-than-0.125-mm,diameter,less-than-0.125,mm,L,,,
less-than-0.15-mm,less-than-0.15-mm,diameter,less-than-0.15,mm,L,,,
less-than-0.18-mm,less-than-0.18-mm,diameter,less-than-0.18,mm,L,,,
less-than-0.1-um,less-than-0.1-um,diameter,less-than-0.1,um,L,,,
less-than-0.212-mm,less-than-0.212-mm,diameter,less-than-0.212,mm,L,,,
less-than-0.25-mm,less-than-0.25-mm,diameter,less-than-0.25,mm,L,,,
less-than-0.2-um,less-than-0.2-um,diameter,less-than-0.2,um,L,,,
less-than-0.30-um,less-than-0.30-um,diameter,less-than-0.30,um,L,,,
less-than-0.355-mm,less-than-0.355-mm,diameter,less-than-0.355,mm,L,,,
less-than-0.35-mm,less-than-0.35-mm,diameter,less-than-0.35,mm,L,,,
less-than-0.3-mm,less-than-0.3-mm,diameter,less-than-0.3,mm,L,,,
less-than-0.425-mm,less-than-0.425-mm,diameter,less-than-0.425,mm,L,,,
less-than-0.5-mm,less-than-0.5-mm,diameter,less-than-0.5,mm,L,,,
less-than-0.6-mm,less-than-0.6-mm,diameter,less-than-0.6,mm,L,,,
less-than-0.71-mm,less-than-0.71-mm,diameter,less-than-0.71,mm,L,,,
less-than-0.7-um,less-than-0.7-um,diameter,less-than-0.7,um,L,,,
less-than-0.85-mm,less-than-0.85-mm,diameter,less-than-0.85,mm,L,,,
less-than-1.18-mm,less-than-1.18-mm,diameter,less-than-1.18,mm,L,,,
less-than-1.4-mm,less-than-1.4-mm,diameter,less-than-1.4,mm,L,,,
less-than-1.5-um,less-than-1.5-um,diameter,less-than-1.5,um,L,,,
less-than-1.7-mm,less-than-1.7-mm,diameter,less-than-1.7,mm,L,,,
less-than-100-mm,less-than-100-mm,diameter,less-than-100,mm,L,,,
less-than-1024-mm,less-than-1024-mm,diameter,less-than-1024,mm,L,,,
less-than-106-mm,less-than-106-mm,diameter,less-than-106,mm,L,,,
less-than-11.2-mm,less-than-11.2-mm,diameter,less-than-11.2,mm,L,,,
less-than-11-um,less-than-11-um,diameter,less-than-11,um,L,,,
less-than-12.5-mm,less-than-12.5-mm,diameter,less-than-12.5,mm,L,,,
less-than-125-mm,less-than-125-mm,diameter,less-than-125,mm,L,,,
less-than-128-mm,less-than-128-mm,diameter,less-than-128,mm,L,,,
less-than-13.2-mm,less-than-13.2-mm,diameter,less-than-13.2,mm,L,,,
less-than-150-um,less-than-150-um,diameter,less-than-150,um,L,,,
less-than-1536-mm,less-than-1536-mm,diameter,less-than-1536,mm,L,,,
less-than-16-mm,less-than-16-mm,diameter,less-than-16,mm,L,,,
less-than-177-um,less-than-177-um,diameter,less-than-177,um,L,,,
less-than-180-mm,less-than-180-mm,diameter,less-than-180,mm,L,,,
