root_quantity,quantity_taxonomic,property_taxonomic,quantity_id,quantity_label,property_type,property_role,property_quantification,process_quantity,condition,attribute,synonym,plural_of,wikipedia_page,L,M,O,T,I,N,lumens,radian,number,currency,unitless_ratio,notes
,,,phenological_stage,phenological_stage,,,stage,,,,,,,,,,,,,,,,,,
,,,height_flood_index,height_flood_index,,,index,height_process_index,,,,,,,,,,,,,,,,,
runoff_curve_number,runoff_curve_number,,usdanrcs_runoff_curve_number,usdanrcs_runoff_curve_number,,,,usdanrcs_process_curve_number,,,scs_runoff_curve_number,,,,,,,,,,,,,,
,,,runoff_curve_number,runoff_curve_number,,,,process_curve_number,,,,,https://en.wikipedia.org/wiki/Runoff_curve_number,,,,,,,,,,,,
distance,separation_distance,,planting_separation_distance,planting_separation_distance,,,,,,,,,,,,,,,,,,,,,
,,concentration,volume-per-area_concentration,volume-per-area_concentration,,,,,,,,,,1,,,,,,,,,,,
volume-per-area_capacity,volume-per-area_capacity,,volume-per-area_storage_capacity,volume-per-area_storage_capacity,,,,,,,,,,,,,,,,,,,,,
price-per-mass,price-per-mass,,received_price-per-mass,received_price-per-mass,,,,,,,,,,,,,,,,,,,,,
,,,price-per-mass,price-per-mass,,,,,,,,,,,-1,,,,,,,,,,
cost-per-mass,cost-per-mass,,usage-cost-per-applied-mass,usage-cost-per-applied-mass,,,,,,,,,,,,,,,,,,,,,
,,,cost-per-mass,cost-per-mass,,,,,,,,,,,-1,,,,,,,,,,
cost-per-area,cost-per-area,,production_cost-per-area,production_cost-per-area,,,,process_cost-per-area,,,,,,,,,,,,,,,,,
,,,cost-per-area,cost-per-area,,,,,,,,,,-2,,,,,,,,,,,
cost_fraction,cost_fraction,,application_reduced_cost_fraction,application_reduced_cost_fraction,,,,process_reduced_cost_fraction,,reduced,,,,,,,,,,,,,,,
,,,cost_fraction,cost_fraction,,,,,,,,,,,,,,,,,,,,,
time,time,,observation_time,observation_time,,,,process_time,,,,,,,,,,,,,,,,,
time,acceleration_time,,0-to-60mph_acceleration_time,0-to-60mph_acceleration_time,,,,0-to-60mph_process_time,,0-to-60-mph,,,,,,,,,,,,,,,
depth,depth,,application_depth,application_depth,,,,process_depth,,,,,,,,,,,,,,,,,
depth,attenuation_depth,,50-percent_attenuation_depth,50-percent_attenuation_depth,,,,50-percent_process_depth,,,,,,,,,,,,,,,,,
depth,attenuation_depth,,99-percent_attenuation_depth,99-percent_attenuation_depth,,,,99-percent_process_depth,,,,,,,,,,,,,,,,,
depth,depth,,planting_depth,planting_depth,,,,process_depth,,,,,,,,,,,,,,,,,
,,,abbe_number,abbe_number,dimensionless_number,,,,,,,,https://en.wikipedia.org/wiki/Abbe_number,,,,,,,,,,,,
,,,ablation_rate,ablation_rate,,,,process_rate,,,,,https://en.wikipedia.org/wiki/Ablation,-2,1,,-1,,,,,,,,
,,permeability,absolute_permeability,absolute_permeability,,,,,,,intrinsic_permeability,,https://en.wikipedia.org/wiki/Permeability_(earth_sciences)#Intrinsic_and_absolute_permeability,2,,,,,,,,,,,
,,permittivity,absolute_permittivity,absolute_permittivity,,,,,,,,,http://en.wikipedia.org/wiki/Permittivity,-3,-1,,4,2,,,,,,,
,,salinity,absolute_salinity,absolute_salinity,,,,,,,,,http://en.wikipedia.org/wiki/Salinity,,1,,,,,,,,,yes,
,,,absorbance,absorbance,,,,,,,,,https://en.wikipedia.org/wiki/Absorbance,-1,,,,,,,,,,,
energy_flux,energy_flux,,absorbed_energy_flux,absorbed_energy_flux,,,,,,absorbed,,,,,,,,,,,,,,,
,,,absorptance,absorptance,,,,,,,absorption_coefficient,,http://en.wikipedia.org/wiki/Absorptance,2,1,,-3,,,,,,,yes,
,,,acceleration,acceleration,,,,,,,,,http://en.wikipedia.org/wiki/Acceleration,1,,,-2,,,,,,,,
time,time,,acceleration_time,acceleration_time,,,,process_time,,,,,,,,,,,,,,,,,
,,,accumulation_rate,accumulation_rate,,,,process_rate,,,,,,-2,1,,-1,,,,,,,,
volume_flux,volume_flux,,accumulation_volume_flux,accumulation_volume_flux,,,,process_volume_flux,,,,,,1,,,-1,,,,,,,,
