two_quantity_operator,operator,quantity_taxonomic,operator_quantity_id,operator_quantity_label,quantity1_taxonomic,quantity2_taxonomic,synonym,wikipedia_page,L,M,O,T,I,N,lumens,radian,number,currency,notes
,one-year_time_max,leaf-area_index,one-year_time_max_of_leaf-area_index,one-year_time_max_of_leaf-area_index,,,,,,,,,,,,,,,
,anomaly,geopotential_height,anomaly_of_geopotential_height,anomaly_of_geopotential_height,,,,,,,,,,,,,,,
,anomaly,mass-per-volume_density,anomaly_of_mass-per-volume_density,anomaly_of_mass-per-volume_density,,,,,,,,,,,,,,,
,anomaly,pressure,anomaly_of_pressure,anomaly_of_pressure,,,,,,,,,,,,,,,
,anomaly,temperature,anomaly_of_temperature,anomaly_of_temperature,,,,,,,,,,,,,,,
,antigradient,elevation,antigradient_of_elevation,antigradient_of_elevation,,,,,,,,,,,,,,,
,average,temperature,average_of_temperature,average_of_temperature,,,,,,,,,,,,,,,
,average,mass_leaching_rate,average_of_mass_leaching_rate,average_of_mass_leaching_rate,,,,,,,,,,,,,,,
,average,gross_mass_immobilization_rate,average_of_gross_mass_immobilization_rate,average_of_gross_mass_immobilization_rate,,,,,,,,,,,,,,,
,average,gross_mass_mineralization_rate,average_of_gross_mass_mineralization_rate,average_of_gross_mass_mineralization_rate,,,,,,,,,,,,,,,
,average,net_mass_mineralization_rate,average_of_net_mass_mineralization_rate,average_of_net_mass_mineralization_rate,,,,,,,,,,,,,,,
,average,mass_emission_rate,average_of_mass_emission_rate,average_of_mass_emission_rate,,,,,,,,,,,,,,,
,average,denitrification_mass_emission_rate,average_of_denitrification_mass_emission_rate,average_of_denitrification_mass_emission_rate,,,,,,,,,,,,,,,
,average,nitrification_mass_emission_rate,average_of_nitrification_mass_emission_rate,average_of_nitrification_mass_emission_rate,,,,,,,,,,,,,,,
,average,mass_volatilization_rate,average_of_mass_volatilization_rate,average_of_mass_volatilization_rate,,,,,,,,,,,,,,,
,average,mass_denitrification_rate,average_of_mass_denitrification_rate,average_of_mass_denitrification_rate,,,,,,,,,,,,,,,
,average,mass_nitrification_rate,average_of_mass_nitrification_rate,average_of_mass_nitrification_rate,,,,,,,,,,,,,,,
,azimuth_angle,bolus_velocity,azimuth_angle_of_bolus_velocity,azimuth_angle_of_bolus_velocity,,,,,,,,,,,,,,,
,azimuth_angle,darcy_velocity,azimuth_angle_of_darcy_velocity,azimuth_angle_of_darcy_velocity,,,,,,,,,,,,,,,
,azimuth_angle_of_gradient,absolute_salinity,azimuth_angle_of_gradient_of_absolute_salinity,azimuth_angle_of_gradient_of_absolute_salinity,,,,,,,,,,,,,,,
,azimuth_angle_of_gradient,potential_vorticity,azimuth_angle_of_gradient_of_potential_vorticity,azimuth_angle_of_gradient_of_potential_vorticity,,,,,,,,,,,,,,,
,azimuth_angle_of_gradient,pressure,azimuth_angle_of_gradient_of_pressure,azimuth_angle_of_gradient_of_pressure,,,,,,,,,,,,,,,
,azimuth_angle_of_gradient,static_pressure,azimuth_angle_of_gradient_of_static_pressure,azimuth_angle_of_gradient_of_static_pressure,,,,,,,,,,,,,,,
,azimuth_angle_of_gradient,temperature,azimuth_angle_of_gradient_of_temperature,azimuth_angle_of_gradient_of_temperature,,,,,,,,,,,,,,,
,azimuth_angle,group_velocity,azimuth_angle_of_group_velocity,azimuth_angle_of_group_velocity,,,,,,,,,,,,,,,
,azimuth_angle,impact_velocity,azimuth_angle_of_impact_velocity,azimuth_angle_of_impact_velocity,,,,,,,,,,,,,,,
,azimuth_angle,impact_velocity,azimuth_angle_of_impact_velocity,azimuth_angle_of_impact_velocity,,,,,,,,,,,,,,,
,azimuth_angle,initial_velocity,azimuth_angle_of_initial_velocity,azimuth_angle_of_initial_velocity,,,,,,,,,,,,,,,
,azimuth_angle_of_left_normal,phase_velocity,azimuth_angle_of_left_normal_of_phase_velocity,azimuth_angle_of_left_normal_of_phase_velocity,,,,,,,,,,,,,,,
,azimuth_angle,linear_momentum,azimuth_angle_of_linear_momentum,azimuth_angle_of_momentum,,,,,,,,,,,,,,,
,azimuth_angle,linear_velocity,azimuth_angle_of_linear_velocity,azimuth_angle_of_velocity,,,,,,,,,,,,,,,
,azimuth_angle,normal-vector,azimuth_angle_of_normal-vector,azimuth_angle_of_normal-vector,,,,,,,,,,,,,,,
,azimuth_angle,phase_velocity,azimuth_angle_of_phase_velocity,azimuth_angle_of_phase_velocity,,,,,,,,,,,,,,,
,azimuth_angle,stokes_drift_velocity,azimuth_angle_of_stokes_drift_velocity,azimuth_angle_of_stokes_drift_velocity,,,,,,,,,,,,,,,
,azimuth_angle,tangent-vector,azimuth_angle_of_tangent-vector,azimuth_angle_of_tangent-vector,,,,,,,,,,,,,,,
,azimuth_angle,vorticity,azimuth_angle_of_vorticity,azimuth_angle_of_vorticity,,,,,,,,,,,,,,,
,azimuth_angle_of_z_integral,linear_velocity,azimuth_angle_of_z_integral_of_linear_velocity,azimuth_angle_of_z_integral_of_velocity,,,,,,,,,,,,,,,
,change,mass,change_of_mass,change_of_mass,,,,,,,,,,,,,,,
,change_from_one-year_min,mass,change_from_one-year_min_of_mass,change_from_one-year_min_of_mass,,,,,,,,,,,,,,,
,change_from_one-year_min,thickness,change_from_one-year_min_of_thickness,change_from_one-year_min_of_thickness,,,,,,,,,,,,,,,
,change_from_one-year_min,volume,change_from_one-year_min_of_volume,change_from_one-year_min_of_volume,,,,,,,,,,,,,,,
,cross-stream_component,linear_velocity,cross-stream_component_of_linear_velocity,cross-stream_component_of_velocity,,,,,,,,,,,,,,,
,cross-stream_derivative,elevation,cross-stream_derivative_of_elevation,cross-stream_derivative_of_elevation,,,,,,,,,,,,,,,
,curl,linear_velocity,curl_of_linear_velocity,curl_of_velocity,,,,,,,,,,,,,,,
,one-day_min,temperature,one-day_min_of_temperature,one-day_min_of_temperature,,,,,,,,,,,,,,,
,one-day_max,temperature,one-day_max_of_temperature,one-day_max_of_temperature,,,,,,,,,,,,,,,
,one-day_time_integral,precipitation_leq_volume_flux,one-day_time_integral_of_precipitation_leq_volume_flux,one-day_time_integral_of_precipitation_leq_volume_flux,,,,,,,,,,,,,,,
,depression,melting-point_temperature,depression_of_melting-point_temperature,depression_of_melting-point_temperature,,,,,,,,,,,,,,,
difference,,,difference_of_elevation,difference_of_elevation,elevation,elevation,,,,,,,,,,,,,
,difference,temperature,difference_of_temperature,difference_of_temperature,,,,,,,,,,,,,,,
,diurnal_max,temperature,diurnal_max_of_temperature,diurnal_max_of_temperature,,,,,,,,,,,,,,,
,diurnal_min,temperature,diurnal_min_of_temperature,diurnal_min_of_temperature,,,,,,,,,,,,,,,
,diurnal_range,temperature,diurnal_range_of_temperature,diurnal_range_of_temperature,,,,,,,,,,,,,,,
