participant,participantrel,participantclass
ground,above,"body, "
earth_surface_viewpoint,at,"phenomenon, "
glacier_bed,above,"body, "
grid_bottom,from,"abstraction, "
grid_bottom,to,"abstraction, "
grid_top,from,"abstraction, "
grid_top,to,"abstraction, "
mars_surface_viewpoint,at,"phenomenon, "
projectile_trajectory_target,at,"phenomenon, "
sea_bottom,above,"body, "
sea_surface,below,"phenomenon, "
sea_bottom,to,"body, "
land_surface,below,"phenomenon, "
location,at,"abstraction, part, "
bedrock_top,above,"body, "
sea_floor,above,"body, "
