relationship_taxonomic,relationship_id,relationship_label,relationship_type,attribute,synonym,wikipedia_page
above,10m-above,10m-above,spatial,10m,,
above,1m-above,1m-above,spatial,1m,,
below,1m-below,1m-below,spatial,1m,,
,above,above,spatial,,,https://en.wiktionary.org/wiki/above#Preposition
,across,across,spatial,,,https://en.wiktionary.org/wiki/across#Preposition
,adjacent,adjacent,spatial,,,
,at,at,"spatial, temporal",,,https://en.wiktionary.org/wiki/at#Preposition
,before,before,temporal,,,
,below,below,spatial,,,https://en.wiktionary.org/wiki/below#Preposition
from,clockwise-from,clockwise-from,spatial,clockwise,,
,exchange,exchange,spatial,,,
,from,from,spatial,,,https://en.wiktionary.org/wiki/from#Preposition
,in,in,spatial,,,
,intra,intra,spatial,,,
,mid-depth,mid-depth,spatial,,,
,near,near,spatial,,,
,on,on,spatial,,,https://en.wiktionary.org/wiki/on#Preposition
,onto,onto,spatial,,,
,optional,optional,,,,
,orbiting,orbiting,spatiotemporal,,,https://en.wiktionary.org/wiki/orbit#Verb
,orbitting,orbitting,spatiotemporal,,,
,part,part,spatial,,,
,passing-through,passing-through,spatiotemporal,,,
,since,since,temporal,,,
,sink,sink,spatial,,,
,source,source,spatial,,,
,surrounding,surrounding,spatial,,,https://en.wiktionary.org/wiki/surround#English
,to,to,spatial,,,https://en.wiktionary.org/wiki/to#Preposition
,within,within,spatial,,,
within,within-25-ft,within-25-ft,spatial,25ft,,
,wrt,wrt,spatial,,with-respect-to,
