phen_taxonomic,phen_id,phen_label,associated_process,synonym,plural_of,wikipedia_page
atmosphere,atmosphere,atmosphere,,,,http://en.wikipedia.org/wiki/Atmosphere
black-hole,black-hole,black-hole,,,,https://en.wikipedia.org/wiki/Black_hole
chemical-bond,bond,bond,,,,https://en.wikipedia.org/wiki/Chemical_bond
cloud,cloud,cloud,,,,https://en.wikipedia.org/wiki/Cloud
clouds,clouds,clouds,,,cloud,
cyclone,cyclone,cyclone,,,,https://en.wikipedia.org/wiki/Cyclone
ecosystem,ecosystem,ecosystem,,,,http://en.wikipedia.org/wiki/Ecosystem
fire,fire,fire,combust,,,https://en.wikipedia.org/wiki/Fire
fires,fires,fires,combust,,fire,
flood,flood,flood,flood,,,http://en.wikipedia.org/wiki/Flood
fog,fog,fog,fog,,,https://en.wikipedia.org/wiki/Fog
forest,forest,forest,,,,https://en.wikipedia.org/wiki/Forest
forestry,forestry,forestry,,,,https://en.wikipedia.org/wiki/Forestry
ionosphere,ionosphere,ionosphere,,,,https://en.wikipedia.org/wiki/Ionosphere
lightning,lightning,lightning,,,,https://en.wikipedia.org/wiki/Lightning
lithosphere,lithosphere,lithosphere,,,,http://en.wikipedia.org/wiki/Lithosphere
permafrost,permafrost,permafrost,,,,http://en.wikipedia.org/wiki/Permafrost
photon,photon,photon,,,,https://en.wikipedia.org/wiki/Photon
savanna,savanna,savanna,,savannah,,https://en.wikipedia.org/wiki/Savanna
storm,storm,storm,,,,http://en.wikipedia.org/wiki/Storm
storm~cyclone,storm~cyclone,storm~cyclone,,,,
storm~thunderstorm,thunderstorm,thunderstorm,,"storm~electrical, storm~lightning, thundershower",,https://en.wikipedia.org/wiki/Thunderstorm
tropopause,tropopause,tropopause,,,,https://en.wikipedia.org/wiki/Tropopause
troposphere,troposphere,troposphere,,,,https://en.wikipedia.org/wiki/Troposphere
universe,universe,universe,,,,http://en.wikipedia.org/wiki/Universe
vacuum,vacuum,vacuum,,free_space,,https://en.wikipedia.org/wiki/Vacuum#In_electromagnetism
