trajectory_taxonomic,trajectory_id,trajectory_label,trajectory,abstraction,attribute,wikipedia_page
path,ecliptic,ecliptic,,,,http://en.wikipedia.org/wiki/Ecliptic
,path,path,,,,
path,orbit,orbit,,,,http://en.wikipedia.org/wiki/Orbit
path,trajectory,trajectory,,,,http://en.wikipedia.org/wiki/Trajectory
path,transect,transect,,,,http://en.wikipedia.org/wiki/Transect
path,optical-path,optical-path,,,optical,https://en.wikipedia.org/wiki/Optical_path
,trajectory_origin,trajectory_origin,trajectory,origin,,
,trajectory_target,trajectory_target,trajectory,target,,
,orbit_aphelion,orbit_aphelion,orbit,aphelion,,
,orbit_perihelion,orbit_perihelion,orbit,perihelion,,
