original_varname,new_varname,object_name,quantity_name,annotated_object_name
atmosphere_water__rainfall_mass_flux,atmosphere_rainfall_water__mass_flux,atmosphere_rainfall_water,mass_flux,(atmosphere-is-source-of-(rainfall-contains-water))
land_crop__simulated_allocated_area,model_simulation_land_crop_allocation__area,model_simulation_land_crop_allocation,area,((model-undergoes-process-simulation)-models-(land-as-main-crop-as-in-allocation))
land_crop__simulated_mass-per-area_yield,model_simulation_land_crop__mass-per-area_yield,model_simulation_land_crop,mass-per-area_yield,((model-undergoes-process-simulation)-models-(land-as-medium-crop))
crop__simulated_produced_mass,model_simulation_crop_production__mass,model_simulation_crop_production,mass,((model-undergoes-process-simulation)-models-(crop-undergoes-process-production))
land_fertilizer~nitrogen__simulated_applied_mass-per-area_density,model_simulation_land_nitrogen-fertilizer_application__mass-per-area_density,model_simulation_land_nitrogen-fertilizer_application,mass-per-area_density,((model-undergoes-process-simulation)-models-(land-as-sink-nitrogen-fertilizer-undergoes-process-application))
fertilizer~nitrogen__application_reduced_cost_fraction,nitrogen-fertilizer_application__reduced_cost_fraction,nitrogen-fertilizer_application,reduced_cost_fraction,(nitrogen-fertilizer-undergoes-process-application)
land_surface_water__evapotranspiration_mass_flux,land_surface_water_evapotranspiration__mass_flux,land_surface_water_evapotranspiration,mass_flux,((land-has-abstraction-surface)-as-source-water-undergoes-process-evapotranspiration)
atmosphere_air_water~vapor__specific_saturation,atmosphere_air_water~vapor__specific_saturation,atmosphere_air_water~vapor,specific_saturation,(atmosphere-contains-(air-as-medium-water~vapor))
air__temperature,air__temperature,air,temperature,air
land_surface__upward_sensible_heat_energy_flux,land_surface__upward_component_of_sensible_heat_energy_flux,land_surface,upward_component_of_sensible_heat_energy_flux,(land-has-abstraction-surface)
land_surface__upward_latent_heat_energy_flux,land_surface__upward_component_of_latent_heat_energy_flux,land_surface,upward_component_of_latent_heat_energy_flux,(land-has-abstraction-surface)
land_surface__effective_radiative_temperature,land_surface__effective_radiative_temperature,land_surface,effective_radiative_temperature,(land-has-abstraction-surface)
land_subsurface_water__runoff_mass_flux,land_subsurface_water_runoff__mass_flux,land_subsurface_water_runoff,mass_flux,((land-has-part-subsurface)-contains-(water-undergoes-process-runoff))
land_surface_air_radiation~longwave~downwelling__energy_flux,land_surface_air_radiation~longwave~downwelling__energy_flux,land_surface_air_radiation~longwave~downwelling,energy_flux,((land-has-abstraction-surface)-is-location-of-(air-contains-radiation~longwave~downwelling))
land_surface_air_radiation~longwave~downward__energy_flux,land_surface_air_radiation~longwave~downward__energy_flux,land_surface_air_radiation~longwave~downward,energy_flux,((land-has-abstraction-surface)-is-location-of-(air-contains-radiation~longwave~downward))
