encoded_name,label_name,has-source-phenomenon,has-primary-participant-phenomenon,has-containing-phenomenon,is-modeled-by,undergoes-process,has-in-participant-phenomenon,has-medium-participant-phenomenon,has-sink-participant-phenomenon,has-source-participant-phenomenon,has-abstraction,has-phenomenon,has-part,has-location,is-observed-by,has-form,measured-below,has-matter,is-part-of-containing-phenomenon,has-denominator-participant-phenomenon,has-numerator-participant-phenomenon,is-expressed-as,has-containing-medium-phenomenon,has-trajectory,measured-at,has-adjacent-participant-phenomenon,measured-above,drives,has-primary-participant-phenomenon2,has-role,has-participating-primary-phenomenon,has-perspective-participant-phenomenon,surrounds,measured-wrt,contains-matter,has-sink-phenomenon,referenced-with-property,reference-for-computing,orbits-around,has-first-participant-phenomenon,has-second-participant-phenomenon,has-model-location,has-domain,has-location-of-origin,has-subtrahend-participant-phenomenon,has-minuend-participant-phenomenon,has-primary-matter,measured-to,measured-from,participates-in,has-participating-medium-phenomenon,undergoes-process2,has-part2,measured-since,measured-along,has-phenomenon2,has-matter2,has-role2,has-process,has-process2,has-form2
atmosphere-is-source-of-(rainfall-contains-water),atmosphere_rainfall_water,atmosphere,rainfall-contains-water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainfall-contains-water,rainfall_water,,water,rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(land-as-main-crop-as-in-allocation),model_simulation_land_crop_allocation,,land-as-main-crop-as-in-allocation,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model-undergoes-process-simulation,model_simulation,,model,,,simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-as-main-crop-as-in-allocation,land_crop_allocation,,land,,,allocation,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(land-as-medium-crop),model_simulation_land_crop,,land-as-medium-crop,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-as-medium-crop,land_crop,,crop,,,,,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(crop-undergoes-process-production),model_simulation_crop_production,,crop-undergoes-process-production,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crop-undergoes-process-production,crop_production,,crop,,,production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(land-as-sink-nitrogen-fertilizer-undergoes-process-application),model_simulation_land_nitrogen-fertilizer_application,,land-as-sink-nitrogen-fertilizer-undergoes-process-application,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
