atmosphere_water__rainfall_mass_flux, atmosphere_rainfall_water__mass_flux
land_crop__simulated_allocated_area, model_simulation_land_crop_allocation__area
land_crop__simulated_mass-per-area_yield, model_simulation_land_crop__mass-per-area_yield
crop__simulated_produced_mass, model_simulation_crop_production__mass
land_fertilizer~nitrogen__simulated_applied_mass-per-area_density, model_simulation_land_nitrogen-fertilizer_application__mass-per-area_density
fertilizer~nitrogen__application_reduced_cost_fraction, nitrogen-fertilizer_application__reduced_cost_fraction
land_surface_water__evapotranspiration_mass_flux, land_surface_water_evapotranspiration__mass_flux
atmosphere_air_water~vapor__specific_saturation, atmosphere_air_water~vapor__specific_saturation
air__temperature, air__temperature
land_surface__upward_sensible_heat_energy_flux, land_surface__upward_component_of_sensible_heat_energy_flux
land_surface__upward_latent_heat_energy_flux, land_surface__upward_component_of_latent_heat_energy_flux
land_surface__effective_radiative_temperature, land_surface__effective_radiative_temperature
land_subsurface_water__runoff_mass_flux, land_subsurface_water_runoff__mass_flux
land_surface_air_radiation~longwave~downwelling__energy_flux, land_surface_air_radiation~longwave~downwelling__energy_flux
land_surface_air_radiation~longwave~downward__energy_flux, land_surface_air_radiation~longwave~downward__energy_flux
land_surface_air_radiation~shortwave~downwelling__energy_flux, land_surface_air_radiation~shortwave~downwelling__energy_flux
land_surface_soil_water__volume_fraction, land_surface_soil_water__volume_fraction
land_surface~0-to-10cm-below_soil_water__volume_fraction, land_surface~0-to-10cm-below_soil_water__volume_fraction
land_surface~100-to-200cm-below_soil_water__volume_fraction, land_surface~100-to-200cm-below_soil_water__volume_fraction
land_surface~10-to-40cm-below_soil_water__volume_fraction, land_surface~10-to-40cm-below_soil_water__volume_fraction
land_surface~40-to-100cm-below_soil_water__volume_fraction, land_surface~40-to-100cm-below_soil_water__volume_fraction
land_surface~0-to-100cm-below_soil_water__volume_fraction, land_surface~0-to-100cm-below_soil_water__volume_fraction
land_surface~0-to-10cm-below_soil__temperature, land_surface~0-to-10cm-below_soil__temperature
land_surface~100-to-200cm-below_soil__temperature, land_surface~100-to-200cm-below_soil__temperature
land_surface~10-to-40cm-below_soil__temperature, land_surface~10-to-40cm-below_soil__temperature
land_surface~40-to-100cm-below_soil__temperature, land_surface~40-to-100cm-below_soil__temperature
land_surface_radiation~shortwave~downward__energy_flux, land_surface_radiation~shortwave~downward__energy_flux
soil__downward_heat_energy_flux, soil__downward_component_of_heat_energy_flux
wind__speed, wind__speed
land_crop__observed_allocated_area, observation_land_crop_allocation__area
land_crop__observed_mass-per-area_yield, observation_land_crop__mass-per-area_yield
crop_fertilizer~nitrogen__observed_applied_mass, observation_crop_nitrogen-fertilizer_application__mass
crop_fertilizer~nitrogen__yield_elasticity, crop_nitrogen-fertilizer__yield_elasticity
crop__supply_elasticity, crop__supply_elasticity
land_crop__production_cost-per-area, land_crop_production__cost-per-area
fertilizer~nitrogen__usage-cost-per-applied-mass, nitrogen-fertilizer_usage-vs-application__cost-per-mass
farmer_crop__received_price-per-mass, farmer_crop__received_price-per-mass
soil_water__van-genuchten_beta_parameter, soil_water__van-genuchten_alpha_parameter
atmosphere_bottom_air_water~vapor__partial_pressure, atmosphere_bottom_air_water~vapor__partial_pressure
channel_bed__thickness, channel_bed__thickness
channel_bed_below-channel-bank__depth, channel_bed_below-river-bank__depth
channel_bed_water__hydraulic_conductivity, channel_bed_water__hydraulic_conductivity
channel_bottom_sediment_grain_water__hydraulic_conductivity, channel_bottom_sediment_grain_water__hydraulic_conductivity
channel_water__discharge_coefficient, channel_water__discharge_coefficient
land_surface_wind__speed, land_surface_wind__speed
land_vegetation_canopy_water__interception_storage_factor, land_vegetation_canopy_water_interception__storage_factor
snow-or-ice__melt_factor, snow-or-ice__melt_factor
soil__residual_porosity, soil__residual_porosity
soil_macropores_below-land-surface__depth, soil_macropores_below-land_surface__depth
soil_macropores_water__vertical_hydraulic_conductivity, soil_macropores_water__vertical_component_of_hydraulic_conductivity
soil_layer~top__thickness, soil_layer~topmost__thickness
soil_layer~top~infiltration__thickness, soil_layer~topmost_water_infiltration__thickness
soil_water__vertical_saturated_hydraulic_conductivity, soil~saturated_water__vertical_component_of_hydraulic_conductivity
water__volume_flow_rate, water_flowing__volume_rate
water_below-land-surface__depth, water_below-land_surface__depth
aquifer~left_channel~stream_reach_water__baseflow_volume_flux, aquifer~left_stream_channel_reach_water_baseflow__volume_flux
aquifer~right_channel~stream_reach_water__baseflow_volume_flux, aquifer~right_stream_channel_reach_water_baseflow__volume_flux
channel~river_bed_channel~stream_reach_water__leakage_volume_flux, river_channel_bed_stream_channel_reach_water_leakage__volume_flux
channel~river_bed_water~outgoing__lateral_volume_flux, river_channel_bed_water~outgoing__lateral_component_of_volume_flux
channel~river_bed_water~incoming__lateral_volume_flux, river_channel_bed_water~incoming__lateral_component_of_volume_flux
channel~river_bed_water__volume-per-area_storage_capacity, river_channel_bed_water__volume-per-area_storage_capacity
channel~river_water__stage_height, river_channel_water__stage_height
channel~stream_reach_water~incoming__lateral_volume_flux, stream_channel_reach_water~incoming__lateral_component_of_volume_flux
channel~stream_reach_water~outgoing__lateral_volume_flux, stream_channel_reach_water~outgoing__lateral_component_of_volume_flux
groundwater__head, groundwater__head
land_subsurface_aquifer~left_channel~river_bed_water__volume_flux, land_subsurface_aquifer~left_river_channel_bed_water__volume_flux
land_subsurface_aquifer~right_channel~river_bed_water__volume_flux, land_subsurface_aquifer~right_river_channel_bed_water__volume_flux
land_surface_snow__time_integral_of_accumulation_volume_flux, land_surface_snow_accumulation__time_integral_of_volume_flux
land_surface_terrain~left_channel~stream_reach_water__volume_flux, land_surface_terrain~left_stream_channel_reach_water__volume_flux
land_surface_terrain~right_channel~stream_reach_water__volume_flux, land_surface_terrain~right_stream_channel_reach_water__volume_flux
land_vegetation_canopy_water__evaporation_volume_flux, land_vegetation_canopy_water_evaporation__volume_flux
soil_water__volume-per-area_concentration, soil_water__volume-per-area_concentration
soil_water__volume-per-area_interception_storage_capacity, soil_water_interception__volume-per-area_storage_capacity
air__dielectric_constant, air__relative_permittivity
air__dynamic_shear_viscosity, air__shear_dynamic_viscosity
air__dynamic_volume_viscosity, air__volume_dynamic_viscosity
air__kinematic_shear_viscosity, air__shear_kinematic_viscosity
air__kinematic_volume_viscosity, air__volume_kinematic_viscosity
air__volume-specific_isochoric_heat_capacity, air_isochoric-process__volume-specific_heat_capacity
air_helium-plume__richardson_number, air_helium_plume__richardson_number
air_radiation~visible__speed, air_radiation~visible__speed
air_water~vapor__dew_point_temperature, air_water~vapor~dew-point__temperature
air_water~vapor__saturated_partial_pressure, air~saturated_water~vapor__partial_pressure
aircraft__flight_duration, aircraft_flight__duration
airfoil__drag_coefficient, airfoil__drag_coefficient
airfoil__lift_coefficient, airfoil__lift_coefficient
airfoil_curve~enclosing__circulation, airfoil_enclosing-curve__circulation
airplane__altitude, airplane__altitude
airplane__mach_number, airplane__mach_number
airplane_wing__span, airplane__wingspan
air~dry__mass-specific_gas_constant, air~dry__mass-specific_gas_constant
air~dry_water~vapor__gas_constant_ratio, air~dry_water~vapor__gas_constant_ratio
aluminum__mass-specific_isobaric_heat_capacity, aluminum_isobaric-process__mass-specific_heat_capacity
anvil__isobaric_heat_capacity, anvil_isobaric-process__heat_capacity
appliance~electric__voltage, electric-appliance__voltage
atmosphere_aerosol_dust__reduction_of_transmittance, atmosphere_aerosol_dust__reduction_of_transmittance
atmosphere_aerosol_radiation~incoming~shortwave__absorbed_energy_flux, atmosphere_aerosol_radiation~incoming~shortwave~absorbed__energy_flux
atmosphere_aerosol_radiation~incoming~shortwave__absorptance, atmosphere_aerosol_radiation~incoming~shortwave_absorption__absorptance
atmosphere_aerosol_radiation~incoming~shortwave__reflectance, atmosphere_aerosol_radiation~incoming~shortwave_reflection__reflectance
atmosphere_aerosol_radiation~incoming~shortwave__reflected_energy_flux, atmosphere_aerosol_radiation~incoming~shortwave~reflected__energy_flux
atmosphere_aerosol_radiation~incoming~shortwave__transmittance, atmosphere_aerosol_radiation~incoming~shortwave_transmission__transmittance
atmosphere_aerosol_radiation~incoming~shortwave__transmitted_energy_flux, atmosphere_aerosol_radiation~incoming~shortwave~transmitted__energy_flux
atmosphere_aerosol_radiation~outgoing~longwave__emittance, atmosphere_aerosol_radiation~outgoing~longwave_emission__emittance
atmosphere_aerosol_radiation~outgoing~longwave~downward__energy_flux, atmosphere_aerosol_radiation~outgoing~longwave~downward__energy_flux
atmosphere_aerosol_radiation~outgoing~longwave~upward__energy_flux, atmosphere_aerosol_radiation~outgoing~longwave~upward__energy_flux
atmosphere_air-column_acetic-acid__mass-per-area_density, atmosphere_air_column_acetic-acid__mass-per-area_density
atmosphere_air-column_aceto-nitrile__mass-per-area_density, atmosphere_air_column_acetonitrile__mass-per-area_density
atmosphere_air-column_aerosol~dry_ammonium__mass-per-area_density, atmosphere_air_column_aerosol~dry_ammonium__mass-per-area_density
atmosphere_air-column_alkanes__mass-per-area_density, atmosphere_air_column_alkanes__mass-per-area_density
atmosphere_air-column_alkenes__mass-per-area_density, atmosphere_air_column_alkenes__mass-per-area_density
atmosphere_air-column_alpha-hexachlorocyclohexane__mass-per-area_density, atmosphere_air_column_alpha-hch__mass-per-area_density
atmosphere_air-column_alpha-pinene__mass-per-area_density, atmosphere_air_column_alpha-pinene__mass-per-area_density
atmosphere_air-column_ammonia__mass-per-area_density, atmosphere_air_column_ammonia__mass-per-area_density
atmosphere_air-column_clox-as-chlorine__mass-per-area_density, atmosphere_air_column_clox-as-chlorine__mass-per-area_density
atmosphere_air-column_hox-as-hydrogen__mass-per-area_density, atmosphere_air_column_hox-as-hydrogen__mass-per-area_density
atmosphere_air-column_nox-as-nitrogen__mass-per-area_density, atmosphere_air_column_nox-as-nitrogen__mass-per-area_density
atmosphere_air-column_water~vapor__liquid-equivalent_depth, atmosphere_air_column_water~vapor__leq_depth
atmosphere_air-column_water~vapor__mass-per-area_density, atmosphere_air_column_water~vapor__mass-per-area_density
atmosphere_air__anomaly_of_pressure, atmosphere_air__anomaly_of_pressure
atmosphere_air__anomaly_of_temperature, atmosphere_air__anomaly_of_temperature
atmosphere_air__azimuth_angle_of_gradient_of_temperature, atmosphere_air__azimuth_angle_of_gradient_of_temperature
atmosphere_air__convective_available_potential_energy, atmosphere_air__convective_available_potential_energy
atmosphere_air__east_derivative_of_temperature, atmosphere_air__east_derivative_of_temperature
atmosphere_air__elevation_angle_of_gradient_of_temperature, atmosphere_air__elevation_angle_of_gradient_of_temperature
atmosphere_air__equivalent_potential_temperature, atmosphere_air__equivalent_potential_temperature
atmosphere_air__equivalent_temperature, atmosphere_air__equivalent_temperature
atmosphere_air__heat_capacity_ratio, atmosphere_air__heat_capacity_ratio
atmosphere_air__increment_of_pressure, atmosphere_air__increment_of_pressure
atmosphere_air__increment_of_temperature, atmosphere_air__increment_of_temperature
atmosphere_air__isentropic_compressibility, atmosphere_air_isentropic-process__compressibility
atmosphere_air__isothermal_compressibility, atmosphere_air_isothermal-process__compressibility
atmosphere_air__magnitude_of_gradient_of_temperature, atmosphere_air__magnitude_of_gradient_of_temperature
atmosphere_air__mass-per-volume_density, atmosphere_air__mass-per-volume_density
atmosphere_air__mass-specific_isobaric_heat_capacity, atmosphere_air_isobaric-process__mass-specific_heat_capacity
