entity_id,entity_label,entity_class,synonym,plural,wikipedia_page,definition,definition_source,wikidata_page,last_checked
0,0,attribute,,,https://en.wikipedia.org/wiki/0,"0 (zero) is a number representing an empty quantity. Adding 0 to any number leaves that number unchanged. In mathematical terminology, 0 is the additive identity of the integers, rational numbers, real numbers, and complex numbers, as well as other algebraic structures. Multiplying any number by 0 has the result 0, and consequently, division by zero has no meaning in arithmetic.",Wikipedia,Q204,20240416.0
1,1,attribute,,,,,,,20240416.0
2,2,attribute,,,,,,,20240416.0
2008,2008,attribute,,,https://en.wikipedia.org/wiki/2008,"2008 (MMVIII) was a leap year starting on Tuesday of the Gregorian calendar, the 2008th year of the Common Era (CE) and Anno Domini (AD) designations, the 8th  year of the 3rd millennium and the 21st century, and the  9th   year of the 2000s decade.  ",Wikipedia,Q2004,20240416.0
(e)-dimethomorph,(e)-dimethomorph,matter,,,https://en.wikipedia.org/wiki/Dimethomorph,Dimethomorph is a fungicide with systemic function. It is used for treating mildew and root rot caused by organisms such as Pythium  and Phytophthora species.,Wikipedia,Q27155626,20240416.0
0-to-100cm,0-to-100cm,attribute,,,,,,,20240416.0
0-to-10cm,0-to-10cm,attribute,,,,,,,20240416.0
0-to-60-mph,0-to-60-mph,attribute,,,,,,,20240416.0
0-to-60mph,0-to-60mph,attribute,,,,,,,20240416.0
0.005-to-0.002-mm,0.005-to-0.002-mm,attribute,,,,,,,20240416.0
0.005-to-0.008-mm,0.005-to-0.008-mm,attribute,,,,,,,20240416.0
0.008-to-0.014-mm,0.008-to-0.014-mm,attribute,,,,,,,20240416.0
0.014-to-0.032-mm,0.014-to-0.032-mm,attribute,,,,,,,20240416.0
0.01M,0.01M,attribute,,,,,,,20240416.0
0.032-to-0.063-mm,0.032-to-0.063-mm,attribute,,,,,,,20240416.0
0.063-to-0.125-mm,0.063-to-0.125-mm,attribute,,,,,,,20240416.0
0.125-to-0.25-mm,0.125-to-0.25-mm,attribute,,,,,,,20240416.0
0.25-to-0.50-mm,0.25-to-0.50-mm,attribute,,,,,,,20240416.0
0.5-to-8.0-mm,0.5-to-8.0-mm,attribute,,,,,,,20240416.0
"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone","1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone",matter,,,,,,,20240416.0
1-bromo-2-chloroethane,1-bromo-2-chloroethane,matter,,,,,,,20240416.0
1-butanol,1-butanol,matter,"n-butanol, n-butyl-alcohol, normal-butanol",,https://en.wikipedia.org/wiki/1-butanol,chemical compound,Wikidata,Q16391,20240416.0
"1-chloro-2,2-bis(4-chlorophenyl)ethene","1-chloro-2,2-bis(4-chlorophenyl)ethene",matter,,,,,,,20240416.0
1-chlorobutane,1-chlorobutane,matter,"butane,-1-chloro-",,https://en.wikipedia.org/wiki/1-Chlorobutane,"1-Chlorobutane is an alkyl halide with the chemical formula CH3(CH2)3Cl. It is a colorless, flammable liquid.",Wikipedia,Q161608,20240416.0
1-chlorohexane,1-chlorohexane,matter,,,,,,,20240416.0
1-methyl-9h-fluorene,1-methyl-9h-fluorene,matter,1-methylfluorene,,,,,,20240416.0
1-methylnaphthalene,1-methylnaphthalene,matter,,,https://en.wikipedia.org/wiki/1-Methylnaphthalene,1-Methylnaphthalene is an organic compound with the formula CH3C10H7. It is a colorless liquid. It is isomeric with 2-methylnaphthalene.,Wikipedia,Q161656,20240416.0
1-methylphenanthrene,1-methylphenanthrene,matter,,,,,,,20240416.0
1-methylpyrene,1-methylpyrene,matter,,,,,,,20240416.0
