entity_label,entity_class,plural,tagged_variables
0,attribute,,"model_soil_layer~0__porosity, model_soil_layer~0~saturated__thickness, model_soil_layer~0__thickness"
1,attribute,,"model_soil_layer~1__porosity, model_soil_layer~1~saturated__thickness, model_soil_layer~1__thickness, soil_layer~1_water__volume_fraction"
2,attribute,,"model_soil_layer~2__porosity, model_soil_layer~2~saturated__thickness, model_soil_layer~2__thickness"
2008,attribute,,"automobile~toyota~corolla~2008_fuel__distance-per-volume_efficiency, automobile~toyota~corolla~2008__kelley-blue-book_price, automobile~toyota~corolla~2008__motor-trend-magazine_safety_rating, automobile~toyota~corolla~2008_engine__volume, automobile~toyota~corolla~2008_fuel-tank__volume"
(e)-dimethomorph,matter,,
0-to-100cm,attribute,,"land_surface~0-to-100cm-below_soil_water__volume_fraction, land_surface~0-to-100cm-below_soil_water__month-specific_anomaly_of_volume_fraction"
0-to-10cm,attribute,,"land_surface~0-to-10cm-below_soil_water__volume_fraction, land_surface~0-to-10cm-below_soil__temperature, land_surface~0-to-10cm-below_soil_water__month-specific_anomaly_of_volume_fraction, land_surface~0-to-10cm-below_soil_water__mass-per-area_density"
0-to-60-mph,attribute,,
0-to-60mph,attribute,,automobile_acceleration~0-to-60mph__duration
0.005-to-0.002-mm,attribute,,
0.005-to-0.008-mm,attribute,,
0.008-to-0.014-mm,attribute,,
0.014-to-0.032-mm,attribute,,
0.01M,attribute,,
0.032-to-0.063-mm,attribute,,
0.063-to-0.125-mm,attribute,,
0.125-to-0.25-mm,attribute,,
0.25-to-0.50-mm,attribute,,
0.5-to-8.0-mm,attribute,,
"1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone",matter,,
1-bromo-2-chloroethane,matter,,
1-butanol,matter,,
"1-chloro-2,2-bis(4-chlorophenyl)ethene",matter,,
1-chlorobutane,matter,,
1-chlorohexane,matter,,
1-methyl-9h-fluorene,matter,,
1-methylnaphthalene,matter,,
1-methylphenanthrene,matter,,
1-methylpyrene,matter,,
1-naphthol,matter,,
1-naphthylamine,matter,,
1-sigma-csu,operation,,
"1,1-dichloro-2-propanone",matter,,
"1,1-dichloroethane",matter,,
"1,1-dichloroethene",matter,,
"1,1-dichloropropene",matter,,
"1,1,1-trichloro-2-propanone",matter,,
"1,1,1-trichloroethane",matter,,
"1,1,1,2-tetrachloroethane",matter,,
"1,1,2-trichloro-1,2,2-trifluoroethane",matter,,
"1,1,2-trichloroethane",matter,,
"1,1,2,2-tetrachloroethane",matter,,
"1,1'-biphenyl",matter,,
"1,2-bis(2,4,6-tribromophenoxy)ethane",matter,,
"1,2-dibromo-3-chloropropane",matter,,
"1,2-dibromoethane",matter,,
"1,2-dibromoethene",matter,,
"1,2-dichloro-1,1,2-trifluoroethane",matter,,
"1,2-dichlorobenzene",matter,,
"1,2-dichloroethane",matter,,
"1,2-dichloroethene",matter,,
"1,2-dichloropropane",matter,,
